Date,2019-06-30,2018-06-30,2018-06,2017-06-30,2017-06,2016-06-30,2016-06,2015-06-30,2015-06,2014-06-30,2014-06,2013-06-30,2012-06-30,2011-06-30,2010-06-30,2009-06-30
Tax Liabilities,6000000.0,1892000000.0,1892000000.0,2782000000.0,2782000000.0,2888000000.0,2888000000.0,2290000000.0,2082000000.0,2729000000.0,2729000000.0,2280000000.0,2388000000.0,3149000000.0,3486000000.0,3276000000.0
Deposit Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,7650000000.0,24789000000.0,26023000000.0,26548000000.0,27764000000.0,26244000000.0,27636000000.0,24811000000.0,25569000000.0,25036000000.0,28519000000.0,22384000000.0,21861000000.0,21762000000.0,19981000000.0,18850000000.0
Total liabilities,9562000000.0,3252000000.0,34267000000.0,4101000000.0,35002000000.0,0.0,34704000000.0,31853000000.0,32831000000.0,33892000000.0,37375000000.0,30819000000.0,31478000000.0,31333000000.0,28843000000.0,29489000000.0
Other comprehensive income,9894000000,-2001000000.0,-2001000000.0,-2018000000.0,-2018000000.0,-2144000000.0,-2144000000.0,-1570000000.0,-1570000000.0,-34000000.0,-34000000.0,-319000000.0,0.0,0.0,0.0,0.0
Retained earnings (deficit),357000000.0,0.0,8934000000.0,0.0,5315000000.0,0.0,3575000000.0,5343000000.0,5343000000.0,2389000000.0,2389000000.0,1454000000.0,8521000000.0,12608000000.0,7679000000.0,5844000000.0
Total shareholders equity,9947000000.0,9594000000.0,19564000000.0,6093000000.0,15722000000.0,0.0,13661000000.0,17220000000.0,17220000000.0,17418000000.0,17418000000.0,16998000000.0,24684000000.0,30069000000.0,25113000000.0,23224000000.0
Investments,1626000000.0,0.0,4112000000.0,0.0,3902000000.0,0.0,3863000000.0,4529000000.0,4529000000.0,2859000000.0,2859000000.0,3704000000.0,4968000000.0,4867000000.0,3515000000.0,2957000000.0
Net Debt,3705000000.0,-2500000000.0,11901000000,-19000000.0,13750000000,0.0,15301000000,10611000000.0,10611000000,13643000000.0,13643000000,9799000000.0,5829000000.0,2815000000.0,4611000000.0,7749000000.0
Other Assets,0.0,15000000000.0,10483000000,14722000000.0,9934000000,14949000000.0,9327000000,-6546000000.0,7878000000,-6495000000.0,7904000000,-5143000000.0,-4364000000.0,-4106000000.0,-3108000000.0,-2928000000.0
Other Liabilities,200000000.0,1610000000.0,7910000000,1823000000.0,7673000000,0.0,7620000000,3081000000.0,6359000000,3874000000.0,7232000000,3864000000.0,3939000000.0,3766000000.0,3529000000.0,3275000000.0
