Date,2019-09-30,2018-09-30,2018-09,2017-09-30,2017-09,2016-09-30,2016-09,2015-09-30,2015-09,2014-09-30,2014-09,2013-09-30,2012-09-30,2011-09-30,2010-09-30
Total current liabilities,3824000000.0,4054000000.0,4054000000.0,3753000000.0,3753000000.0,3672000000.0,3672000000.0,3854000000.0,3854000000.0,3935000000.0,3935000000.0,3790000000.0,3830000000.0,3942000000.0,0.0
Long-term debt,8640000000.0,9515000000.0,9515000000.0,11100000000.0,11100000000.0,11896000000.0,11896000000.0,12267000000.0,12267000000.0,12751000000.0,12751000000.0,11867000000.0,8131000000.0,7342000000.0,0.0
Total debt,8738000000.0,10082000000.0,9515000000.0,11119000000.0,11100000000.0,11913000000.0,11896000000.0,12285000000.0,12267000000.0,12769000000.0,12751000000.0,11885000000.0,8149000000.0,7365000000.0,0.0
Deferred revenue,438000000.0,398000000.0,398000000.0,463000000.0,463000000.0,419000000.0,419000000.0,481000000.0,481000000.0,259000000.0,259000000.0,230000000.0,230000000.0,187000000.0,0.0
Tax Liabilities,186000000.0,179000000.0,296000000.0,159000000.0,294000000.0,164000000.0,381000000.0,179000000.0,223000000.0,185000000.0,266000000.0,159000000.0,207000000.0,212000000.0,0.0
Deposit Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Total non-current liabilities,10297000000.0,10997000000.0,12322000000.0,12717000000.0,13910000000.0,13626000000.0,14559000000.0,13838000000.0,14825000000.0,14357000000.0,15463000000.0,13685000000.0,9627000000.0,8816000000.0,0.0
Total liabilities,15217000000.0,16376000000.0,16376000000.0,17663000000.0,17663000000.0,18231000000.0,18231000000.0,18679000000.0,18679000000.0,19398000000.0,19398000000.0,18636000000.0,14802000000.0,14157000000.0,0.0
Other comprehensive income,0.0,0.0,-737000000.0,0.0,-618000000.0,0.0,-692000000.0,0.0,-534000000.0,0.0,-293000000.0,0.0,0.0,389000000,0.0
Retained earnings (deficit),19887000000.0,18561000000.0,18561000000.0,17124000000.0,17124000000.0,15628000000.0,15628000000.0,14780000000.0,14780000000.0,13465000000.0,13465000000.0,11629000000.0,9820000000.0,8418000000.0,0.0
Total shareholders equity,8454000000.0,7407000000.0,7407000000.0,6035000000.0,6035000000.0,4277000000.0,4277000000.0,3538000000.0,3538000000.0,3719000000.0,3719000000.0,5193000000.0,7448000000.0,8644000000.0,0.0
Investments,608000000.0,80000000.0,,98000000.0,,210000000.0,,171000000.0,,107000000.0,,150000000.0,79000000.0,0.0,0.0
Net Debt,7978000000.0,8525000000.0,8525000000,9730000000.0,9730000000,11534000000.0,11534000000,11779000000.0,11779000000,11769000000.0,11769000000,9482000000.0,7301000000.0,6344000000.0,0.0
Other Assets,0.0,0.0,4866000000,0.0,4941000000,0.0,5339000000,0.0,4816000000,0.0,4915000000,0.0,0.0,0.0,0.0
Other Liabilities,1096000000.0,1325000000.0,4261000000,1193000000.0,4403000000,933000000.0,4239000000,987000000.0,4375000000,1106000000.0,4632000000,1161000000.0,1345000000.0,1399000000.0,0.0
