Date,2019-12-31,2018-12-31,2017-12-31,2017-06,2016-12-31,2016-06,2015-12-31,2015-06,2014-12-31,2014-06,2013-12-31,2013-06,2012-12-31,2011-12-31,2010-12-31
Payables,10826000000.0,8494000000.0,6926000000.0,0000000.0,6915000000.0,0000000.0,6215000000.0,0000000.0,5638000000.0,0000000.0,5528000000.0,0000000.0,6206000000.0,5705000000.0,3291000000.0
Short-term debt,4452000000.0,4398000000.0,5134000000.0,,5480000000.0,,3627000000.0,,4217000000.0,,3280000000.0,,2376000000.0,1367000000.0,1800000000.0
Total current liabilities,30292000000.0,27603000000.0,21561000000.0,0000000.0,21535000000.0,0000000.0,18178000000.0,0000000.0,17410000000.0,0000000.0,18912000000.0,0000000.0,16714000000.0,13241000000.0,8234000000.0
Long-term debt,97765000000.0,1.07345e+11,59422000000.0,000000.0,55566000000.0,000000.0,48994000000.0,000000.0,44017000000.0,000000.0,44567000000.0,0000000.0,38082000000.0,37942000000.0,29615000000.0
Total debt,1.02217e+11,1.11743e+11,64556000000.0,000000.0,61046000000.0,000000.0,52621000000.0,000000.0,48234000000.0,000000.0,47847000000.0,0000000.0,40458000000.0,39309000000.0,31415000000.0
Deferred revenue,2768000000.0,2182000000.0,1552000000.0,,1132000000.0,,1302000000.0,,915000000.0,,898000000.0,,851000000.0,790000000.0,0.0
Tax Liabilities,1422000000.0,1543000000.0,1497000000.0,,1103000000.0,,1136000000.0,,1171000000.0,,1701000000.0,,1573000000.0,1435000000.0,1251000000.0
Deposit Liabilities,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Total non-current liabilities,1.43328e+11,1.50913e+11,94582000000.0,000000.0,1.01345e+11,000000.0,93197000000.0,000000.0,87795000000.0,000000.0,87886000000.0,000000.0,81463000000.0,80908000000.0,65723000000.0
Total liabilities,1.80688e+11,1.80071e+11,1.18343e+11,0000000.0,1.26557e+11,0000000.0,1.14305e+11,0000000.0,1.06628e+11,0000000.0,1.08119e+11,0000000.0,1.15615e+11,1.10544e+11,74180000000.0
Other comprehensive income,30930000000,29944000000,29980000000,2000000.0,30741000000,2000000.0,31001000000,2000000.0,31288000000,1000000.0,31373000000,2000000.0,33030000000,33423000000,32263000000
Retained earnings (deficit),50695000000.0,41983000000.0,38192000000.0,-12000000.0,23076000000.0,-11000000.0,21413000000.0,-11000000.0,21539000000.0,-6000000.0,19235000000.0,-4000000.0,16280000000.0,13971000000.0,12158000000.0
Total shareholders equity,82726000000.0,71613000000.0,68606000000.0,0000000.0,53943000000.0,0000000.0,52269000000.0,-0000000.0,52711000000.0,4000000.0,50694000000.0,3000000.0,49356000000.0,47274000000.0,44354000000.0
Investments,8698000000.0,7977000000.0,6940000000.0,0000000.0,7019000000.0,000000.0,3330000000.0,000000.0,3737000000.0,000000.0,7343000000.0,000000.0,7789000000.0,6056000000.0,6751000000.0
Net Debt,96717000000.0,1.07929e+11,61128000000.0,0,57745000000.0,0,50326000000.0,0,44324000000.0,-1000000,46129000000.0,0,29507000000.0,37689000000.0,25431000000.0
Other Assets,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
Other Liabilities,7068000000.0,1555000000.0,2200000000.0,0,3677000000.0,0,2930000000.0,0,1423000000.0,0,1321000000.0,0,17438000000.0,16395000000.0,223000000.0
