Date,2018-12-29,2018-12,2017-12-30,2017-12,2016-12-31,2016-12,2016-01-02,2015-12,2015-01-03,2014-12,2013-12-28,2012-12-29,2011-12-31,2011-04-02,2011-01-01
Short-term debt,2500000.0,000000.0,983400000.0,000000.0,7800000.0,857000000.0,5100000.0,823000000.0,5900000.0,1517000000.0,9900000.0,10400000.0,526400000.0,0.0,0.0
Total current liabilities,4001600000.0,4527000000.0,4361800000.0,5142000000.0,2807500000.0,3978000000.0,2802600000.0,4153000000.0,2832000000.0,4458000000.0,3221000000.0,3073400000.0,3268500000.0,0.0,0.0
Long-term debt,3819800000.0,000000.0,2843000000.0,000000.0,3815300000.0,6330000000.0,3836600000.0,6252000000.0,3839800000.0,5503000000.0,3799400000.0,3526500000.0,2925800000.0,0.0,0.0
Total debt,3822300000.0,000000.0,3826400000.0,000000.0,3823100000.0,6330000000.0,3841700000.0,6252000000.0,3845700000.0,5503000000.0,3809300000.0,3536900000.0,3452200000.0,0.0,0.0
Deferred revenue,98600000.0,,98900000.0,,81900000.0,,89200000.0,,84400000.0,,79700000.0,78600000.0,89800000.0,0.0,0.0
Tax Liabilities,67500000.0,814000000.0,142100000.0,725000000.0,117600000.0,621000000.0,157600000.0,290000000.0,139200000.0,357000000.0,87800000.0,220000000.0,201600000.0,0.0,0.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,6971100000.0,9836000000.0,5788300000.0,9260000000.0,5809500000.0,10962000000.0,5841100000.0,11759000000.0,5755300000.0,11020000000.0,5689400000.0,5227200000.0,4889600000.0,0.0,0.0
Total liabilities,11571800000.0,14363000000.0,10782800000.0,14402000000.0,9267900000.0,14940000000.0,9360700000.0,15912000000.0,9420000000.0,15478000000.0,9735900000.0,9176900000.0,8945400000.0,0.0,0.0
Other comprehensive income,2989200000,-1588000000.0,3450300000,-1551000000.0,2718600000,-1686000000.0,2571800000,-1598000000.0,3330700000,-1454000000.0,3371000000,3313300000,4204800000,0.0,0.0
Retained earnings (deficit),6219000000.0,9759000000.0,5990400000.0,9155000000.0,5127300000.0,8149000000.0,4491700000.0,6783000000.0,3926300000.0,6856000000.0,3484900000.0,3299500000.0,2707300000.0,0.0,0.0
Total shareholders equity,7836200000.0,8223000000.0,8297100000.0,7656000000.0,6367000000.0,6514000000.0,5811600000.0,5237000000.0,6429100000.0,5454000000.0,6799200000.0,6667100000.0,7003600000.0,0.0,0.0
Investments,161400000.0,,199600000.0,,190100000.0,,193800000.0,,181400000.0,,338900000.0,479400000.0,340200000.0,0.0,0.0
Net Debt,3533600000.0,-474000000,3188900000.0,-525000000,2691300000.0,6858000000,3376300000.0,6751000000,3349100000.0,6718000000,3313100000.0,2820900000.0,2545300000.0,0.0,0.0
Other Assets,0.0,1366000000,0.0,902000000,0.0,1094000000,0.0,1062000000,0.0,990000000,0.0,0.0,0.0,0.0,0.0
Other Liabilities,599100000.0,9014000000,632700000.0,8749000000,650900000.0,3355000000,717000000.0,3796000000,832700000.0,3702000000,825500000.0,876300000.0,787300000.0,0.0,0.0
