Date,2018-12-31,2018-12,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Total current liabilities,24715000000.0,24715000000.0,26128000000.0,26128000000.0,12604000000.0,12604000000.0,11115000000.0,11215000000.0,11581000000.0,11593000000.0,11971000000.0,11493000000.0,13634000000.0,13896000000.0,13105000000.0
Long-term debt,37662000000.0,37662000000.0,30056000000.0,30056000000.0,20456000000.0,20456000000.0,16215000000.0,16215000000.0,18741000000.0,18838000000.0,16820000000.0,19919000000.0,18310000000.0,20605000000.0,19152000000.0
Total debt,40464000000.0,37662000000.0,34071000000.0,30056000000.0,21363000000.0,20456000000.0,17210000000.0,16215000000.0,19674000000.0,18838000000.0,17960000000.0,20987000000.0,21600000000.0,23827000000.0,22373000000.0
Deferred revenue,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,6292000000.0,5435000000.0,7109000000.0,6266000000.0,1523000000.0,923000000.0,1039000000.0,575000000.0,1088000000.0,622000000.0,1286000000.0,1183000000.0,1602000000.0,1749000000.0,1621000000.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,67136000000.0,68744000000.0,64109000000.0,65706000000.0,39678000000.0,40920000000.0,30640000000.0,31437000000.0,33752000000.0,34780000000.0,29606000000.0,36245000000.0,32299000000.0,33050000000.0,31789000000.0
Total liabilities,91851000000.0,93459000000.0,90237000000.0,91834000000.0,52282000000.0,53524000000.0,41755000000.0,42652000000.0,45333000000.0,46373000000.0,41577000000.0,47738000000.0,45933000000.0,46946000000.0,44894000000.0
Other comprehensive income,-12394000000.0,-12528000000.0,-8972000000.0,-9161000000.0,-9822000000.0,-10061000000.0,-8667000000.0,-8939000000.0,-8017000000.0,-8342000000.0,-4827000000.0,-7516000000.0,-5996000000.0,-4399000000.0,-3892000000.0
Retained earnings (deficit),30536000000.0,30536000000.0,29211000000.0,29211000000.0,30338000000.0,30338000000.0,28425000000.0,28425000000.0,23045000000.0,23045000000.0,21407000000.0,18495000000.0,19087000000.0,17736000000.0,16704000000.0
Total shareholders equity,94571000000.0,94571000000.0,100330000000.0,100330000000.0,25987000000.0,25987000000.0,25374000000.0,25374000000.0,22423000000.0,22423000000.0,26898000000.0,20877000000.0,22281000000.0,21839000000.0,20555000000.0
Investments,8516000000.0,7905000000.0,9536000000.0,7900000000.0,7424000000.0,6716000000.0,7697000000.0,6881000000.0,7260000000.0,6640000000.0,7407000000.0,6999000000.0,7059000000.0,6383000000.0,5995000000.0
Net Debt,26848000000.0,26982000000,19677000000.0,20633000000,14756000000.0,14756000000,8633000000.0,8633000000,14020000000.0,14129000000,12020000000.0,16669000000.0,16154000000.0,16788000000.0,19527000000.0
Other Assets,1550000000.0,9943000000,934000000.0,10647000000,3000000.0,6296000000,-169000000.0,5473000000,508000000.0,6318000000,722000000.0,898000000.0,-371000000.0,572000000.0,444000000.0
Other Liabilities,12456000000.0,11786000000,12979000000.0,12933000000,7178000000.0,9833000000,6543000000.0,7598000000,6167000000.0,6792000000,6241000000.0,5415000000.0,5566000000.0,6318000000.0,5731000000.0
