date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-28_FY,2013-12-29_FY,2012-12-30_FY,2011-12-25_FY,2010-12-26_FY,2009-12-27_FY,2008-12-28_FY,2007-12-30_FY,2006-12-31_FY,2005-12-25_FY,2004-12-26_FY,2003-12-28_FY,2002-12-29_FY,2001-12-30_FY,2000-12-31_FY,1999-12-26_FY,1998-12-27_FY,1997-12-28_FY,1996-12-29_FY,1995-12-31_FY,1994-12-25_FY,1993-12-26_FY,1992-12-27_FY,1991-12-29_FY,1990-12-30_FY,1989-12-31_FY,1988-12-25_FY,1987-12-27_FY,1986-12-28_FY,1985-12-29_FY,1984-12-30_FY
,investmentsInPropertyPlantAndEquipment,-45499000.0,-88356000.0,-65230000.0,-76886000.0,-94796000.0,-118767000.0,-150354000.0,-110407000.0,-91874000.0,-72451000.0,-69070000.0,-67737000.0,-165000000.0,-171405000.0,-200780000.0,-262637000.0,-279790000.0,-281264000.0,-274800000.0,-324600000.0,-350580000.0,-258400000.0,-244400000.0,-221300000.0,-260000000.0,-183500000.0,-144900000.0,-132100000.0,-154100000.0,-192400000.0,-187700000.0,-216700000.0,-193100000.0,-240600000.0,-195900000.0,-202600000.0,-117100000.0
,acquisitionsNet,0.0,-1492000000.0,-312000000.0,205000000.0,-198000000.0,357000000.0,-1990877000.0,-1451006000.0,-67244000.0,-23020000.0,-15164000.0,-9581000.0,-168570000.0,-30581000.0,-403000000.0,-619283000.0,-169262000.0,-482650000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-2415000.0,-4986000.0,-11677000.0,-6405000.0,-20797000.0,-33715000.0,-75815000.0,-116639000.0,-153948000.0,-53037000.0,0.0,0.0,0.0,0.0,-338341000.0,0.0,0.0,0.0,0.0,0.0,-78531000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,5028000.0,4698000.0,7189000.0,36468000.0,39954000.0,12402000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147573000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,13180000.0,16974000.0,7400000.0,16454000.0,0.0,411012000.0,554664000.0,290724000.0,228150000.0,123781000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4264214000.0,0.0,0.0,0.0,0.0,-1833200000.0,0.0,0.0,0.0,0.0,0.0,-30200000.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-59521000.0,-1563470000.0,-374416000.0,174819000.0,-273276000.0,217276000.0,-1662101000.0,-1387500000.0,-87000000.0,-24900000.0,63000000.0,-34600000.0,-272800000.0,265600000.0,-751305000.0,-811400000.0,-462800000.0,-766400000.0,-385700000.0,-514900000.0,-1978963000.0,-1727000000.0,36900000.0,-538400000.0,504400000.0,-2014400000.0,-64600000.0,-114100000.0,-124200000.0,-59000000.0,-230200000.0,-207400000.0,-349200000.0,-239300000.0,-1134200000.0,-540100000.0,-152300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-2171000000.0,-710000000.0,-121146000.0,-1047246000.0,-437590000.0,-587509000.0,-1140000000.0,-82719000.0,-276571000.0,-194000000.0,-50000000.0,-680505000.0,-1628458000.0,-748099000.0,0.0,939150000.0,773232000.0,-712754000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,26672000.0,31435000.0,33748000.0,3609000.0,3214000.0,402000.0,0.0,12472000.0,27353000.0,72537000.0,115984000.0,235939000.0,0.0,0.0,21225000.0,0.0,0.0,0.0,0.0,16200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,-9208000.0,-819000.0,-8267000.0,-27412000.0,-182243000.0,-239746000.0,-75484000.0,-85200000.0,-120200000.0,-49400000.0,3200000.0,400000.0,-72800000.0,-202700000.0,-215426000.0,-1236900000.0,-1552800000.0,235900000.0,84900000.0,48800000.0,-967242000.0,-129500000.0,-305000000.0,400000.0,25500000.0,0.0,-395100000.0,9900000.0,21200000.0,-662400000.0,-117900000.0,-3100000.0,-27100000.0,5200000.0,7000000.0,2400000.0,4100000.0
,dividendsPaid,-76465000.0,-60624000.0,-60290000.0,-90170000.0,-121639000.0,-167508000.0,-181328000.0,-183200000.0,-158800000.0,-47900000.0,-38200000.0,-119300000.0,-366700000.0,-311200000.0,-280008000.0,-272900000.0,-273000000.0,-260700000.0,-247700000.0,-235500000.0,-228391000.0,-226300000.0,-218900000.0,-206600000.0,-197400000.0,-191900000.0,-194500000.0,-188400000.0,-180000000.0,-192500000.0,-192700000.0,-174100000.0,-161800000.0,-148700000.0,-135400000.0,-118700000.0,-102500000.0
,otherFinancingActivites,-27378000.0,-22018000.0,-5269000.0,-49321000.0,-20961000.0,-104903000.0,1887607000.0,1552604000.0,-74379000.0,-510514000.0,0.0,0.0,0.0,0.0,-3013000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-734051000.0,1159539000.0,-144972000.0,-539149000.0,-462433000.0,-819666000.0,464123000.0,1170000000.0,-663700000.0,-805500000.0,-751300000.0,-832800000.0,-716900000.0,-1629600000.0,-706102000.0,-685900000.0,-1062100000.0,-737600000.0,-701800000.0,-854500000.0,1624753000.0,560000000.0,-994100000.0,-321000000.0,-1126800000.0,1413300000.0,-674800000.0,-551500000.0,-413500000.0,-388700000.0,-384300000.0,-389500000.0,-151000000.0,-247500000.0,580900000.0,186300000.0,-204700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,2100000.0,200000.0,-400000.0,700000.0,-5800000.0,1900000.0,2995000.0,-1600000.0,7800000.0,1700000.0,5500000.0,-2200000.0,-1081000.0,100000.0,0.0,0.0,-200000.0,400000.0,-6100000.0,-2600000.0,-4500000.0,1000000.0,-200000.0,400000.0,100000.0,300000.0,100000.0,-500000.0,-400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,11564000.0,-106458000.0,7821000.0,21881000.0,-52280000.0,10716000.0,-350719000.0,294200000.0,8100000.0,-16100000.0,84200000.0,-200000.0,21700000.0,-17000000.0,25453000.0,-67100000.0,68700000.0,-23200000.0,-50300000.0,-52600000.0,147036000.0,-20000000.0,13400000.0,21600000.0,-15800000.0,0.0,-31200000.0,2200000.0,2700000.0,14400000.0,600000.0,0.0,21800000.0,-31000000.0,7100000.0,1400000.0,4400000.0
,cashAtEndOfPeriod,40968000.0,29404000.0,135862000.0,98801000.0,76920000.0,129200000.0,118281000.0,469200000.0,175100000.0,166900000.0,183200000.0,98800000.0,98700000.0,77000000.0,94256000.0,68900000.0,135700000.0,66800000.0,23700000.0,17400000.0,193196000.0,40000000.0,58400000.0,48600000.0,31200000.0,0.0,800000.0,34200000.0,32700000.0,39400000.0,17600000.0,0.0,36800000.0,7000000.0,42100000.0,23400000.0,12400000.0
,cashAtBeginningOfPeriod,29404000.0,135862000.0,128041000.0,76920000.0,129200000.0,118484000.0,469000000.0,175000000.0,167000000.0,183000000.0,99000000.0,99000000.0,77000000.0,94000000.0,68803000.0,136000000.0,67000000.0,90000000.0,74000000.0,70000000.0,46160000.0,60000000.0,45000000.0,27000000.0,47000000.0,44300000.0,32000000.0,32000000.0,30000000.0,25000000.0,17000000.0,48700000.0,15000000.0,38000000.0,35000000.0,22000000.0,8000000.0
,operatingCashFlow,805136000.0,297473000.0,527209000.0,386211000.0,683429000.0,613106000.0,847540000.0,511500000.0,756700000.0,814100000.0,772900000.0,866600000.0,1017200000.0,1345100000.0,1479865000.0,1431700000.0,1585800000.0,1479100000.0,1031700000.0,1319000000.0,502327000.0,1146900000.0,970500000.0,881100000.0,606900000.0,603500000.0,714300000.0,670300000.0,545000000.0,461200000.0,615400000.0,603400000.0,521900000.0,455400000.0,560200000.0,355700000.0,361900000.0
,capitalExpenditure,-45499000.0,-88356000.0,-65230000.0,-76886000.0,-94796000.0,-118767000.0,-150354000.0,-110407000.0,-91874000.0,-72451000.0,-69070000.0,-67737000.0,-165000000.0,-171405000.0,-200780000.0,-262637000.0,-279790000.0,-281264000.0,-274800000.0,-324600000.0,-350580000.0,-258400000.0,-244400000.0,-221300000.0,-260000000.0,-183500000.0,-144900000.0,-132100000.0,-154100000.0,-192400000.0,-187700000.0,-216700000.0,-193100000.0,-240600000.0,-195900000.0,-202600000.0,-117100000.0
,freeCashFlow,759637000.0,209117000.0,461979000.0,309325000.0,588633000.0,494339000.0,697186000.0,401100000.0,664800000.0,741600000.0,703800000.0,798900000.0,852200000.0,1173700000.0,1279085000.0,1169100000.0,1306000000.0,1197800000.0,756900000.0,994400000.0,151747000.0,888500000.0,726100000.0,659800000.0,346900000.0,420000000.0,569400000.0,538200000.0,390900000.0,268800000.0,427700000.0,386700000.0,328800000.0,214800000.0,364300000.0,153100000.0,244800000.0
