date,,2021-03-31_FY,2020-03-28_FY,2019-03-31_FY,2019-03-30_FY,2018-03-31_FY,2017-04-01_FY,2017-03-31_FY,2016-04-02_FY,2016-03-31_FY,2015-03-31_FY,2015-03-28_FY,2014-03-31_FY,2014-03-29_FY,2013-03-31_FY,2012-03-31_FY,2011-04-02_FY,2011-03-31_FY,2010-04-03_FY,2010-03-31_FY,2009-03-28_FY,2008-03-31_FY,2008-03-29_FY,2007-03-31_FY,2006-04-01_FY,2006-03-31_FY,2005-04-02_FY,2004-04-03_FY,2003-03-29_FY,2002-03-30_FY,2001-03-31_FY,2000-03-31_FY,1999-03-27_FY,1998-03-31_FY,1997-03-31_FY,1996-03-31_FY,1995-03-31_FY,1994-03-31_FY
,acquisitionsNet,0.0,0.0,-1642000000.0,-1642000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-150000.0,0.0,0.0,-2000000.0,0.0,2000000.0,2000000.0,9000000.0,9000000.0,0.0,0.0,0.0,0.0,-165000000.0,-165000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-591000.0,-1067000.0,-822000.0,-13177000.0,-373281000.0,-34236000.0,-300434000.0,-497393000.0,-300620000.0,-216013000.0,-112939000.0,-247355000.0,-85654000.0,-258278000.0,-267895000.0,-154586000.0,-305128000.0,-84990000.0,-84990000.0,-89896000.0,-347135000.0,-347135000.0,-312560000.0,-448123000.0,-448123000.0,-391776000.0,-450000.0,0.0,0.0,-25885000.0,-8800000.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,2529000.0,0.0,262317000.0,131017000.0,409238000.0,144092000.0,301158000.0,97164000.0,199681000.0,216559000.0,120430000.0,240369000.0,137955000.0,240586000.0,277620000.0,115159000.0,143193000.0,0.0,149750000.0,0.0,328285000.0,328285000.0,311439000.0,0.0,604510000.0,0.0,0.0,0.0,0.0,0.0,3800000.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,-20815000.0,6865000.0,-27038000.0,143414000.0,-12468000.0,-109132000.0,-23176000.0,299290000.0,-30661000.0,-22112000.0,-6945000.0,-50985000.0,-58345000.0,-39236000.0,-19140000.0,-113917000.0,-9976000.0,149886000.0,-5864000.0,30396000.0,0.0,-298000.0,2667000.0,562257000.0,-393000.0,351976000.0,5050000.0,12300000.0,-14500000.0,17750000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-18877000.0,-17082000.0,-1407543000.0,-1407543000.0,23489000.0,-22452000.0,-22452000.0,-131600000.0,-131600000.0,-21566000.0,-21566000.0,-57971000.0,-57029000.0,-58928000.0,-9415000.0,-169911000.0,-169911000.0,67896000.0,67896000.0,-83200000.0,-42148000.0,-42148000.0,-22482000.0,-50866000.0,-50866000.0,-67500000.0,-12300000.0,500000.0,-25900000.0,-23081000.0,-20221000.0,-3800000.0,-5900000.0,-8200000.0,-3900000.0,-3600000.0,-2200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-196980000.0,-25000000.0,-103188000.0,-103188000.0,-8000000.0,20948000.0,0.0,25517000.0,-190249000.0,0.0,33804000.0,0.0,31021000.0,-55000000.0,-31500000.0,-105716000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43123000.0,50109000.0,54301000.0,32581000.0,36204000.0,6899000.0,15108000.0,9762000.0,8152000.0,0.0,21249000.0,0.0,0.0,0.0,0.0,17878000.0,8969000.0,0.0,2500000.0,1800000.0,800000.0,100000.0,35700000.0
,commonStockRepurchased,0.0,12486000.0,-13177000.0,-13177000.0,-52948000.0,-34236000.0,-34236000.0,-497393000.0,-497393000.0,-112939000.0,-112939000.0,-85654000.0,-85654000.0,-23931000.0,-273791000.0,-105716000.0,-105716000.0,0.0,-49652000.0,-5700000.0,-1542000.0,0.0,-4021000.0,0.0,-70395000.0,3200000.0,65400000.0,-40300000.0,-68400000.0,-40050000.0,-72613000.0,-40000000.0,-13200000.0,-12800000.0,0.0,0.0,0.0
,dividendsPaid,0.0,-23970000.0,-22880000.0,-22880000.0,-19996000.0,-19959000.0,-19959000.0,-21061000.0,-21061000.0,-25730000.0,-25730000.0,-17372000.0,-17372000.0,-17072000.0,-9040000.0,-9703000.0,-9703000.0,-9781000.0,-9781000.0,-9800000.0,-9711000.0,-9711000.0,-9540000.0,-9455000.0,-9455000.0,-7300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,550299000.0,-9891000.0,1246373000.0,1246373000.0,20498000.0,-13305000.0,7643000.0,436240000.0,652006000.0,53451000.0,19647000.0,22492000.0,-8529000.0,49540000.0,72947000.0,115655000.0,5747000.0,-43782000.0,2247000.0,-6299000.0,1763000.0,5567000.0,-20835000.0,-27103000.0,22043000.0,0.0,0.0,0.0,0.0,-281000.0,0.0,-65000000.0,0.0,100000.0,0.0,-20000000.0,-87200000.0
,netCashUsedProvidedByFinancingActivities,353319000.0,-46375000.0,1107128000.0,1107128000.0,-60446000.0,-46552000.0,-46552000.0,-56697000.0,-56697000.0,-85218000.0,-85218000.0,-80534000.0,-80534000.0,-46463000.0,-198261000.0,-55371000.0,-55371000.0,-20982000.0,-20982000.0,-14900000.0,5618000.0,5618000.0,-26244000.0,-36558000.0,-36558000.0,-4100000.0,65400000.0,-40300000.0,-68400000.0,-22453000.0,-63644000.0,-105000000.0,-10700000.0,-10900000.0,800000.0,-19900000.0,-51500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,2967000.0,-3192000.0,-3784000.0,-3784000.0,4500000.0,-2263000.0,-2263000.0,-156000.0,-156000.0,-3508000.0,-3508000.0,942000.0,942000.0,-669000.0,-810000.0,1464000.0,1464000.0,0.0,1125000.0,-6000000.0,2590000.0,0.0,1106000.0,0.0,-619000.0,400000.0,500000.0,1400000.0,0.0,0.0,0.0,0.0,0.0,0.0,-300000.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,482589000.0,11370000.0,-188152000.0,14357000.0,88691000.0,368674000.0,66704000.0,193682000.0,-41584000.0,44146000.0,320996000.0,3928000.0,236632000.0,19441000.0,-68038000.0,218789000.0,-65586000.0,191768000.0,191768000.0,-4900000.0,68960000.0,68960000.0,25428000.0,-9695000.0,-9695000.0,22400000.0,125900000.0,11700000.0,-17500000.0,20273000.0,-2728000.0,-21900000.0,0.0,0.0,0.0,0.0,0.0
,cashAtEndOfPeriod,696468000.0,213879000.0,202509000.0,202509000.0,390661000.0,301970000.0,301970000.0,235266000.0,235266000.0,276850000.0,276850000.0,232704000.0,232704000.0,228776000.0,209335000.0,284375000.0,284375000.0,349961000.0,349961000.0,158200000.0,163091000.0,163091000.0,94131000.0,68703000.0,68703000.0,203000000.0,180600000.0,54700000.0,43100000.0,60544000.0,40271000.0,43000000.0,0.0,0.0,0.0,0.0,0.0
,cashAtBeginningOfPeriod,213879000.0,202509000.0,390661000.0,188152000.0,301970000.0,-66704000.0,235266000.0,41584000.0,276850000.0,232704000.0,-44146000.0,228776000.0,-3928000.0,209335000.0,277373000.0,65586000.0,349961000.0,158193000.0,158193000.0,163100000.0,94131000.0,94131000.0,68703000.0,78398000.0,78398000.0,180600000.0,54700000.0,43000000.0,60600000.0,40271000.0,42999000.0,64900000.0,42300000.0,26800000.0,3400000.0,8500000.0,33300000.0
,operatingCashFlow,145180000.0,78019000.0,116047000.0,116047000.0,121148000.0,137971000.0,137971000.0,146869000.0,146869000.0,154438000.0,154438000.0,141491000.0,141491000.0,125501000.0,140448000.0,158232000.0,158232000.0,143729000.0,143729000.0,99200000.0,102900000.0,102900000.0,73048000.0,78348000.0,78348000.0,93600000.0,72400000.0,50100000.0,76800000.0,65807000.0,81137000.0,86900000.0,39200000.0,34600000.0,26900000.0,18300000.0,28900000.0
,capitalExpenditure,-22715000.0,-22880000.0,-26797000.0,-26797000.0,-12468000.0,-23176000.0,-23176000.0,-30661000.0,-30661000.0,-21962000.0,-21962000.0,-50985000.0,-50985000.0,-39310000.0,-19140000.0,-18567000.0,-18567000.0,277000.0,0.0,-23700000.0,-23298000.0,0.0,-24028000.0,0.0,-41860000.0,-27700000.0,-16900000.0,-11800000.0,-11400000.0,-14946000.0,-15221000.0,-3800000.0,-5900000.0,-8200000.0,-3900000.0,-3600000.0,-2200000.0
,freeCashFlow,122465000.0,55139000.0,89250000.0,89250000.0,108680000.0,114795000.0,114795000.0,116208000.0,116208000.0,132476000.0,132476000.0,90506000.0,90506000.0,86191000.0,121308000.0,139665000.0,139665000.0,144006000.0,143729000.0,75500000.0,79602000.0,102900000.0,49020000.0,78348000.0,36488000.0,65900000.0,55500000.0,38300000.0,65400000.0,50861000.0,65916000.0,83100000.0,33300000.0,26400000.0,23000000.0,14700000.0,26700000.0
