date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1986-12-31_FY,1985-12-31_FY
,purchasesOfInvestments,0.0,0.0,0.0,-1000000.0,-3000000.0,-1000000.0,-3000000.0,0.0,-91000000.0,-84000000.0,-70000000.0,-36000000.0,-150000000.0,-173000000.0,-135000000.0,-194000000.0,-116000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-391000000.0,-159000000.0,-60000000.0,-128000000.0,-356000000.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,1000000.0,2000000.0,0.0,0.0,0.0,95000000.0,83000000.0,74000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293000000.0,303000000.0,102000000.0,126000000.0,406000000.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,326000000.0,352000000.0,25000000.0,21000000.0,-7000000.0,87000000.0,844000000.0,90000000.0,131000000.0,33000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,16000000.0,90000000.0,10000000.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-13000000.0,311000000.0,-22000000.0,-24000000.0,-21000000.0,-51000000.0,41000000.0,760000000.0,25000000.0,-25000000.0,-112000000.0,-22000000.0,-188000000.0,2408000000.0,-225000000.0,-1304000000.0,-120000000.0,-1267000000.0,-758000000.0,-1047000000.0,-783000000.0,-685000000.0,-1839000000.0,-1896000000.0,-636000000.0,-2380000000.0,6742000000.0,-1150000000.0,-1860000000.0,-2077000000.0,-1949000000.0,-2058000000.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1000000.0,-395000000.0,-3000000.0,-7000000.0,-282000000.0,-4000000.0,-4000000.0,0.0,-178000000.0,-160000000.0,-565000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,-1000000.0,-3000000.0,-1000000.0,-1000000.0,0.0,0.0,0.0,0.0,0.0,-301000000.0,6000000.0,0.0,12000000.0,5000000.0,12000000.0,-209000000.0,-22000000.0,-1082000000.0,-853000000.0,-130000000.0,-754000000.0,-1197000000.0,-185000000.0,34000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-22000000.0,-3000000.0,-8000000.0,-10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-139000000.0,-144000000.0,-144000000.0,-144000000.0,-143000000.0,-330000000.0,-525000000.0,-643000000.0,-545000000.0,-563000000.0,-569000000.0,-567000000.0,-539000000.0,-547000000.0,-566000000.0,-657000000.0,-650000000.0,-649000000.0,-649000000.0,-649000000.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,333000000.0,243000000.0,-11000000.0,213000000.0,4000000.0,-2000000.0,844000000.0,1821000000.0,1267000000.0,491000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,16000000.0,2000000.0,1000000.0,5000000.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,10000000.0,-298000000.0,-11000000.0,-29000000.0,-72000000.0,-1000000.0,-7000000.0,-370000000.0,508000000.0,246000000.0,-74000000.0,33000000.0,-731000000.0,-1280000000.0,-947000000.0,533000000.0,-1066000000.0,270000000.0,-1331000000.0,-808000000.0,-314000000.0,-1327000000.0,77000000.0,-1198000000.0,-1833000000.0,-512000000.0,-8006000000.0,-183000000.0,-1898000000.0,-430000000.0,-945000000.0,-278000000.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,4000000.0,-2000000.0,-7000000.0,11000000.0,-7000000.0,-18000000.0,-38000000.0,-18000000.0,3000000.0,14000000.0,5000000.0,4000000.0,-36000000.0,36000000.0,20000000.0,-27000000.0,23000000.0,33000000.0,6000000.0,-8000000.0,-12000000.0,-5000000.0,8000000.0,-35000000.0,-2000000.0,6000000.0,7000000.0,-7000000.0,-17000000.0,-2000000.0,24000000.0,-36000000.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-34000000.0,23000000.0,-102000000.0,-109000000.0,-122000000.0,-158000000.0,-132000000.0,-291000000.0,274000000.0,-763000000.0,-400000000.0,-121000000.0,-802000000.0,1478000000.0,-196000000.0,410000000.0,5000000.0,681000000.0,121000000.0,202000000.0,-127000000.0,-84000000.0,-271000000.0,-1049000000.0,13000000.0,-256000000.0,385000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cashAtEndOfPeriod,256000000.0,256000000.0,242000000.0,325000000.0,424000000.0,554000000.0,712000000.0,844000000.0,1135000000.0,861000000.0,1624000000.0,2024000000.0,2145000000.0,2947000000.0,1469000000.0,1665000000.0,1255000000.0,1250000000.0,569000000.0,448000000.0,246000000.0,373000000.0,457000000.0,728000000.0,1777000000.0,1764000000.0,2020000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cashAtBeginningOfPeriod,290000000.0,233000000.0,344000000.0,434000000.0,546000000.0,712000000.0,844000000.0,1135000000.0,861000000.0,1624000000.0,2024000000.0,2145000000.0,2947000000.0,1469000000.0,1665000000.0,1255000000.0,1250000000.0,569000000.0,448000000.0,246000000.0,373000000.0,457000000.0,728000000.0,1777000000.0,1764000000.0,2020000000.0,1635000000.0,361000000.0,783000000.0,735000000.0,1095000000.0,848000000.0,0.0,0.0,0.0
,operatingCashFlow,-35000000.0,12000000.0,-62000000.0,-67000000.0,-15000000.0,-95000000.0,-128000000.0,-663000000.0,-289000000.0,-1025000000.0,-219000000.0,-136000000.0,168000000.0,328000000.0,956000000.0,1208000000.0,1168000000.0,1645000000.0,2204000000.0,2206000000.0,1105000000.0,1933000000.0,1483000000.0,2080000000.0,2484000000.0,2630000000.0,1642000000.0,2614000000.0,3366000000.0,2557000000.0,2510000000.0,2619000000.0,0.0,0.0,0.0
,capitalExpenditure,0.0,-15000000.0,-33000000.0,-38000000.0,-41000000.0,-43000000.0,-43000000.0,-39000000.0,-69000000.0,-128000000.0,-149000000.0,-152000000.0,-254000000.0,-259000000.0,-335000000.0,-432000000.0,-460000000.0,-497000000.0,-571000000.0,-743000000.0,-945000000.0,-1127000000.0,-1108000000.0,-1485000000.0,-1341000000.0,-1034000000.0,-1153000000.0,-1082000000.0,-2092000000.0,-2135000000.0,-2037000000.0,-2118000000.0,0.0,0.0,0.0
,freeCashFlow,-35000000.0,-3000000.0,-95000000.0,-105000000.0,-56000000.0,-138000000.0,-171000000.0,-702000000.0,-331000000.0,-1126000000.0,-368000000.0,-288000000.0,-86000000.0,69000000.0,621000000.0,776000000.0,708000000.0,1148000000.0,1633000000.0,1463000000.0,160000000.0,806000000.0,375000000.0,595000000.0,1143000000.0,1596000000.0,489000000.0,1532000000.0,1274000000.0,422000000.0,473000000.0,501000000.0,0.0,0.0,0.0
