date,,2020-05-31_FY,2019-05-26_FY,2018-05-27_FY,2017-05-28_FY,2016-05-29_FY,2015-05-31_FY,2014-05-25_FY,2013-05-26_FY,2012-05-27_FY,2011-05-29_FY,2010-05-30_FY,2009-05-31_FY,2008-05-25_FY,2007-05-27_FY,2006-05-28_FY,2005-05-29_FY,2004-05-30_FY,2003-05-25_FY,2002-05-26_FY,2001-05-27_FY,2000-05-28_FY,1999-05-30_FY,1998-05-31_FY,1997-05-25_FY,1996-05-26_FY,1995-05-28_FY,1994-05-29_FY,1993-05-30_FY,1992-05-31_FY,1991-05-26_FY,1990-05-27_FY,1989-05-28_FY,1988-05-29_FY,1987-05-31_FY,1986-05-25_FY,1985-05-26_FY,1984-05-27_FY
,investmentsInPropertyPlantAndEquipment,-460800000.0,-537600000.0,-622700000.0,-684400000.0,-729300000.0,-712400000.0,-663500000.0,-613900000.0,-675900000.0,-648800000.0,-649900000.0,-562600000.0,-522000000.0,-460000000.0,-360000000.0,-434000000.0,-653000000.0,-711000000.0,-506000000.0,-307500000.0,-267700000.0,-280900000.0,-193100000.0,-162500000.0,-128800000.0,-156500000.0,-559500000.0,-623800000.0,-695300000.0,-554600000.0,-540000000.0,-442400000.0,-410700000.0,-329100000.0,-244900000.0,-209700000.0,-282400000.0
,acquisitionsNet,0.0,26000000.0,-8035800000.0,18000000.0,-84000000.0,-822000000.0,122000000.0,-898000000.0,-1050100000.0,-123300000.0,0.0,245000000.0,1000000.0,-70000000.0,-27000000.0,799000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,-1100000.0,-601600000.0,-1651500000.0,-606700000.0,0.0,-1745300000.0,-1044900000.0,-313000000.0,-1163500000.0,-691800000.0,0.0,0.0,0.0,0.0,-1000000.0,-7000000.0,-63000000.0,0.0,0.0,0.0,0.0,-10600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,20900000.0,-40900000.0,606500000.0,1670500000.0,1505300000.0,23900000.0,1817800000.0,1041400000.0,168200000.0,1291800000.0,620500000.0,19000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42000000.0,0.0,0.0,0.0,0.0,0.0,39200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-486200000.0,-556500000.0,-8685400000.0,-646900000.0,93400000.0,-1602200000.0,-561800000.0,-1515400000.0,-1870800000.0,-715100000.0,-721200000.0,-288900000.0,-442400000.0,-597000000.0,-292000000.0,496000000.0,-470000000.0,-1018000000.0,-3271000000.0,-460100000.0,-563700000.0,-374900000.0,-203300000.0,-185600000.0,-173000000.0,-373400000.0,-782200000.0,-676000000.0,-648000000.0,-488000000.0,-530200000.0,150200000.0,-420000000.0,-217500000.0,148000000.0,-188900000.0,10000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1396700000.0,-1493800000.0,-600100000.0,-1000000000.0,-1000400000.0,-1145800000.0,-1444800000.0,-542300000.0,-1450100000.0,-7400000.0,-906900000.0,-370300000.0,-1623000000.0,-2323000000.0,-1386000000.0,-1115000000.0,-248000000.0,-334000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,241000000.0,969900000.0,112000000.0,171000000.0,0.0,108000000.0,300000000.0,233000000.0,410000000.0,388000000.0,305200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92500000.0,0.0,0.0,0.0,0.0,0.0,39300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,-3400000.0,240300000.0,467600000.0,-1538900000.0,-434800000.0,-1161900000.0,-1637200000.0,-744100000.0,-79500000.0,-753100000.0,-303000000.0,-1296400000.0,-2234000000.0,-1004000000.0,-728000000.0,-576000000.0,168000000.0,67000000.0,-2297000000.0,-119300000.0,-709600000.0,-247900000.0,-524900000.0,-301300000.0,2400000.0,-33400000.0,-132400000.0,-387900000.0,-40100000.0,41500000.0,19000000.0,-174700000.0,-226400000.0,-60300000.0,22000000.0,-43800000.0,-131000000.0
,dividendsPaid,-1195800000.0,-1181700000.0,-1139700000.0,-1135100000.0,-1071700000.0,-1017700000.0,-983300000.0,-867600000.0,-800100000.0,-729400000.0,-643700000.0,-579500000.0,-529700000.0,-506000000.0,-485000000.0,-461000000.0,-413000000.0,-406000000.0,-358000000.0,-312400000.0,-329200000.0,-331400000.0,-336300000.0,-320700000.0,-303600000.0,-297200000.0,-299400000.0,-274800000.0,-245200000.0,-210600000.0,-180800000.0,-154400000.0,-139300000.0,-110800000.0,-100900000.0,-100400000.0,-96000000.0
,otherFinancingActivites,-88500000.0,500200000.0,6817000000.0,2141100000.0,393200000.0,33500000.0,2349300000.0,1314600000.0,1901800000.0,963700000.0,738600000.0,-1313500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2800000.0,0.0,0.0,0.0,0.0,0.0,-7900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-1941500000.0,-2176400000.0,5445500000.0,-1747400000.0,-2420000000.0,-1384800000.0,-1824100000.0,-1140200000.0,-661400000.0,-936600000.0,-1503800000.0,-1404500000.0,-1093000000.0,-1398000000.0,-1405000000.0,-2385000000.0,-943000000.0,-885000000.0,3269000000.0,-238300000.0,-102300000.0,-313800000.0,-572600000.0,-409500000.0,-479200000.0,-308900000.0,-148300000.0,-84400000.0,-162900000.0,-17300000.0,-107500000.0,-510100000.0,-85800000.0,-207300000.0,-375800000.0,125400000.0,-238100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-20700000.0,-23100000.0,31800000.0,-18500000.0,-8100000.0,-88900000.0,-29200000.0,-200000.0,-18200000.0,71300000.0,-32800000.0,-46000000.0,49400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,1227800000.0,51000000.0,-367100000.0,2400000.0,429500000.0,-533100000.0,125900000.0,270200000.0,-148400000.0,-53600000.0,-76600000.0,88800000.0,243900000.0,-230000000.0,74000000.0,-178000000.0,48000000.0,-272000000.0,911000000.0,38500000.0,21700000.0,-2500000.0,0.0,-7800000.0,7600000.0,-14800000.0,-99800000.0,99500000.0,0.0,39100000.0,-9900000.0,-4000000.0,-165100000.0,-10600000.0,123500000.0,800000.0,8000000.0
,cashAtEndOfPeriod,1677800000.0,450000000.0,399000000.0,766100000.0,763700000.0,334200000.0,866900000.0,741200000.0,471600000.0,619400000.0,673400000.0,749800000.0,660900000.0,417000000.0,647000000.0,573000000.0,751000000.0,703000000.0,975000000.0,64500000.0,25700000.0,3500000.0,0.0,13200000.0,20600000.0,-14800000.0,200000.0,100500000.0,0.0,40100000.0,1100000.0,11000000.0,14900000.0,179400000.0,190500000.0,66800000.0,8000000.0
,cashAtBeginningOfPeriod,450000000.0,399000000.0,766100000.0,763700000.0,334200000.0,867300000.0,741000000.0,471000000.0,620000000.0,673000000.0,750000000.0,661000000.0,417000000.0,647000000.0,573000000.0,751000000.0,703000000.0,975000000.0,64000000.0,26000000.0,4000000.0,6000000.0,12800000.0,21000000.0,13000000.0,0.0,100000000.0,1000000.0,39800000.0,1000000.0,11000000.0,15000000.0,180000000.0,190000000.0,67000000.0,66000000.0,0.0
,operatingCashFlow,3676200000.0,2807000000.0,2841000000.0,2415200000.0,2764200000.0,2542800000.0,2541000000.0,2926000000.0,2402000000.0,1526800000.0,2181200000.0,1828200000.0,1729900000.0,1765000000.0,1771000000.0,1711000000.0,1461000000.0,1631000000.0,913000000.0,736900000.0,687700000.0,686200000.0,769500000.0,587300000.0,659800000.0,667500000.0,830700000.0,859900000.0,771600000.0,544400000.0,627800000.0,355900000.0,340700000.0,414200000.0,351300000.0,64300000.0,236100000.0
,capitalExpenditure,-460800000.0,-537600000.0,-622700000.0,-684400000.0,-729300000.0,-712400000.0,-663500000.0,-613900000.0,-675900000.0,-648800000.0,-649900000.0,-562600000.0,-522000000.0,-460000000.0,-360000000.0,-434000000.0,-653000000.0,-711000000.0,-506000000.0,-307500000.0,-267700000.0,-280900000.0,-193100000.0,-162500000.0,-128800000.0,-156500000.0,-559500000.0,-623800000.0,-695300000.0,-554600000.0,-540000000.0,-442400000.0,-410700000.0,-329100000.0,-244900000.0,-209700000.0,-282400000.0
,freeCashFlow,3215400000.0,2269400000.0,2218300000.0,1730800000.0,2034900000.0,1830400000.0,1877500000.0,2312100000.0,1726100000.0,878000000.0,1531300000.0,1265600000.0,1207900000.0,1305000000.0,1411000000.0,1277000000.0,808000000.0,920000000.0,407000000.0,429400000.0,420000000.0,405300000.0,576400000.0,424800000.0,531000000.0,511000000.0,271200000.0,236100000.0,76300000.0,-10200000.0,87800000.0,-86500000.0,-70000000.0,85100000.0,106400000.0,-145400000.0,-46300000.0
