date,,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY
,netCashUsedProvidedByFinancingActivities,15744000.0,104608000.0,3739000.0,104931688.575711,12858067.000385,16391618.668516,36367991.185113,11319341.905295,6790761.149842,1908291.700904,851894.375442,9629140.356898,727566.729809,5677937.677808,1547282.093201,116994.746905,44043.895024,66688.896299,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,290000.0,-1646000.0,-1767000.0,1564357.459125,219705.664134,-329309.530272,-340649.363369,-139175.731883,-64846.719511,-19602.30074,-7791.57831,-12.010981,-1380.230756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-23962000.0,-11461000.0,13609000.0,33820615.750392,-4263869.192407,-6536299.66929,16499158.667972,4155938.049912,2682233.788559,-2874717.337716,-4726747.450267,5171263.726836,-2653745.479594,3580701.914918,1279126.599166,2644.333073,-38006.130731,-80295.431811,-100860.991625,41834.665627,-189303.983229
,cashAtEndOfPeriod,23674000.0,47636000.0,59097000.0,45457677.928432,12687392.582436,18142994.28043,24046720.8619,7704828.227484,3389798.491071,608784.716516,4280947.187721,7652985.586822,2490696.573101,4970099.156504,1288007.896543,7315.585876,4619.404766,45254.418139,129985.569587,217288.620264,188658.979734
,cashAtBeginningOfPeriod,47636000.0,59097000.0,45488000.0,11637062.17804,16951261.774843,24679293.94972,7547562.193928,3548890.177572,707564.702512,3483502.054232,9007694.637988,2481721.859986,5144442.052695,1389397.241586,8881.297377,4671.252803,42625.535497,125549.84995,230846.561212,175453.954637,377962.962963
,operatingCashFlow,26435000.0,45270000.0,47427000.0,28501283.531175,-2934263.737709,-2258549.701959,-2894892.262488,-2303585.426332,-1284456.116894,-702917.009039,-771553.064728,-483885.552505,-678526.778027,-309106.260502,-157296.205187,-62944.401039,-39680.774884,-51924.641547,-73389.351874,44009.22857,-189303.983229
,capitalExpenditure,-65633000.0,-61716000.0,-45620000.0,-28611546.611995,-23398998.844821,-21360235.417106,-491455.435847,-4137712.965925,-2085597.364149,-4532371.405094,-10556.397051,-8198.35278,-2214121.749613,-4234.115827,0.0,0.0,-1150.768226,-177.392464,0.0,-2174.562943,0.0
,freeCashFlow,-39198000.0,-16446000.0,1807000.0,-110263.080819,-26333262.58253,-23618785.119066,-3386347.698335,-6441298.392257,-3370053.481043,-5235288.414133,-782109.461779,-492083.905285,-2892648.527639,-313340.376329,-157296.205187,-62944.401039,-40831.54311,-52102.034011,-73389.351874,41834.665627,-189303.983229
