date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1998-03-31_FY,1997-03-31_FY,1996-03-31_FY,1995-03-31_FY,1994-03-31_FY,1993-03-31_FY,1992-03-31_FY,1991-03-31_FY,1990-03-31_FY,1989-03-31_FY,1988-03-31_FY,1987-03-31_FY
,salesMaturitiesOfInvestments,0.0,27015000.0,0.0,1201000.0,0.0,0.0,495000.0,107000.0,1466000.0,7600000.0,7006000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,-4040000.0,0.0,0.0,3000.0,-7717000.0,0.0,0.0,0.0,0.0,0.0,568000.0,225000.0,0.0,0.0,0.0,0.0,-327000.0,0.0,-50000.0,-1600000.0,0.0,-2500000.0,-1400000.0,-1600000.0,-3000000.0,-2100000.0,-1400000.0,-2600000.0,-1200000.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-44806000.0,-96696000.0,-251590000.0,-207111000.0,-20739000.0,-37393000.0,-77786000.0,-8840000.0,-63375000.0,-13320000.0,-24406000.0,-47427000.0,-74313000.0,-15324000.0,-15403000.0,-484000.0,-8522000.0,-555000.0,-538000.0,-520000.0,-138000.0,-944000.0,-2100000.0,-3600000.0,-3100000.0,-2000000.0,-2300000.0,-4400000.0,-3500000.0,-1900000.0,-3000000.0,-1400000.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,-15749000.0,-19212000.0,-13011000.0,-59291000.0,-652000.0,-32514000.0,-24880000.0,-20009000.0,-6707000.0,-5804000.0,-2881000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12519000.0,19591000.0,779000.0,131000.0,3059000.0,148000.0,0.0,6871000.0,4519000.0,23922000.0,0.0,500000.0,15100000.0,400000.0,0.0,3500000.0,2500000.0,2800000.0,200000.0,300000.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,-13182000.0,-41287000.0,-46130000.0,-60782000.0,-83855000.0,-35430000.0,-4173000.0,-19366000.0,-63659000.0,-10650000.0,-505000.0,-25275000.0,0.0,-149000.0,-2700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,-9193000.0,-9316000.0,-9545000.0,-9829000.0,-10472000.0,-11406000.0,-2794000.0,-7034000.0,-1461000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,0.0,0.0,-398000.0,-998000.0,463000.0,-3200000.0,3237000.0,1044000.0,-6761000.0,-22521000.0,0.0,1239000.0,0.0,0.0,3000000.0,-3000000.0,0.0,0.0,0.0,0.0,285000.0,0.0,0.0,-100000.0,100000.0,0.0,100000.0,-100000.0,-100000.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,0.0,905000.0,256132000.0,78028000.0,-4078000.0,-6307000.0,15863000.0,-26449000.0,6906000.0,-55537000.0,-25682000.0,23179000.0,12275000.0,44272000.0,9769000.0,-4029000.0,3486000.0,34000.0,-221000.0,6830000.0,3714000.0,20476000.0,2100000.0,1000000.0,13600000.0,1000000.0,-1200000.0,4600000.0,2700000.0,1900000.0,3100000.0,-1200000.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,-3314000.0,-5689000.0,2053000.0,-1992000.0,-107000.0,-961000.0,-1548000.0,-3073000.0,-2130000.0,1479000.0,123000.0,-3749000.0,1034000.0,-236000.0,-80000.0,154000.0,100000.0,327000.0,36000.0,92000.0,-197000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,0.0,-38312000.0,88722000.0,-50223000.0,56939000.0,4879000.0,-4374000.0,20225000.0,12753000.0,299000.0,4170000.0,9752000.0,-38962000.0,44453000.0,-1720000.0,890000.0,-2072000.0,2922000.0,-1174000.0,3107000.0,-3995000.0,6002000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cashAtEndOfPeriod,0.0,111369000.0,159589000.0,63895000.0,114118000.0,57179000.0,52300000.0,56674000.0,36449000.0,23696000.0,23397000.0,19227000.0,9475000.0,49466000.0,5013000.0,6733000.0,5843000.0,7915000.0,4993000.0,6167000.0,3060000.0,7055000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cashAtBeginningOfPeriod,0.0,149681000.0,70867000.0,114118000.0,57179000.0,52300000.0,56674000.0,36449000.0,23696000.0,23397000.0,19227000.0,9475000.0,48437000.0,5013000.0,6733000.0,5843000.0,7915000.0,4993000.0,6167000.0,3060000.0,7055000.0,1053000.0,900000.0,6600000.0,900000.0,900000.0,1700000.0,1100000.0,1400000.0,1100000.0,800000.0,200000.0,0.0,0.0,0.0
,operatingCashFlow,100356000.0,60793000.0,89869000.0,76807000.0,83748000.0,48686000.0,58510000.0,57062000.0,72295000.0,71286000.0,52779000.0,33877000.0,26825000.0,14471000.0,4150000.0,5483000.0,2810000.0,3343000.0,-742000.0,-3239000.0,-7663000.0,-13333000.0,200000.0,-3200000.0,-4900000.0,1100000.0,2700000.0,300000.0,500000.0,200000.0,200000.0,3200000.0,0.0,0.0,0.0
,capitalExpenditure,0.0,-12897000.0,-16111000.0,-10190000.0,-9965000.0,-17483000.0,-16277000.0,-1230000.0,-1965000.0,-2829000.0,-1754000.0,-3129000.0,-615000.0,-1754000.0,-537000.0,-484000.0,-366000.0,-555000.0,-538000.0,-193000.0,-138000.0,-894000.0,-500000.0,-3600000.0,-600000.0,-600000.0,-700000.0,-1400000.0,-1400000.0,-500000.0,-400000.0,-400000.0,0.0,0.0,0.0
,freeCashFlow,100356000.0,47896000.0,73758000.0,66617000.0,73783000.0,31203000.0,42233000.0,55832000.0,70330000.0,68457000.0,51025000.0,30748000.0,26210000.0,12717000.0,3613000.0,4999000.0,2444000.0,2788000.0,-1280000.0,-3432000.0,-7801000.0,-14227000.0,-300000.0,-6800000.0,-5500000.0,500000.0,2000000.0,-1100000.0,-900000.0,-300000.0,-200000.0,2800000.0,0.0,0.0,0.0
