date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-30_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY
,purchasesOfInvestments,-98081000000.0,-55183000000.0,-37400000000.0,-34604000000.0,-34257000000.0,-49845000000.0,-72852000000.0,-35533000000.0,-47265000000.0,-43431000000.0,-23764000000.0,-28787000000.0,-11647000000.0,-33010000000.0,-14583000000.0,-18513000000.0,-16717000000.0,-28061000000.0,-21155000000.0,-12876000000.0,-4156000000.0,-5516000000.0,-3573000000.0,-5126000000.0,-1661000000.0,-1416000000.0,-4527000000.0,-2344000000.0,-1642000000.0,-3935000000.0,-1068400000.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,67790000000.0,54654000000.0,35689000000.0,29889000000.0,36398000000.0,47688000000.0,51506000000.0,34575000000.0,30238000000.0,28584000000.0,17162000000.0,13260000000.0,17423000000.0,23946000000.0,16965000000.0,17863000000.0,14732000000.0,24054000000.0,19163000000.0,8176000000.0,5399000000.0,2361000000.0,3430000000.0,1773000000.0,1920000000.0,3860000000.0,2677000000.0,1425000000.0,2791000000.0,3798000000.0,2085400000.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,-728000000.0,676000000.0,-153000000.0,-207000000.0,-444000000.0,3583000000.0,4887000000.0,-560000000.0,-409000000.0,-1234000000.0,-591000000.0,-987000000.0,-60978000000.0,-13629000000.0,-8522000000.0,-6576000000.0,-150000000.0,-523000000.0,5903000000.0,-987000000.0,559000000.0,2676000000.0,-4777000000.0,247000000.0,-145000000.0,-4794000000.0,-3537000000.0,-1414000000.0,2382000000.0,2234000000.0,2197500000.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-78455000000.0,-10548000000.0,3299000000.0,-31050000000.0,51203000000.0,-19787000000.0,-11675000000.0,-13200000000.0,-29387000000.0,-80178000000.0,-14996000000.0,22657000000.0,-55975000000.0,-21574000000.0,-6352000000.0,-7622000000.0,-2534000000.0,-6503000000.0,3192000000.0,-6466000000.0,1410000000.0,-1066000000.0,-5174000000.0,-3151000000.0,67000000.0,-2404000000.0,-5430000000.0,-2380000000.0,3495000000.0,2068000000.0,3154000000.0,-3043500000.0,1284200000.0,-1138100000.0,-1397400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-5200000000.0,-5250000000.0,-3650000000.0,-1046000000.0,-2953000000.0,-4053000000.0,-4376000000.0,-2707000000.0,-4959000000.0,-2460000000.0,-2616000000.0,-7725000000.0,-8023000000.0,-2198000000.0,-567000000.0,-215000000.0,-476000000.0,-1534000000.0,-1650000000.0,-165000000.0,-53000000.0,-21000000.0,-44000000.0,-48000000.0,-16000000.0,-1027000000.0,-115000000.0,-655000000.0,-131000000.0,-33000000.0,-85000000.0,0.0,0.0,0.0,0.0
,commonStockIssued,12000000.0,21000000.0,40000000.0,34000000.0,27000000.0,26000000.0,26000000.0,25000000.0,25000000.0,25000000.0,697000000.0,1371000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,-1572000000.0,-3327000000.0,-3269000000.0,-2686000000.0,-2398000000.0,-2355000000.0,-1669000000.0,-1026000000.0,-1148000000.0,-873000000.0,-41000000.0,-3028000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-59800000.0,176000000.0,117800000.0,29100000.0
,dividendsPaid,-1296000000.0,-1289000000.0,-1221000000.0,-1076000000.0,-900000000.0,-865000000.0,-833000000.0,-744000000.0,-641000000.0,-593000000.0,-440000000.0,-672000000.0,-1129000000.0,-884000000.0,-656000000.0,-644000000.0,-608000000.0,-563000000.0,-549000000.0,-526000000.0,-484000000.0,-435000000.0,-403000000.0,-383000000.0,-338000000.0,-272000000.0,-219000000.0,-179000000.0,-146000000.0,-149000000.0,-179300000.0,-164900000.0,0.0,0.0,0.0
,otherFinancingActivites,6025000000.0,-964000000.0,-455000000.0,-785000000.0,-957000000.0,707000000.0,5518000000.0,-515000000.0,3428000000.0,-20000000.0,-761000000.0,-132000000.0,1710000000.0,409000000.0,-1358000000.0,-39000000.0,-1528000000.0,0.0,0.0,0.0,0.0,200000000.0,0.0,400000000.0,600000000.0,0.0,-177000000.0,938000000.0,-2014000000.0,153000000.0,-3066700000.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,75508000000.0,9459000000.0,-8098000000.0,26780000000.0,-59050000000.0,15185000000.0,7829000000.0,15621000000.0,28288000000.0,78765000000.0,10790000000.0,-27973000000.0,51753000000.0,21468000000.0,2479000000.0,8054000000.0,-505000000.0,1849000000.0,-4730000000.0,422000000.0,648000000.0,1314000000.0,1916000000.0,1988000000.0,374000000.0,2390000000.0,1311000000.0,-687000000.0,-1242000000.0,-3841000000.0,-4278300000.0,1901300000.0,303500000.0,23400000.0,1676700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,61000000.0,2000000.0,-72000000.0,189000000.0,-114000000.0,42000000.0,-128000000.0,-46000000.0,22000000.0,-298000000.0,40000000.0,-53000000.0,-438000000.0,-69000000.0,-85000000.0,309000000.0,-265000000.0,-63000000.0,-93000000.0,175000000.0,-43000000.0,13000000.0,-78000000.0,74000000.0,-32000000.0,-5000000.0,60000000.0,-32000000.0,-33000000.0,-12000000.0,40700000.0,2800000.0,-20700000.0,57800000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,2152000000.0,-991000000.0,1125000000.0,560000000.0,-1715000000.0,-433000000.0,510000000.0,1733000000.0,552000000.0,500000000.0,-57000000.0,-1157000000.0,-1746000000.0,3795000000.0,-675000000.0,-371000000.0,43000000.0,-905000000.0,1526000000.0,97000000.0,-151000000.0,-723000000.0,-1770000000.0,-263000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-199500000.0,1416700000.0,-519300000.0,545000000.0
,cashAtEndOfPeriod,9419000000.0,7267000000.0,8258000000.0,5382000000.0,4822000000.0,6537000000.0,6970000000.0,6460000000.0,4727000000.0,4175000000.0,3675000000.0,3732000000.0,4889000000.0,6635000000.0,2840000000.0,3515000000.0,3886000000.0,3843000000.0,4748000000.0,3222000000.0,3125000000.0,3276000000.0,3999000000.0,5769000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-199500000.0,1416700000.0,-519300000.0,545000000.0
,cashAtBeginningOfPeriod,7267000000.0,8258000000.0,7133000000.0,4822000000.0,6537000000.0,6970000000.0,6460000000.0,4727000000.0,4175000000.0,3675000000.0,3732000000.0,4889000000.0,6635000000.0,2840000000.0,3515000000.0,3886000000.0,3843000000.0,4748000000.0,3222000000.0,3125000000.0,3276000000.0,3999000000.0,5769000000.0,6032000000.0,4711000000.0,2903000000.0,4511000000.0,5506000000.0,1915000000.0,2860000000.0,2685300000.0,0.0,0.0,0.0,0.0
,operatingCashFlow,5038000000.0,96000000.0,5996000000.0,4641000000.0,6246000000.0,4127000000.0,4484000000.0,-642000000.0,1629000000.0,2211000000.0,4050000000.0,3781000000.0,2914000000.0,3970000000.0,3283000000.0,-1112000000.0,3347000000.0,3812000000.0,3157000000.0,5966000000.0,-2166000000.0,-984000000.0,1566000000.0,826000000.0,912000000.0,1827000000.0,2451000000.0,2104000000.0,949000000.0,840000000.0,1258300000.0,939900000.0,-150300000.0,537600000.0,265700000.0
,capitalExpenditure,-1222000000.0,-1210000000.0,-1108000000.0,-1197000000.0,-825000000.0,-601000000.0,-791000000.0,-609000000.0,-652000000.0,-642000000.0,-230000000.0,-318000000.0,-262000000.0,-312000000.0,-72000000.0,-131000000.0,-262000000.0,-129000000.0,-208000000.0,-165000000.0,-106000000.0,-587000000.0,-88000000.0,-45000000.0,-47000000.0,-54000000.0,-43000000.0,-47000000.0,-36000000.0,-29000000.0,-60500000.0,-50800000.0,-48300000.0,-20100000.0,-44800000.0
,freeCashFlow,3816000000.0,-1114000000.0,4888000000.0,3444000000.0,5421000000.0,3526000000.0,3693000000.0,-1251000000.0,977000000.0,1569000000.0,3820000000.0,3463000000.0,2652000000.0,3658000000.0,3211000000.0,-1243000000.0,3085000000.0,3683000000.0,2949000000.0,5801000000.0,-2272000000.0,-1571000000.0,1478000000.0,781000000.0,865000000.0,1773000000.0,2408000000.0,2057000000.0,913000000.0,811000000.0,1197800000.0,889100000.0,-198600000.0,517500000.0,220900000.0
