date,,2020-09-26_FY,2019-09-28_FY,2018-09-29_FY,2017-09-30_FY,2016-09-24_FY,2015-09-26_FY,2014-09-27_FY,2013-09-28_FY,2012-09-29_FY,2011-09-24_FY,2010-09-25_FY,2009-09-26_FY,2008-09-27_FY,2007-09-29_FY,2006-09-30_FY,2005-09-24_FY,2004-09-25_FY,2003-09-27_FY,2002-09-28_FY,2001-09-29_FY,2000-09-30_FY,1999-09-25_FY,1998-09-26_FY,1997-09-27_FY,1996-09-28_FY,1995-09-30_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY
,netCashUsedForInvestingActivites,-48106000.0,-76263000.0,-139136000.0,-164577000.0,-91195000.0,-49854000.0,-35181000.0,-25122000.0,-44477000.0,-56237000.0,-41266000.0,-20542000.0,-15406000.0,-92460000.0,-427721000.0,-65808000.0,-192147000.0,-22572000.0,-10907000.0,-32165000.0,-51069000.0,-32700000.0,-238800000.0,-101400000.0,-34300000.0,-4100000.0,-14300000.0,-8200000.0,-1200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-200113000.0,-46193000.0,-23431000.0,-552463000.0,-819307000.0,-362289000.0,-301367000.0,-368332000.0,-339353000.0,-668335000.0,-417924000.0,-576129000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,195631000.0,0.0,324000.0,200000.0,1165000.0,613000.0,2129000.0,1675000.0,1294000.0,479000.0,1432000.0,4393000.0,114297000.0,7926000.0,8242000.0,8070000.0,5885000.0,618000.0,1733000.0,2500000.0,203500000.0,128000000.0,81900000.0,1000000.0,0.0,0.0,300000.0
,commonStockRepurchased,-59129000.0,-62974000.0,-13797000.0,-27556000.0,-10873000.0,-18497000.0,-2332000.0,-2731000.0,-24829000.0,-108727000.0,-66901000.0,-37821000.0,-6649000.0,0.0,-10014000.0,-754000.0,0.0,0.0,0.0,0.0,-21704000.0,-121700000.0,-1100000.0,0.0,-400000.0,-100000.0,-800000.0,-700000.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2082000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,198682000.0,-1598000.0,316380000.0,569627000.0,815691000.0,312216000.0,274775000.0,390759000.0,353478000.0,701390000.0,395364000.0,473542000.0,-88718000.0,42082000.0,227956000.0,17913000.0,53972000.0,30020000.0,-65199000.0,-4660000.0,28632000.0,86000000.0,-84200000.0,62000000.0,-13700000.0,-7200000.0,8100000.0,3100000.0,1500000.0
,netCashUsedProvidedByFinancingActivities,-60560000.0,-110765000.0,474783000.0,-10392000.0,-14165000.0,-68370000.0,-27759000.0,20309000.0,-8575000.0,-73997000.0,-88167000.0,-142011000.0,-93935000.0,46475000.0,332239000.0,25085000.0,62214000.0,38090000.0,-59314000.0,-4042000.0,8661000.0,-33200000.0,118200000.0,190000000.0,67800000.0,-6300000.0,7300000.0,2400000.0,1800000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,89000.0,-250000.0,-50000.0,75000.0,-668000.0,-317000.0,-7000.0,-224000.0,327000.0,-203000.0,-4000.0,-346000.0,187000.0,99000.0,-70000.0,-365000.0,136000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,155696000.0,17696000.0,449709000.0,-60585000.0,45398000.0,-31092000.0,63520000.0,-33319000.0,36444000.0,-79429000.0,5792000.0,58739000.0,5874000.0,-7351000.0,-386000.0,16571000.0,-65383000.0,66720000.0,2592000.0,2607000.0,-2332000.0,-2300000.0,118200000.0,190000000.0,67800000.0,-6300000.0,7300000.0,2400000.0,1800000.0
,cashAtEndOfPeriod,666397000.0,510701000.0,482106000.0,32397000.0,92982000.0,47584000.0,78676000.0,15156000.0,48475000.0,12031000.0,91460000.0,85668000.0,26929000.0,21055000.0,28406000.0,28792000.0,12221000.0,77604000.0,10884000.0,8292000.0,5685000.0,8000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cashAtBeginningOfPeriod,510701000.0,493005000.0,32397000.0,92982000.0,47584000.0,78676000.0,15156000.0,48475000.0,12031000.0,91460000.0,85668000.0,26929000.0,21055000.0,28406000.0,28792000.0,12221000.0,77604000.0,10884000.0,8292000.0,5685000.0,8017000.0,10300000.0,100100000.0,1300000.0,100000.0,200000.0,200000.0,300000.0,400000.0
,operatingCashFlow,264273000.0,204974000.0,114112000.0,114309000.0,151426000.0,87449000.0,126467000.0,-28282000.0,89169000.0,51008000.0,135229000.0,221638000.0,115028000.0,38535000.0,95166000.0,57659000.0,64414000.0,51202000.0,72813000.0,38814000.0,40076000.0,63600000.0,30800000.0,10200000.0,-32400000.0,10400000.0,7100000.0,5700000.0,-700000.0
,capitalExpenditure,-43055000.0,-31577000.0,-37845000.0,-44659000.0,-27622000.0,-22030000.0,-17173000.0,-25172000.0,-39592000.0,-31563000.0,-24190000.0,-16505000.0,-22349000.0,-60038000.0,-47589000.0,-18676000.0,-18264000.0,-17958000.0,-10907000.0,-13888000.0,-16663000.0,-32700000.0,-238800000.0,-4600000.0,-3000000.0,-2800000.0,-800000.0,-1800000.0,-1200000.0
,freeCashFlow,221218000.0,173397000.0,76267000.0,69650000.0,123804000.0,65419000.0,109294000.0,-53454000.0,49577000.0,19445000.0,111039000.0,205133000.0,92679000.0,-21503000.0,47577000.0,38983000.0,46150000.0,33244000.0,61906000.0,24926000.0,23413000.0,30900000.0,-208000000.0,5600000.0,-35400000.0,7600000.0,6300000.0,3900000.0,-1900000.0
