date,,2020-02-01_FY,2019-02-02_FY,2018-02-03_FY,2017-01-28_FY,2016-01-30_FY,2015-01-31_FY,2014-02-01_FY,2013-02-02_FY,2012-01-28_FY,2011-01-29_FY,2010-01-30_FY,2009-01-31_FY,2008-02-02_FY,2007-02-03_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-3444000.0,-18020000.0,40746000.0,-2071000.0,-15964000.0,-35770000.0,-6100000.0,6900000.0,-4600000.0,1700000.0,2300000.0,-8759000.0,4500000.0,-600000.0,1268000.0,-132000.0,147000.0,495000.0,118000.0,-113000.0,-79000.0,0.0,100000.0,-200000.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,73833000.0,-156687000.0,-29968000.0,-48349000.0,-37821000.0,-19462000.0,173900000.0,-162800000.0,64800000.0,-75000000.0,207900000.0,18523000.0,68000000.0,-12700000.0,48795000.0,65546000.0,38840000.0,35410000.0,-117000.0,1538000.0,7193000.0,200000.0,0.0,0.0,0.0,0.0
,cashAtEndOfPeriod,284293000.0,210754000.0,366161000.0,397131000.0,445662000.0,483483000.0,502900000.0,329000000.0,491800000.0,427100000.0,502000000.0,294118000.0,275600000.0,207600000.0,220344000.0,171549000.0,106003000.0,67163000.0,31753000.0,14870000.0,13332000.0,6100000.0,0.0,0.0,0.0,0.0
,cashAtBeginningOfPeriod,210460000.0,367441000.0,396129000.0,445480000.0,483483000.0,502945000.0,329000000.0,491800000.0,427000000.0,502100000.0,294100000.0,275595000.0,207600000.0,220300000.0,171549000.0,106003000.0,67163000.0,31753000.0,31870000.0,13332000.0,6139000.0,5900000.0,8200000.0,8800000.0,6400000.0,6000000.0
,operatingCashFlow,197913000.0,81679000.0,148370000.0,71740000.0,179668000.0,153826000.0,327900000.0,268900000.0,364500000.0,346400000.0,358200000.0,228625000.0,175500000.0,7100000.0,138253000.0,144211000.0,81592000.0,62474000.0,29589000.0,71780000.0,30172000.0,87300000.0,65200000.0,30200000.0,76800000.0,108400000.0
,capitalExpenditure,-61868000.0,-108117000.0,-84655000.0,-90581000.0,-83844000.0,-71498000.0,-75438000.0,-99591000.0,-123531000.0,-123065000.0,-82286000.0,-89971000.0,-100178000.0,-2800000.0,-50281000.0,-48794000.0,-34779000.0,-18200000.0,-22692000.0,-22866000.0,-79134000.0,-63500000.0,-13700000.0,-48800000.0,-25500000.0,-23800000.0
,freeCashFlow,136045000.0,-26438000.0,63715000.0,-18841000.0,95824000.0,82328000.0,252500000.0,169300000.0,241000000.0,223300000.0,275900000.0,138654000.0,75300000.0,4300000.0,87972000.0,95417000.0,46813000.0,44274000.0,6897000.0,48914000.0,-48962000.0,23800000.0,51500000.0,-18600000.0,51300000.0,84600000.0
