date,,2020-03-31_FY,2019-03-31_FY,2018-03-31_FY,2017-03-31_FY,2016-03-31_FY,2015-03-31_FY,2014-03-31_FY,2013-03-31_FY,2012-03-31_FY,2011-03-31_FY,2010-03-31_FY,2009-03-31_FY,2008-03-31_FY,2007-03-31_FY,2006-03-31_FY,2005-03-31_FY,2004-03-31_FY,2003-03-31_FY,2002-03-31_FY,2001-03-31_FY,2000-03-31_FY
,commonStockRepurchased,-436500000000.0,-299239000000.0,-135000000000.0,-86887000000.0,-142000000000.0,-124500000000.0,-451458000000.0,-12500000000.0,-319131000000.0,-47745000000.0,-496377000000.0,-943000000.0,-901000000.0,-1474644000000.0,-2209000000.0,-269012000000.0,-632000000.0,-7875000000.0,-8539000000.0,-808000000.0,-25000000.0
,dividendsPaid,-255771000000.0,-245595000000.0,-218569000000.0,-205078000000.0,-211952000000.0,-170918000000.0,-169984000000.0,-135203000000.0,-141922000000.0,-152612000000.0,-71063000000.0,-118758000000.0,-110099000000.0,-47926000000.0,-86739000000.0,-85920000000.0,-66556000000.0,-76969000000.0,-50165000000.0,-43179000000.0,-39949000000.0
,otherFinancingActivites,-177671000000.0,-82037000000.0,77556000000.0,76382000000.0,220534000000.0,-78449000000.0,-97028000000.0,-106214000000.0,-93476000000.0,-95763000000.0,-99171000000.0,495803000000.0,81259000000.0,313637000000.0,768412000000.0,409131000000.0,204322000000.0,40925000000.0,-210109000000.0,-376037000000.0,17850000000.0
,netCashUsedProvidedByFinancingActivities,-1036244000000.0,-731392000000.0,-360802000000.0,-174251000000.0,-65653000000.0,-312346000000.0,-1038077000000.0,-739859000000.0,-305201000000.0,-366302000000.0,1430592000000.0,352652000000.0,102112000000.0,-1244945000000.0,679464000000.0,54199000000.0,137134000000.0,-43919000000.0,-268813000000.0,-420024000000.0,-22124000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-271873000000.0,44062000000.0,-45865000000.0,-300075000000.0,-489331000000.0,748432000000.0,654346000000.0,624446000000.0,-61678000000.0,-217386000000.0,-55223000000.0,-17315000000.0,-8465000000.0,3434000000.0,3840000000.0,-378000000.0,-2417000000.0,-2629000000.0,3595000000.0,830000000.0,3614000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,4487012000000.0,3300073000000.0,7171637000000.0,4117853000000.0,3018209000000.0,6910512000000.0,21476659000000.0,3666003000000.0,-1517929000000.0,-7187000000.0,978384000000.0,-17313000000.0,-8465000000.0,3434000000.0,3841000000.0,-378000000.0,-2418000000.0,-2630000000.0,3594000000.0,-10386631000000.0,-1419979000000.0
,cashAtEndOfPeriod,61203541000000.0,56716529000000.0,53416456000000.0,46244819000000.0,42126966000000.0,39108757000000.0,32198245000000.0,10721673000000.0,7055670000000.0,8573599000000.0,5611563000000.0,3800890000000.0,2736752000000.0,1927024000000.0,5159822000000.0,2930645000000.0,3529479000000.0,2900991000000.0,2128742000000.0,1147369000000.0,1408146000000.0
,cashAtBeginningOfPeriod,56716529000000.0,53416456000000.0,46244819000000.0,42126966000000.0,39108757000000.0,32198245000000.0,10721586000000.0,7055670000000.0,8573599000000.0,5611563000000.0,4633179000000.0,2736752000000.0,1927024000000.0,5159822000000.0,2930645000000.0,3529479000000.0,2900991000000.0,2128742000000.0,868132000000.0,1408146000000.0,905496000000.0
,operatingCashFlow,8787848000000.0,2785833000000.0,11171981000000.0,3740599000000.0,-1912325000000.0,7802184000000.0,6984312000000.0,1981055000000.0,1321011000000.0,14908595000000.0,-442188000000.0,7368053000000.0,5782588000000.0,-6760740000000.0,2208354000000.0,-3280122000000.0,3522118000000.0,5443200000000.0,-5381510000000.0,6666080000000.0,2679946000000.0
,capitalExpenditure,-231888000000.0,-648140000000.0,-846938000000.0,-636445000000.0,-688039000000.0,-717388000000.0,-590533000000.0,-394499000000.0,-231334000000.0,-280052000000.0,-255635000000.0,-250121000000.0,-593289000000.0,-634646000000.0,-43066000000.0,-56945000000.0,-80932000000.0,-69884000000.0,-73354000000.0,-118836000000.0,-54707000000.0
,freeCashFlow,8555960000000.0,2137693000000.0,10325043000000.0,3104154000000.0,-2600364000000.0,7084796000000.0,6393779000000.0,1586556000000.0,1089677000000.0,14628543000000.0,-697823000000.0,7117932000000.0,5189299000000.0,-7395386000000.0,2165288000000.0,-3337067000000.0,3441186000000.0,5373316000000.0,-5454864000000.0,6547244000000.0,2625239000000.0
