date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2012-03-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY
,salesMaturitiesOfInvestments,3350000000.0,3249000000.0,3037000000.0,3193000000.0,2101000000.0,2081000000.0,1781000000.0,2849000000.0,3839000000.0,0.0,3596000000.0,2303000000.0,11123000000.0,1857000000.0,3447000000.0,1338000000.0,3417000000.0,2046000000.0,10127000000.0,4921000000.0,3690184000.0,898800000.0,1060200000.0,1417700000.0,1695000000.0,2747200000.0,2093400000.0,3691800000.0,3611800000.0,5031700000.0,818000000.0,644700000.0,537500000.0
,otherInvestingActivites,67000000.0,13000000.0,-26000000.0,25000000.0,-95000000.0,17000000.0,62000000.0,103000000.0,-47000000.0,3960000000.0,-3000000.0,146000000.0,0.0,0.0,-3553000000.0,-4057000000.0,-2516000000.0,-795000000.0,1595000000.0,-1685000000.0,-635739000.0,-2993574000.0,-2712000000.0,-1884400000.0,-2738700000.0,-1745700000.0,-1924300000.0,-2417900000.0,-964300000.0,-550300000.0,-422800000.0,156500000.0,-107600000.0
,netCashUsedForInvestingActivites,-4602000000.0,-494000000.0,-1156000000.0,-138000000.0,-270000000.0,-3255000000.0,-3743000000.0,1174000000.0,-3738000000.0,3960000000.0,-955000000.0,1206000000.0,9469000000.0,-3417000000.0,-3811000000.0,-5292000000.0,-878000000.0,289000000.0,-383000000.0,-3081000000.0,-1134489000.0,-2923710000.0,-2887600000.0,-629700000.0,-2116800000.0,311700000.0,-450500000.0,-2152600000.0,-2757600000.0,2015800000.0,-406000000.0,-259700000.0,-646100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1675000000.0,-350000000.0,0.0,-516000000.0,-650000000.0,-606000000.0,-1406000000.0,-1080000000.0,-193000000.0,-0.0,-1599000000.0,-5624000000.0,-5170000000.0,-3092000000.0,-1529000000.0,-1303000000.0,-576000000.0,-848000000.0,-875000000.0,-1555000000.0,-4932466000.0,-6594860000.0,-2977400000.0,-5212500000.0,-2555400000.0,-2553700000.0,-2418200000.0,-912600000.0,-280500000.0,450000000.0,-18400000.0,-6800000.0,-1300000.0
,commonStockIssued,4000000.0,18000000.0,52000000.0,110000000.0,152000000.0,22000000.0,49000000.0,33000000.0,0.0,0.0,4000000.0,854000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,-199000000.0,-1394000000.0,-1338000000.0,-552000000.0,-310000000.0,-250000000.0,-260000000.0,-291000000.0,-308000000.0,-3960000000.0,-116000000.0,-2254000000.0,-1000000.0,-1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-383000000.0,-402000000.0,-263000000.0,-180000000.0,-152000000.0,-147000000.0,-137000000.0,-123000000.0,-97000000.0,-0.0,-73000000.0,-72000000.0,-185000000.0,-395000000.0,-390000000.0,-377000000.0,-366000000.0,-357000000.0,-347000000.0,-331000000.0,-314052000.0,-261096000.0,-235600000.0,-212000000.0,-195400000.0,-173400000.0,-155700000.0,-140000000.0,-124300000.0,-80300000.0,-58000000.0,-45700000.0,-38700000.0
,otherFinancingActivites,-1000000.0,1000000.0,3000000.0,-5000000.0,4000000.0,-2000000.0,6000000.0,-4000000.0,0.0,3960000000.0,14000000.0,1000000.0,0.0,0.0,1000000.0,6000000.0,2000000.0,30000000.0,-6000000.0,0.0,-248079000.0,-17142000.0,31400000.0,-6100000.0,-14600000.0,12500000.0,-13100000.0,-4600000.0,12400000.0,-3000000.0,8000000.0,-100000.0,100000.0
,netCashUsedProvidedByFinancingActivities,13623000000.0,661000000.0,-1744000000.0,-2338000000.0,848000000.0,2469000000.0,2724000000.0,-93000000.0,3962000000.0,0.0,1526000000.0,-6026000000.0,-7366000000.0,4464000000.0,2803000000.0,4142000000.0,502000000.0,-1705000000.0,-1313000000.0,1830000000.0,128039000.0,2423172000.0,1280000000.0,-214300000.0,1536700000.0,-1758900000.0,804900000.0,1670200000.0,2380700000.0,-2312700000.0,359600000.0,24400000.0,497600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,9949000000.0,1257000000.0,-1284000000.0,-1373000000.0,1071000000.0,76000000.0,-380000000.0,1917000000.0,978000000.0,3960000000.0,1473000000.0,-3534000000.0,2194000000.0,1909000000.0,6000000.0,-175000000.0,470000000.0,-388000000.0,-375000000.0,-23000000.0,-5420000.0,294715000.0,-100000.0,100000.0,-100000.0,100000.0,100000.0,0.0,0.0,-100000.0,100000.0,0.0,0.0
,cashAtEndOfPeriod,15767000000.0,5818000000.0,4561000000.0,5845000000.0,7218000000.0,6147000000.0,6071000000.0,6451000000.0,4534000000.0,3960000000.0,3556000000.0,2083000000.0,5617000000.0,3423000000.0,1440000000.0,1434000000.0,1609000000.0,1139000000.0,1527000000.0,1902000000.0,1925262000.0,1496705000.0,1202000000.0,1773100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cashAtBeginningOfPeriod,5818000000.0,4561000000.0,5845000000.0,7218000000.0,6147000000.0,6071000000.0,6451000000.0,4534000000.0,3556000000.0,0.0,2083000000.0,5617000000.0,3423000000.0,1514000000.0,1434000000.0,1609000000.0,1139000000.0,1527000000.0,1902000000.0,1925000000.0,1930682000.0,1201990000.0,1773100000.0,1927100000.0,1901800000.0,2028400000.0,1822300000.0,1600700000.0,1579700000.0,1449500000.0,689700000.0,684300000.0,650300000.0
,operatingCashFlow,928000000.0,1090000000.0,1616000000.0,1103000000.0,493000000.0,862000000.0,639000000.0,836000000.0,754000000.0,0.0,902000000.0,1286000000.0,91000000.0,862000000.0,1014000000.0,975000000.0,846000000.0,1028000000.0,1321000000.0,1228000000.0,1001030000.0,795253000.0,1036600000.0,689900000.0,605500000.0,1320500000.0,-148400000.0,704000000.0,397900000.0,333000000.0,137500000.0,205500000.0,182500000.0
,capitalExpenditure,-79000000.0,1000000.0,8000000.0,22000000.0,20000000.0,12000000.0,20000000.0,55000000.0,0.0,0.0,-121000000.0,-92000000.0,-74000000.0,-166000000.0,-189000000.0,-163000000.0,-132000000.0,-95000000.0,-59000000.0,-80000000.0,0.0,-30254000.0,-35000000.0,-35600000.0,-31000000.0,-46000000.0,-62300000.0,-78500000.0,-79300000.0,-39300000.0,-42600000.0,-43100000.0,-31300000.0
,freeCashFlow,849000000.0,1004000000.0,1526000000.0,1034000000.0,398000000.0,743000000.0,569000000.0,734000000.0,754000000.0,0.0,781000000.0,1194000000.0,17000000.0,696000000.0,825000000.0,812000000.0,714000000.0,933000000.0,1262000000.0,1148000000.0,1001030000.0,764999000.0,1001600000.0,654300000.0,574500000.0,1274500000.0,-210700000.0,625500000.0,318600000.0,293700000.0,94900000.0,162400000.0,151200000.0
