date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY
,netCashUsedForInvestingActivites,-18376000000.0,-12826000000.0,677000000.0,3502000000.0,36707000000.0,-8434000000.0,10655000000.0,-22645000000.0,-7099000000.0,-1912000000.0,-5627000000.0,11888000000.0,-8702495280.0,10073906500.0,-1153526600.0,-5179879080.0,-6946079280.0,501200000.0,-7371972900.0,-1326907440.0,-7070800720.0,-7639221280.0,2916339960.0,-7731119568.0,-3180020452.0,-1801046280.0,-324356373.0,-2606539824.0,-75888883.0,-1151942310.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-3258000000.0,-3248000000.0,-3246000000.0,-1378000000.0,-1143000000.0,-682000000.0,-1100000000.0,-1425000000.0,-2680000000.0,-4003000000.0,-1211000000.0,-4383000000.0,-1199802590.0,-683763000.0,-365963970.0,-463765680.0,-610512560.0,-972720000.0,-376235100.0,-716447430.0,-212237840.0,-14835840.0,-239955835.0,-662992320.0,-631005564.0,-31128396.0,-611614206.0,-515074876.0,-5999903.0,-12986406.0
,commonStockIssued,1165000000.0,3582000000.0,1964000000.0,2490000000.0,1400000000.0,1278000000.0,559000000.0,9473000000.0,97000000.0,41000000.0,1535000000.0,806000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,-1413000000.0,-3078000000.0,-4068000000.0,-1919000000.0,-1727000000.0,-679000000.0,-909000000.0,-1066000000.0,-979000000.0,-1492000000.0,-989000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-936000000.0,-1912000000.0,-1658000000.0,-1273000000.0,-1304000000.0,-1496000000.0,-1688000000.0,-1672000000.0,-1427000000.0,-1387000000.0,-1307000000.0,-633000000.0,-1785022180.0,-2561590000.0,-2214158580.0,-1893419280.0,-1405586560.0,-1247120000.0,-1146709950.0,-1016515710.0,-779990800.0,-675030720.0,-590882960.0,-461009532.0,-463006026.0,-403051248.0,0.0,-263047164.0,-398433119.0,-376659216.0
,otherFinancingActivites,0.0,0.0,0.0,0.0,0.0,0.0,-746000000.0,-100000000.0,-111000000.0,-1257000000.0,0.0,0.0,5105818990.0,1332228500.0,692000000.0,16434042480.0,4261596640.0,3257520000.0,3163000000.0,521678340.0,1351760880.0,-618160.0,0.0,0.0,-799005102.0,-923626752.0,-338364270.0,-392103200.0,-331511124.0,-749310282.0
,netCashUsedProvidedByFinancingActivities,2732000000.0,690000000.0,-6787000000.0,961000000.0,-1317000000.0,-441000000.0,-3058000000.0,5910000000.0,-2842000000.0,-5961000000.0,159000000.0,-661000000.0,12272000000.0,3358000000.0,692000000.0,15115390440.0,3012418080.0,2934960000.0,227231100.0,1146591180.0,841586640.0,-275699360.0,-326949615.0,-945792420.0,-2292022894.0,-1489438740.0,-902901708.0,-307057368.0,-706999559.0,-459601200.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,1668000000.0,-3347000000.0,4160000000.0,-4773000000.0,10473000000.0,824000000.0,-431000000.0,198000000.0,-4109000000.0,-2933000000.0,3842000000.0,-2864000000.0,-5801000000.0,-550000000.0,562000000.0,-237113280.0,0.0,0.0,0.0,0.0,0.0,0.0,1024165.0,-75615000.0,-893019442.0,347719068.0,28015794.0,21024844.0,1011544086.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,43529000000.0,-27778000000.0,6554000000.0,101000000.0,405000000.0,8077000000.0,-3275000000.0,-41711000000.0,-27766000000.0,18273000000.0,17060000000.0,-376000000.0,31241985370.0,2126926500.0,10143888340.0,581160.0,521360.0,560000.0,-1207553250.0,-688230.0,669520.0,77888160.0,0.0,0.0,58394.0,0.0,0.0,0.0,0.0,0.0
,cashAtEndOfPeriod,210142000000.0,183387000000.0,211166000000.0,204612000000.0,144110000000.0,86556000000.0,78479000000.0,80185000000.0,121907000000.0,149673000000.0,131400000000.0,114340000000.0,64120810130.0,33109559250.0,30942585430.0,20800297560.0,1752290960.0,1723680000.0,2033283750.0,1283548950.0,1244637680.0,1164613440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cashAtBeginningOfPeriod,166613000000.0,211165000000.0,204612000000.0,144110000000.0,86556000000.0,78479000000.0,81754000000.0,121896000000.0,149673000000.0,131400000000.0,114340000000.0,64509000000.0,32878824760.0,30982632750.0,20798697090.0,21597067920.0,944704320.0,2094960000.0,3240837000.0,-718512120.0,18077040.0,1086725280.0,1657641175.0,1747613880.0,18847948168.0,25420444800.0,17213530671.0,13345705640.0,13851929903.0,22512656268.0
,operatingCashFlow,57505000000.0,-12295000000.0,8504000000.0,60711000000.0,11286000000.0,16128000000.0,-10441000000.0,-25174000000.0,-13716000000.0,29079000000.0,18686000000.0,41844000000.0,32672598020.0,-10757669500.0,10043847980.0,-10495749600.0,4740726480.0,-3808000000.0,5937188550.0,2183065560.0,7455105200.0,7992808800.0,-2132492265.0,8722522956.0,15387986880.0,-3534723204.0,9304505721.0,6746338368.0,-2583254940.0,1829373102.0
,capitalExpenditure,-1324000000.0,-1793000000.0,-1402000000.0,-1456000000.0,-1707000000.0,-852000000.0,-657000000.0,-736000000.0,-604000000.0,-1454000000.0,-1984000000.0,-1376000000.0,-1598598670.0,-887984250.0,-80134370.0,-588133920.0,-531787200.0,-309680000.0,-301112250.0,-351685530.0,-365557920.0,-223773920.0,-417919565.0,-354301644.0,-444027976.0,-326621652.0,-367403472.0,-261019044.0,-307577445.0,-348709050.0
,freeCashFlow,56181000000.0,-14088000000.0,7102000000.0,59255000000.0,9579000000.0,15276000000.0,-11098000000.0,-25910000000.0,-14320000000.0,27625000000.0,16702000000.0,40468000000.0,31073999350.0,-11645653750.0,9963713610.0,-11083883520.0,4208939280.0,-4117680000.0,5636076300.0,1831380030.0,7089547280.0,7769034880.0,-2550411830.0,8368221312.0,14943958904.0,-3861344856.0,8937102249.0,6485319324.0,-2890832385.0,1480664052.0
