date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2002-03-31_FY,2001-03-31_FY,2000-03-31_FY,1999-03-31_FY,1998-03-31_FY,1997-03-31_FY,1996-03-31_FY,1995-03-31_FY,1994-03-31_FY,1993-03-31_FY,1992-03-31_FY,1991-03-31_FY,1990-03-31_FY,1989-03-31_FY,1988-03-31_FY,1987-03-31_FY,1986-03-31_FY
,purchasesOfInvestments,0.0,0.0,0.0,0.0,-1000000.0,-2400000.0,-2104000.0,-21588000.0,0.0,0.0,0.0,-25185000.0,0.0,-30060000.0,-78100000.0,-20000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-600000.0,0.0,-3500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,5300000.0,43000000.0,21588000.0,0.0,0.0,10000000.0,25185000.0,0.0,32560000.0,75600000.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,-6900000.0,-400000.0,379600000.0,-5400000.0,10400000.0,5600000.0,-14181000.0,-7969000.0,-386000.0,-2438000.0,0.0,-3353000.0,0.0,0.0,0.0,0.0,3587000.0,0.0,0.0,0.0,-1036000.0,-409000.0,3300000.0,-300000.0,1300000.0,2300000.0,-2200000.0,0.0,0.0,400000.0,-1400000.0,0.0,-300000.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,72800000.0,-50500000.0,286000000.0,-180100000.0,-428600000.0,-144700000.0,-297087000.0,-174560000.0,-246622000.0,-144632000.0,-180292000.0,-61828000.0,-100157000.0,-68988000.0,-25177000.0,-14615000.0,1189000.0,-3267000.0,-2800000.0,-9714000.0,-5544000.0,21547000.0,-2400000.0,-3800000.0,-2500000.0,1300000.0,-4400000.0,-3000000.0,-3800000.0,-4300000.0,-4300000.0,0.0,-1300000.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-2207400000.0,-5080200000.0,-6407300000.0,-4749700000.0,-4286000000.0,-4755400000.0,-5551509000.0,-4476304000.0,-3970264000.0,-5034953000.0,-14988000.0,-24379000.0,-1911578000.0,0.0,0.0,0.0,0.0,-2527000.0,-4404000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218816000.0,0.0,0.0,1056000.0,6733000.0,123295000.0,6315000.0,0.0,0.0,2161000.0,0.0,10000.0,300000.0,1200000.0,700000.0,900000.0,900000.0,0.0,100000.0,700000.0,400000.0,0.0,900000.0,0.0,0.0,0.0
,commonStockRepurchased,-68300000.0,-65400000.0,-20000000.0,-61900000.0,-45800000.0,-77800000.0,-15082000.0,-41768000.0,-4973000.0,-10206000.0,-3824000.0,-4954000.0,-1599000.0,-2583000.0,0.0,0.0,0.0,0.0,2900000.0,-3257000.0,-4404000.0,-8423000.0,0.0,0.0,0.0,0.0,0.0,-100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-25600000.0,-21100000.0,-16200000.0,-16300000.0,-16600000.0,-15300000.0,-10595000.0,-10679000.0,-10685000.0,-12400000.0,-9421000.0,-8198000.0,-5025000.0,-4253000.0,-4160000.0,-3440000.0,-3350000.0,-3182000.0,-2400000.0,-3906000.0,-2154000.0,-2434000.0,-2500000.0,-2400000.0,-2200000.0,-1900000.0,-700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-7100000.0,-39900000.0,-2000000.0,-6400000.0,1300000.0,200000.0,-10553000.0,1642000.0,2280000.0,10531000.0,-926000.0,8000.0,16133000.0,-6371000.0,-1569000.0,-1008000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,-100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-213000000.0,-204900000.0,-257100000.0,-361600000.0,340900000.0,-17100000.0,169515000.0,29509000.0,66858000.0,222566000.0,189951000.0,-34436000.0,-13372000.0,6571000.0,504000.0,87747000.0,15518000.0,-4983000.0,-3900000.0,-7052000.0,-6576000.0,-16303000.0,-2200000.0,-5700000.0,-3000000.0,-3100000.0,-1700000.0,-4100000.0,2500000.0,-5300000.0,-2200000.0,0.0,700000.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,8800000.0,1000000.0,-7000000.0,10300000.0,-1500000.0,-5500000.0,-3385000.0,70000.0,1298000.0,-2876000.0,89000.0,2834000.0,-1722000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,472700000.0,-25600000.0,-160600000.0,-326300000.0,116100000.0,280200000.0,10203000.0,119321000.0,-32675000.0,-67478000.0,-25950000.0,-15509000.0,278201000.0,-140344000.0,43211000.0,69106000.0,-12078000.0,18480000.0,-400000.0,19195000.0,6204000.0,16246000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cashAtEndOfPeriod,658800000.0,186100000.0,211700000.0,372300000.0,698600000.0,582500000.0,302264000.0,292061000.0,172740000.0,205415000.0,272893000.0,298843000.0,314352000.0,36151000.0,176495000.0,133284000.0,64178000.0,76256000.0,57800000.0,58172000.0,38977000.0,32773000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cashAtBeginningOfPeriod,186100000.0,211700000.0,372300000.0,698600000.0,582500000.0,302300000.0,292061000.0,172740000.0,205415000.0,272893000.0,298843000.0,314352000.0,36151000.0,176495000.0,133284000.0,64178000.0,76256000.0,57776000.0,58200000.0,38977000.0,32773000.0,16527000.0,14500000.0,11000000.0,12900000.0,10900000.0,7700000.0,3700000.0,5100000.0,7300000.0,3600000.0,0.0,2300000.0,0.0,0.0,0.0
,operatingCashFlow,604100000.0,228800000.0,-182500000.0,205200000.0,205200000.0,447500000.0,141160000.0,264302000.0,145791000.0,-142536000.0,-35698000.0,77921000.0,393452000.0,-77927000.0,67884000.0,-4026000.0,-28785000.0,26730000.0,6200000.0,35961000.0,18324000.0,11002000.0,6500000.0,12900000.0,3700000.0,3700000.0,9300000.0,11100000.0,-100000.0,7400000.0,10100000.0,0.0,1000000.0,0.0,0.0,0.0
,capitalExpenditure,-51300000.0,-80900000.0,-72300000.0,-54000000.0,-36100000.0,-51000000.0,-50153000.0,-82716000.0,-28454000.0,-19492000.0,-12485000.0,-6493000.0,-6791000.0,-16581000.0,-20031000.0,-4615000.0,-2398000.0,-3267000.0,-2800000.0,-1436000.0,-2684000.0,-1860000.0,-5700000.0,-3500000.0,-3200000.0,-1400000.0,-2200000.0,-3100000.0,-3900000.0,-4700000.0,-2900000.0,0.0,-1000000.0,0.0,0.0,0.0
,freeCashFlow,552800000.0,147900000.0,-254800000.0,151200000.0,169100000.0,396500000.0,91007000.0,181586000.0,117337000.0,-162028000.0,-48183000.0,71428000.0,386661000.0,-94508000.0,47853000.0,-8641000.0,-31183000.0,23463000.0,3400000.0,34525000.0,15640000.0,9142000.0,800000.0,9400000.0,500000.0,2300000.0,7100000.0,8000000.0,-4000000.0,2700000.0,7200000.0,0.0,0.0,0.0,0.0,0.0
