date,,2021-04-03_FY,2021-03-31_FY,2020-03-28_FY,2019-03-31_FY,2019-03-30_FY,2018-03-31_FY,2017-04-01_FY,2017-03-31_FY,2016-04-02_FY,2016-03-31_FY,2015-03-31_FY,2015-03-28_FY,2014-03-31_FY,2014-03-29_FY,2013-03-31_FY,2012-03-31_FY,2011-04-02_FY,2011-03-31_FY,2010-04-03_FY,2010-03-31_FY,2009-03-28_FY,2008-03-31_FY,2008-03-29_FY,2007-03-31_FY,2006-04-01_FY,2006-03-31_FY,2005-04-02_FY,2004-04-03_FY,2003-03-29_FY,2002-03-30_FY,2001-03-31_FY,2000-03-31_FY,1999-03-27_FY,1998-03-31_FY,1997-03-31_FY,1996-03-31_FY,1995-03-31_FY,1994-03-31_FY
,operatingExpenses,697668000.0,697668000.0,1356290000.0,769765000.0,803434000.0,313583000.0,316294000.0,312148000.0,326633000.0,311707000.0,321196000.0,321196000.0,285957000.0,286504000.0,262818000.0,242998000.0,226572000.0,221472000.0,203435000.0,201568000.0,377200000.0,266138000.0,269722000.0,251366000.0,215892000.0,215892000.0,161900000.0,131200000.0,114400000.0,106600000.0,118078000.0,96466000.0,77000000.0,68800000.0,57300000.0,50900000.0,44300000.0,36000000.0
,costAndExpenses,1648724000.0,1648724000.0,2501045000.0,1750161000.0,1783830000.0,731371000.0,756100000.0,751954000.0,748866000.0,733940000.0,724587000.0,724587000.0,677936000.0,678483000.0,621863000.0,572015000.0,548418000.0,543318000.0,516202000.0,514335000.0,846800000.0,773319000.0,776903000.0,742705000.0,640032000.0,640032000.0,433400000.0,332200000.0,283000000.0,269900000.0,291990000.0,221707000.0,202700000.0,173700000.0,145000000.0,135400000.0,126800000.0,101300000.0
,interestExpense,82606000.0,82606000.0,92640000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,164867000.0,164867000.0,230262000.0,201369000.0,205962000.0,21178000.0,22427000.0,20977000.0,21350000.0,20142000.0,18711000.0,18711000.0,15566000.0,15566000.0,16219000.0,13760000.0,15697000.0,0.0,18144000.0,18144000.0,25800000.0,28486000.0,28486000.0,29151000.0,23083000.0,24244000.0,12000000.0,12400000.0,11500000.0,9500000.0,7034000.0,4272000.0,4700000.0,3600000.0,2900000.0,2400000.0,1800000.0,2000000.0
,EBITDA,182593000.0,182593000.0,-573681000.0,15677000.0,20270000.0,121405000.0,124092000.0,122642000.0,103526000.0,102318000.0,163962000.0,163962000.0,156705000.0,156705000.0,154644000.0,156362000.0,156353000.0,140656000.0,99809000.0,99809000.0,-58900000.0,113723000.0,113723000.0,90689000.0,135637000.0,136798000.0,142300000.0,98900000.0,68300000.0,52700000.0,109186000.0,99150000.0,84900000.0,61200000.0,47900000.0,44200000.0,37100000.0,-35700000.0
,EBITDARatio,0.105691282797534,0.105691282797534,-0.338057973234963,0.00936200198861176,0.0121048529890387,0.141678813121205,0.140825442363387,0.139179914114774,0.12081357720266,0.119403855961032,0.189549253765852,0.189549253765852,0.191428854138799,0.191428854138799,0.20288470873468,0.219188413273374,0.22871934254142,0.205757151090839,0.162598540003291,0.162598540003291,-0.0769331243469174,0.132809598662129,0.132809598662129,0.113339432159309,0.180754377033932,0.182301564244917,0.254107142857143,0.237170263788969,0.20237037037037,0.169344473007712,0.272258489220473,0.314749914288979,0.296542088718128,0.259212198221093,0.2452636968766,0.241530054644809,0.218363743378458,-0.266417910447761
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,78883000.0,78883000.0,-804055000.0,-75626000.0,-109295000.0,125532000.0,125076000.0,129222000.0,108041000.0,122967000.0,140423000.0,149085000.0,140671000.0,140124000.0,140363000.0,141353000.0,140712000.0,140284000.0,97635000.0,99502000.0,-81200000.0,82967000.0,79383000.0,57449000.0,110362000.0,110362000.0,126600000.0,84800000.0,54500000.0,41300000.0,109048000.0,93305000.0,83500000.0,62400000.0,50300000.0,47600000.0,43100000.0,32700000.0
,operatingIncomeRatio,-0.0375548374138331,-0.0375548374138331,-0.473812456172399,-0.045162388364531,-0.0652688656851006,0.146494994182539,0.141942131878308,0.146647207822274,0.126082527042024,0.14350098668817,0.162336851597091,0.172350608663484,0.171841921703577,0.171173713393606,0.184148795763986,0.198148781554541,0.205839070102194,0.205212974801127,0.159056883179085,0.162098407231887,-0.106060606060606,0.0968916927288313,0.0927061752732148,0.0717974289949185,0.147072071471787,0.147072071471787,0.226071428571429,0.203357314148681,0.161481481481481,0.132712082262211,0.271914382178247,0.296195065584803,0.291652113168006,0.264294790343075,0.257552483358935,0.260109289617486,0.253678634490877,0.244029850746269
,totalOtherIncomeExpensesNet,143763000.0,143763000.0,92528000.0,110066000.0,76397000.0,25305000.0,23411000.0,27557000.0,25865000.0,40791000.0,-4828000.0,3834000.0,-468000.0,54893000.0,1938000.0,-1249000.0,56000.0,-372000.0,-3105000.0,-1238000.0,3500000.0,-2270000.0,-5854000.0,-4089000.0,-2192000.0,-2192000.0,-3800000.0,-1700000.0,-2300000.0,-1900000.0,6896000.0,-1573000.0,2200000.0,4800000.0,5300000.0,5800000.0,7800000.0,70400000.0
,incomeBeforeTax,-64880000.0,-64880000.0,-896583000.0,-185692000.0,-185692000.0,100227000.0,101665000.0,101665000.0,82176000.0,82176000.0,145251000.0,145251000.0,141139000.0,85231000.0,138425000.0,142602000.0,140656000.0,140656000.0,100740000.0,100740000.0,-84700000.0,85237000.0,85237000.0,61538000.0,112554000.0,112554000.0,130400000.0,86500000.0,56800000.0,43200000.0,102152000.0,94878000.0,81300000.0,57600000.0,45000000.0,41800000.0,35300000.0,-37700000.0
,incomeBeforeTaxRatio,-0.0375548374138331,-0.0375548374138331,-0.528337232393827,-0.11089168037694,-0.11089168037694,0.116964230490499,0.115374227169147,0.115374227169147,0.0958983880397756,0.0958983880397756,0.167918289961966,0.167918289961966,0.172413624608634,0.104117116027593,0.181606242767893,0.199899631045968,0.205757151090839,0.205757151090839,0.164115229287254,0.164115229287254,-0.110632183908046,0.0995426761619365,0.0995426761619365,0.0769076952686608,0.149993203570391,0.149993203570391,0.232857142857143,0.207434052757794,0.168296296296296,0.138817480719794,0.254719004184142,0.301188526151385,0.283967865874956,0.243964421855146,0.230414746543779,0.228415300546448,0.207769276044732,-0.28134328358209
,incomeTaxExpense,-7549000.0,-7549000.0,-69401000.0,-50131000.0,-50131000.0,101096000.0,19066000.0,19066000.0,13784000.0,13784000.0,32950000.0,32950000.0,28722000.0,28722000.0,32023000.0,33566000.0,31413000.0,31413000.0,24287000.0,24287000.0,-19800000.0,16842000.0,16842000.0,11395000.0,31404000.0,31404000.0,32800000.0,24200000.0,15300000.0,7000000.0,28602000.0,30361000.0,26000000.0,18400000.0,15300000.0,16300000.0,14500000.0,3000000.0
,netIncome,-57331000.0,-57331000.0,-827182000.0,-135561000.0,-135561000.0,-869000.0,82599000.0,82599000.0,68392000.0,68392000.0,112301000.0,112301000.0,112417000.0,112417000.0,106402000.0,109036000.0,109243000.0,109243000.0,57378000.0,57378000.0,-64900000.0,68395000.0,68395000.0,50143000.0,81150000.0,81150000.0,97500000.0,62300000.0,41500000.0,36200000.0,73550000.0,64517000.0,54200000.0,39200000.0,29700000.0,25500000.0,20800000.0,-40700000.0
,netIncomeRatio,-0.0331852093676397,-0.0331852093676397,-0.487440703834436,-0.0809544142105122,-0.0809544142105122,-0.0010141171171066,0.0937372329704849,0.0937372329704849,0.0798126284415928,0.0798126284415928,0.129826244783297,0.129826244783297,0.137327191191866,0.137327191191866,0.139593768777239,0.152846777539783,0.159804974239397,0.159804974239397,0.0934743262462185,0.0934743262462185,-0.0847701149425287,0.0798740140560514,0.0798740140560514,0.0626666866628174,0.108143188778162,0.108143188778162,0.174107142857143,0.149400479616307,0.122962962962963,0.116323907455013,0.183399079388986,0.204808070803652,0.189311910583304,0.166031342651419,0.152073732718894,0.139344262295082,0.122424955856386,-0.303731343283582
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-1.4,-1.4,-20.85788,-3.61,-3.60832,-0.03,2.55890826853372,2.56,2.00404371904943,2.0,2.69,2.69158497711095,2.65,2.64809667389051,2.55,2.48,2.28959,2.31,1.18295,1.19,-1.33539,1.42,1.41804,1.06,1.7222,1.72,1.91929,1.31158,0.89056,0.73577,1.49,1.303333,0.98905,0.793333,0.556429856115108,0.47,0.4,-1.09
,EPSDiluted,-1.4,-1.4,-20.85788,-3.61,-3.60832,-0.03,2.50580954403422,2.51,1.957524758143,1.96,2.63,2.63351546560983,2.59,2.59240383728438,2.49,2.41,2.28959,2.23,1.18295,1.17,-1.33539,1.39,1.41804,1.04,1.7222,1.66,1.91929,1.31158,0.89056,0.73577,1.38,1.216667,0.98905,0.716667,0.55,0.47,0.4,-1.09
,weightedAverageShsOut,41044000.0,41044000.0,39658000.0,37569000.0,37569000.0,32345000.0,32279000.0,32279000.0,34127000.0,34127000.0,41723000.0,41723000.0,42452000.0,42452000.0,41748000.0,44023000.0,47713000.0,47713000.0,48504000.0,48504000.0,48600000.0,48232000.0,48232000.0,47361000.0,47120000.0,47120000.0,50800000.0,47500000.0,46600000.0,49200000.0,49213000.0,49515000.0,54800000.0,49443000.0,53376000.0,54255319.0,52000000.0,37339450.0
,weightedAverageShsOutDil,41044000.0,41044000.0,39658000.0,37569000.0,37569000.0,32345000.0,32963000.0,32963000.0,34938000.0,34938000.0,42643000.0,42643000.0,43364000.0,43364000.0,42738000.0,45265000.0,47713000.0,49344000.0,48504000.0,49331000.0,48600000.0,49090000.0,48232000.0,48020000.0,47120000.0,48788000.0,50800000.0,47500000.0,46600000.0,49200000.0,53263000.0,53019000.0,54800000.0,54669000.0,54000000.0,54255319.0,52000000.0,37339450.0
