date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY
,dividendsPaid,-707000000.0,-654180482.122054,-595973461.450469,-562660460.205869,-370198981.9528,-414361620.711521,-429252395.54453,-506780082.299981,-478747321.924511,-401788607.348843,-396329299.108924,-340993753.22368,-490018654.119219,-365000000.0,-261188000.0,-194331000.0,-172170000.0,-154384000.0,-117214000.0,-70324000.0,-64277289.06,0.0,-48516354.0,0.0,-37281008.0,-36187824.0,-33923136.0,-25990090.0,-26316090.0,0.0,0.0,0.0
,otherFinancingActivites,26000000.0,-61609463.21355,6863417.982155,158360726.539818,-5258508.266375,51385214.177946,-14592149.42361,70424480.101632,14547570.555717,-95910828.851014,106397127.277564,22923949.79655,-139209844.920233,-131000000.0,-100042000.0,-158352000.0,-10565000.0,138669000.0,-184013000.0,-65689000.0,-184711095.2,0.0,-229450806.0,0.0,-73115770.0,53501826.0,-98735792.880259,-47357478.847405,-45094893.300775,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,287000000.0,-2552872121.15781,-129261038.663921,411497948.50877,-1821547263.4723,4550324710.82151,-462084731.747653,829904167.472175,-339884148.43812,-1086125332.12365,-662322117.302833,-878273826.58032,-412061140.963889,539000000.0,1113779000.0,341558000.0,92384000.0,863068000.0,-84550000.0,234679000.0,2222934384.33505,617801216.513524,454645097.518466,155129167.46016,1247219869.50714,-174802645.404537,-69888530.556728,215749807.703686,20744272.215734,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,338000000.0,30244645.577561,19446350.949439,-193152098.279627,60998695.88995,131196291.51816,158081618.755776,-71805352.260488,-34385166.768059,14257015.099475,95757414.549807,-28654937.245687,-18097279.83963,-51000000.0,-45533000.0,56216000.0,-20100132.4,0.0,0.0,0.0,62881625.642251,240229726.931539,11785352.975351,0.0,0.0,0.0,-36932228.944859,49544331.696349,-26146735.322221,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,3503000000.0,1578322430.3253,241363532.37246,-376706576.76896,-72567414.0759802,-849495987.58008,918089401.23547,23474826.700544,625545533.89584,-563800142.57015,476127144.5671,820963952.08895,-288164378.98488,-140000000.0,-62030000.0,90656000.0,2032000.0,-6663000.0,51464000.0,13726000.0,212393028.288923,292317522.971398,-8965429.16423988,-42746792.8982401,126023687.98164,-44697400.951852,-123364673.952129,252468123.187977,-23178628.304491,0.0,0.0,0.0
,cashAtEndOfPeriod,7721000000.0,4206246079.3978,2683596431.02265,2561364781.53418,2575617348.87047,2752935517.02272,4006761029.23294,3507415283.49305,2338191340.228,1678439504.89275,2300837877.37731,1965728695.05416,1112286660.91266,1469000000.0,1453892000.0,1359368000.0,1791323000.0,1631846000.0,1610320000.0,1304239000.0,433745381.168598,1152127733.92002,1867873787.20226,1730744623.05759,1303337455.081,592775279.68354,544039654.17507,670734793.799183,428867459.390593,0.0,0.0,0.0
,cashAtBeginningOfPeriod,4218000000.0,2627923649.0725,2442232898.65019,2938071358.30314,2648184762.94645,3602431504.6028,3088671627.99747,2412383661.52062,1712645806.33216,2242239647.4629,1824710732.81021,1144764742.96521,1400451039.89754,1609000000.0,1515922000.0,1268712000.0,1789291000.0,1638509000.0,1558856000.0,1290513000.0,221352352.879675,859810210.948622,1876839216.3665,1773491415.95583,1177313767.09936,637472680.635392,667404328.127199,418266670.611206,452046087.695084,375871041.0,0.0,0.0
,operatingCashFlow,3938000000.0,3882516354.51205,2172271791.35209,2626148715.11865,2460981868.6635,2456650558.67754,1504207403.08381,1507912397.47024,1355569074.51001,1329790681.09649,1849980050.53864,3060347297.83942,2635242364.34001,3434000000.0,2279691000.0,1646130000.0,1716685000.0,1518069000.0,1353207000.0,1006456000.0,1179954930.99534,925003196.583409,825129933.43846,569732018.44872,434626297.838819,336623694.295074,374898729.578037,154943494.467783,120517570.867396,160927494.0,0.0,0.0
,capitalExpenditure,-996000000.0,-1376691459.80823,-1282315259.66598,-1252489382.63311,-897101510.243574,-964292742.658474,-528965416.605866,-686293462.9512,-760441188.139762,-746549154.299786,-619763266.391807,-762221330.735286,-1446390288.72122,-1501000000.0,-1098470000.0,-771760000.0,-704663000.0,-505269000.0,-385880000.0,-403135000.0,-635679526.825188,-581888106.639058,-384927831.853266,-243165239.006811,-256025997.054492,-168272127.449162,-100844983.506089,-71981317.67351,-51704650.175178,-36757812.0,0.0,0.0
,freeCashFlow,2942000000.0,2505824894.70383,889956531.686113,1373659332.48554,1563880358.41992,1492357816.01907,975241986.477942,821618934.519042,595127886.370249,583241526.796708,1230216784.14683,2298125967.10413,1188852075.61879,1933000000.0,1181221000.0,874370000.0,1012022000.0,1012800000.0,967327000.0,603321000.0,544275404.170152,343115089.944351,440202101.585194,326566779.44191,178600300.784327,168351566.845911,274053746.071948,82962176.794273,68812920.692218,124169682.0,0.0,0.0
