date,,2018-04-01_FY,2017-04-02_FY,2016-04-03_FY,2015-03-29_FY,2014-03-30_FY,2013-03-31_FY,2012-04-01_FY,2011-04-03_FY,2010-03-28_FY,2009-03-29_FY,2008-03-30_FY,2007-04-01_FY,2006-04-02_FY,2005-04-03_FY,2004-03-28_FY,2003-03-30_FY,2002-03-31_FY,2001-04-01_FY
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,2990000.0,-1682000.0,813000.0,-4418000.0,-66000.0,235000.0,-398000.0,1010000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-77681000.0,11323000.0,86286000.0,25734000.0,-39626000.0,-4087000.0,30244000.0,-15846000.0,-15510000.0,4050000.0,-114603000.0,-19584000.0,77412000.0,-18299000.0,78960000.0,-111772000.0,-141537000.0,25103000.0
,cashAtEndOfPeriod,136873000.0,214554000.0,203231000.0,116945000.0,91211000.0,130837000.0,134924000.0,104680000.0,120526000.0,136036000.0,131986000.0,246589000.0,266173000.0,188761000.0,223360000.0,144400000.0,256172000.0,397709000.0
,cashAtBeginningOfPeriod,214554000.0,203231000.0,116945000.0,91211000.0,130837000.0,134924000.0,104680000.0,120526000.0,136036000.0,131986000.0,246589000.0,266173000.0,188761000.0,207060000.0,144400000.0,256172000.0,397709000.0,372606000.0
,operatingCashFlow,232176000.0,168974000.0,192602000.0,171772000.0,75629000.0,44074000.0,33777000.0,74391000.0,52062000.0,143775000.0,186730000.0,216549000.0,122512000.0,80942000.0,78654000.0,11656000.0,-27897000.0,480592000.0
,capitalExpenditure,-12956000.0,-27055000.0,-16286000.0,-17765000.0,-17448000.0,-27854000.0,-22396000.0,-12510000.0,-12927000.0,-16591000.0,-16938000.0,-20490000.0,-25036000.0,-69049000.0,-28954000.0,-43722000.0,-4576000.0,-668000.0
,freeCashFlow,215639000.0,137023000.0,165516000.0,154007000.0,58181000.0,16220000.0,6381000.0,61881000.0,39135000.0,127184000.0,169792000.0,196059000.0,97476000.0,11893000.0,49700000.0,-32066000.0,-32473000.0,479924000.0
