date,,2020-12-25_FY,2019-12-27_FY,2018-12-28_FY,2017-12-29_FY,2016-12-30_FY,2015-12-25_FY,2014-12-26_FY,2013-12-27_FY,2012-12-28_FY,2011-12-30_FY,2010-12-31_FY,2009-12-25_FY,2008-12-26_FY,2007-12-28_FY,2006-12-29_FY,2005-12-30_FY,2004-12-31_FY,2003-12-26_FY,2002-12-27_FY,2001-12-28_FY,2000-12-29_FY,1999-12-31_FY,1998-12-25_FY,1997-12-26_FY,1996-12-27_FY,1995-12-29_FY,1994-12-30_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY,1984-12-31_FY
,acquisitionsNet,-27557000.0,-26577000.0,-10769000.0,-27905000.0,-48946000.0,-189017000.0,-185462000.0,-11560000.0,-240068000.0,-2139000.0,0.0,0.0,-55186000.0,0.0,-30676000.0,-111005000.0,0.0,-13514000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,-9482000.0,-244814000.0,-90160000.0,-50497000.0,-274503000.0,-195326000.0,-67827000.0,-428191000.0,-43250000.0,-1499000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25700000.0,-20500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18700000.0,1200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,8543000.0,243190000.0,89800000.0,50621000.0,875208000.0,197643000.0,74179000.0,-8027000.0,41246000.0,0.0,0.0,0.0,0.0,0.0,0.0,-2446000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10600000.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-99038000.0,-155469000.0,-66247000.0,-68447000.0,-91223000.0,369939000.0,-216700000.0,-31200000.0,-694500000.0,-28000000.0,-18769000.0,-12800000.0,-85300000.0,-38200000.0,-64400000.0,-131500000.0,-19164000.0,-28800000.0,-12000000.0,-45900000.0,-9700000.0,-17800000.0,-9800000.0,-18100000.0,-29000000.0,-16800000.0,3900000.0,-22400000.0,-20700000.0,-1400000.0,-22300000.0,-8400000.0,-9300000.0,-8200000.0,-7800000.0,-6100000.0,-14800000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-250000000.0,-207191000.0,-583212000.0,-395570000.0,-735144000.0,-942910000.0,-511215000.0,-568122000.0,-392845000.0,-172430000.0,-170334000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,83438000.0,48250000.0,24634000.0,60685000.0,32631000.0,18835000.0,30199000.0,41664000.0,30194000.0,22231000.0,12794000.0,0.0,0.0,0.0,0.0,0.0,15117000.0,0.0,0.0,0.0,0.0,6800000.0,0.0,0.0,0.0,0.0,0.0,3400000.0,2500000.0,3700000.0,1700000.0,1500000.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,-102143000.0,38768000.0,-220180000.0,-29475000.0,-14701000.0,-254338000.0,-165100000.0,-26200000.0,28800000.0,-21000000.0,-24218000.0,6400000.0,-101100000.0,-206400000.0,-75600000.0,-31800000.0,-40792000.0,-45000000.0,5800000.0,8200000.0,-9600000.0,-5100000.0,-186000000.0,-3700000.0,-5600000.0,900000.0,-1500000.0,-1800000.0,-200000.0,-2400000.0,-400000.0,0.0,-3100000.0,-43700000.0,-600000.0,900000.0,1500000.0
,dividendsPaid,-116983000.0,-106443000.0,-88845000.0,-80477000.0,-73434000.0,-69429000.0,-66400000.0,-61100000.0,-54300000.0,-50600000.0,-48146000.0,-45400000.0,-44700000.0,-43200000.0,-39400000.0,-35800000.0,-129910000.0,-15300000.0,-13900000.0,-12300000.0,-11400000.0,-8900000.0,-10700000.0,-9600000.0,-8300000.0,-7500000.0,-37700000.0,-5900000.0,-5500000.0,-5100000.0,-4400000.0,-3800000.0,-3300000.0,-3400000.0,-3200000.0,-2600000.0,-2600000.0
,otherFinancingActivites,0.0,100814000.0,609526000.0,288446000.0,648192000.0,733596000.0,719130000.0,429532000.0,651002000.0,403736000.0,1988000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,400000.0,300000.0,300000.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-139471000.0,-174052000.0,-282711000.0,-217076000.0,-185165000.0,-536186000.0,-23600000.0,-225900000.0,232700000.0,159600000.0,-76792000.0,-138800000.0,-71400000.0,-138300000.0,-102500000.0,-65100000.0,-153833000.0,-69800000.0,-5700000.0,-28600000.0,-67100000.0,-56300000.0,-77500000.0,-15200000.0,-16400000.0,-33600000.0,-19900000.0,-9200000.0,-10900000.0,-10500000.0,1300000.0,-12400000.0,-4700000.0,-21300000.0,-3900000.0,-3600000.0,-2000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,-358000.0,187000.0,-1032000.0,164000.0,3472000.0,3000000.0,2700000.0,100000.0,-100000.0,-1383000.0,-1600000.0,1400000.0,-1600000.0,-1500000.0,1500000.0,-1475000.0,-2400000.0,-1300000.0,800000.0,1600000.0,1300000.0,200000.0,4000000.0,1600000.0,-2100000.0,-1300000.0,700000.0,300000.0,500000.0,-1100000.0,200000.0,400000.0,400000.0,900000.0,700000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,157936000.0,88855000.0,19214000.0,51309000.0,-218000.0,28639000.0,3900000.0,-11400000.0,-272000000.0,293600000.0,4179000.0,-6700000.0,7200000.0,-900000.0,-12800000.0,-41900000.0,-51564000.0,8800000.0,76800000.0,15500000.0,4500000.0,3000000.0,-10000000.0,7000000.0,4900000.0,-800000.0,-8700000.0,0.0,0.0,0.0,0.0,0.0,-1100000.0,-9700000.0,1300000.0,10000000.0,-11100000.0
,cashAtEndOfPeriod,0.0,220973000.0,122876000.0,103674000.0,52077000.0,52339000.0,23700000.0,19700000.0,31200000.0,303200000.0,9591000.0,5400000.0,12100000.0,5000000.0,5900000.0,18700000.0,60554000.0,112100000.0,103300000.0,26600000.0,11100000.0,6600000.0,3500000.0,13500000.0,6500000.0,1600000.0,2400000.0,0.0,0.0,0.0,0.0,0.0,2000000.0,3200000.0,12800000.0,11500000.0,1500000.0
,cashAtBeginningOfPeriod,0.0,132118000.0,103662000.0,52365000.0,52295000.0,23700000.0,19800000.0,31100000.0,303200000.0,9600000.0,5412000.0,12100000.0,4900000.0,5900000.0,18700000.0,60600000.0,112118000.0,103300000.0,26500000.0,11100000.0,6600000.0,3600000.0,13500000.0,6500000.0,1600000.0,2400000.0,11100000.0,18900000.0,24000000.0,6000000.0,4500000.0,2000000.0,3100000.0,12900000.0,11500000.0,1500000.0,12600000.0
,operatingCashFlow,394035000.0,418734000.0,367985000.0,337864000.0,276006000.0,191414000.0,241300000.0,243100000.0,189700000.0,162000000.0,101123000.0,146500000.0,162500000.0,177100000.0,155600000.0,153200000.0,122908000.0,109800000.0,95700000.0,89200000.0,79600000.0,75800000.0,77100000.0,36300000.0,48600000.0,51700000.0,8600000.0,23100000.0,26100000.0,29400000.0,23500000.0,23100000.0,12500000.0,19400000.0,12100000.0,19100000.0,5800000.0
,capitalExpenditure,-71338000.0,-127953000.0,-53854000.0,-40194000.0,-42113000.0,-41749000.0,-30636000.0,-23319000.0,-18234000.0,-23854000.0,-17527000.0,-11463000.0,-29102000.0,-36869000.0,-33652000.0,-19904000.0,-16893000.0,-15515000.0,-12300000.0,-30200000.0,-14500000.0,-27500000.0,-12000000.0,-20100000.0,-30000000.0,-19800000.0,-23100000.0,-16200000.0,-10200000.0,-8400000.0,-12100000.0,-12300000.0,-9700000.0,-8000000.0,-5600000.0,-6900000.0,-12900000.0
,freeCashFlow,322697000.0,290781000.0,314131000.0,297670000.0,233893000.0,149665000.0,210700000.0,219800000.0,171500000.0,137200000.0,83596000.0,134400000.0,132100000.0,140100000.0,121700000.0,132500000.0,106015000.0,94300000.0,83400000.0,59000000.0,65100000.0,48300000.0,65100000.0,16200000.0,18600000.0,31900000.0,-14500000.0,6900000.0,15900000.0,21000000.0,11400000.0,10800000.0,2800000.0,11400000.0,6500000.0,12200000.0,-7100000.0
