date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY
,otherFinancingActivites,709304000.0,28715000.0,23836000.0,78723000.0,300215000.0,18188000.0,23885000.0,28336000.0,12131000.0,3946000.0,1861000.0,5375000.0,0.0,0.0,0.0,0.0,-305000.0,3315000.0,0.0,-7890000.0,-50000.0
,netCashUsedProvidedByFinancingActivities,456269000.0,-23479000.0,-13597000.0,-9877000.0,265715000.0,-31833000.0,-206000.0,7374000.0,-232000.0,-1840000.0,8863000.0,9417000.0,-57114000.0,105948000.0,15611000.0,3565000.0,7664000.0,9714000.0,1245000.0,25533000.0,24886000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,437000.0,153000.0,-1227000.0,-2034000.0,-58000.0,-4000.0,-275000.0,33000.0,10000.0,-210000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,362710000.0,60018000.0,34768000.0,-22064000.0,-27729000.0,-43671000.0,21357000.0,42218000.0,-129449000.0,16127000.0,6405000.0,48791000.0,-49373000.0,108956000.0,31320000.0,10054000.0,-5017000.0,3099000.0,4488000.0,7231000.0,7135000.0
,cashAtEndOfPeriod,489920000.0,127210000.0,67192000.0,32424000.0,54488000.0,82217000.0,125888000.0,104531000.0,62313000.0,191762000.0,175635000.0,169230000.0,120439000.0,169812000.0,60856000.0,29536000.0,19482000.0,24499000.0,21400000.0,16912000.0,9681000.0
,cashAtBeginningOfPeriod,127210000.0,67192000.0,32424000.0,54488000.0,82217000.0,125888000.0,104531000.0,62313000.0,191762000.0,175635000.0,169230000.0,120439000.0,169812000.0,60856000.0,29536000.0,19482000.0,24499000.0,21400000.0,16912000.0,9681000.0,2546000.0
,operatingCashFlow,185870000.0,145008000.0,103966000.0,24834000.0,47937000.0,33762000.0,65163000.0,55263000.0,39484000.0,31243000.0,20599000.0,43130000.0,19535000.0,37227000.0,19507000.0,-2258000.0,-4302000.0,7681000.0,1183000.0,-10710000.0,-19108000.0
,capitalExpenditure,-54866000.0,-61664000.0,-54374000.0,-30541000.0,-29165000.0,-20089000.0,-22602000.0,-20452000.0,-20602000.0,-13112000.0,-7088000.0,-3756000.0,-12330000.0,-6968000.0,-3786000.0,-2098000.0,-3781000.0,-2659000.0,-2073000.0,-2947000.0,-511000.0
,freeCashFlow,131004000.0,83344000.0,49592000.0,-5707000.0,18772000.0,13673000.0,42561000.0,34811000.0,18882000.0,18131000.0,13511000.0,39374000.0,7205000.0,30259000.0,15721000.0,-4356000.0,-8083000.0,5022000.0,-890000.0,-13657000.0,-19619000.0
