date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY
,otherFinancingActivites,0.0,-1000000.0,-2300000.0,-1700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600000.0,0.0,0.0,0.0,1797000.0,168000.0,884000.0,28000.0,642000.0,2132000.0,2227000.0,-100000.0,-2000000.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-374800000.0,-375800000.0,-523100000.0,-152100000.0,-139600000.0,-154100000.0,-119200000.0,-157600000.0,-253500000.0,160200000.0,-15700000.0,-109600000.0,-60300000.0,-107700000.0,257100000.0,-117900000.0,-9500000.0,10400000.0,-37226000.0,68524000.0,-44283000.0,214049000.0,-19462000.0,-328402000.0,41267000.0,11052000.0,-38137000.0,-52623000.0,-19000000.0,9500000.0,-7400000.0,4400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,199100000.0,114300000.0,-86900000.0,16200000.0,6800000.0,4200000.0,-61300000.0,113800000.0,-196500000.0,344500000.0,42600000.0,41000000.0,-7800000.0,11400000.0,1800000.0,-1100000.0,6400000.0,-14100000.0,12088000.0,-34954000.0,526000.0,-22905000.0,-108230000.0,139491000.0,1598000.0,-2791000.0,-3417000.0,5877000.0,0.0,0.0,0.0,0.0
,cashAtEndOfPeriod,573100000.0,374000000.0,259700000.0,346600000.0,330400000.0,323600000.0,319400000.0,380700000.0,266900000.0,463400000.0,118900000.0,76300000.0,29400000.0,37200000.0,25800000.0,24000000.0,25100000.0,18700000.0,32847000.0,20759000.0,15287000.0,14761000.0,37666000.0,145896000.0,6405000.0,5694000.0,8485000.0,11902000.0,0.0,0.0,0.0,0.0
,cashAtBeginningOfPeriod,374000000.0,259700000.0,346600000.0,330400000.0,323600000.0,319400000.0,380700000.0,266900000.0,463400000.0,118900000.0,76300000.0,35300000.0,37200000.0,25800000.0,24000000.0,25100000.0,18700000.0,32800000.0,20759000.0,55713000.0,14761000.0,37666000.0,145896000.0,6405000.0,4807000.0,8485000.0,11902000.0,6025000.0,8900000.0,3200000.0,4800000.0,2500000.0
,operatingCashFlow,562100000.0,456200000.0,448900000.0,326400000.0,446600000.0,344400000.0,263900000.0,279600000.0,143800000.0,58700000.0,124800000.0,267600000.0,106600000.0,190500000.0,141400000.0,186700000.0,66600000.0,25200000.0,115167000.0,49828000.0,86764000.0,48011000.0,74658000.0,-25884000.0,194076000.0,115516000.0,119473000.0,115351000.0,67700000.0,57700000.0,78900000.0,50200000.0
,capitalExpenditure,-56800000.0,-64400000.0,-85200000.0,-94200000.0,-80700000.0,-72700000.0,-86100000.0,-97700000.0,-69900000.0,-53500000.0,-53500000.0,-57000000.0,-66100000.0,-71400000.0,-68200000.0,-50600000.0,-48400000.0,-44900000.0,-42472000.0,-35318000.0,-40516000.0,-32807000.0,-27846000.0,-44886000.0,-37804000.0,-91001000.0,-76133000.0,-54703000.0,-46900000.0,-58000000.0,-72600000.0,-52500000.0
,freeCashFlow,505300000.0,391800000.0,363700000.0,232200000.0,365900000.0,271700000.0,177800000.0,181900000.0,73900000.0,5200000.0,71300000.0,210600000.0,40500000.0,119100000.0,73200000.0,136100000.0,18200000.0,-19700000.0,72695000.0,14510000.0,46248000.0,15204000.0,46812000.0,-70770000.0,156272000.0,24515000.0,43340000.0,60648000.0,20800000.0,-300000.0,6300000.0,-2300000.0
