Date,2018-12-31,2018-09-30,2017-12-31,2017-09-30,2016-12-31,2016-09-30,2015-12-31,2015-09-30,2014-12-31,2014-09-30,2013-12-31,2013-09-30,2012-12-31,2012-09-30,2011-12-31,2011-09-30,2010-12-31
Total current liabilities,37526000.0,1165400.0,49444903.0,1545300.0,18915280.0,1540500.0,18390225.0,2534200.0,9295002.0,1616800.0,10856781.0,3556200.0,11721460.0,13195000.0,3577170.0,11781300.0,896996.0
Long-term debt,15035000.0,587700.0,20075780.0,3400.0,997957.0,31400.0,4526873.0,0.0,4818223.0,2500.0,3166588.0,6000.0,1806035.0,5000.0,1880220.0,10200.0,184030.0
Total debt,38239000.0,589000.0,37408186.0,34900.0,16696243.0,87700.0,18248273.0,2400.0,11117359.0,6000.0,11220477.0,13200.0,10372771.0,10200.0,4106230.0,16300.0,890919.0
Deferred revenue,0.0,159700.0,0.0,45900.0,0.0,45900.0,0.0,45900.0,0.0,45900.0,0.0,0.0,0.0,0.0,0.0,103000.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,52924000.0,699900.0,60109891.0,3400.0,11639198.0,36100.0,12449759.0,2869400.0,14547952.0,1480900.0,9094588.0,6000.0,1806035.0,5000.0,1880220.0,10200.0,184030.0
Total liabilities,90450000.0,1130900.0,109554794.0,1548700.0,30554478.0,1576600.0,30839984.0,5403600.0,23842954.0,3097700.0,19951369.0,3562200.0,13527495.0,13200000.0,5457390.0,11791500.0,1081026.0
Other comprehensive income,-69000.0,89258800,41275785.0,80189700,-3450746.0,68275400,-318324.0,57654000,-194015.0,57350200,262683.0,54298000,-12432.0,32566700,252413.0,30758900,542573.0
Retained earnings (deficit),-156668000.0,-85245300.0,-140131738.0,-75646600.0,-106760656.0,-68533800.0,-85581809.0,-62592900.0,-72083836.0,-59213500.0,-49798862.0,-56550700.0,-35732514.0,-45643300.0,-21584394.0,-42236500.0,-12751636.0
Total shareholders equity,-15700000.0,4020900.0,14290678.0,4547400.0,-17561900.0,-256500.0,-29362986.0,-4836500.0,-21178662.0,-1761600.0,-13837660.0,-2160000.0,-10643255.0,-13074700.0,-2975079.0,-11421500.0,1611301.0
Investments,49881000.0,195900.0,99901917.0,195900.0,11097066.0,0.0,0.0,0.0,79236.0,0.0,162564.0,0.0,18000.0,0.0,1405153.0,0.0,1692386.0
Net Debt,-28422000.0,-2665700.0,14852123.0,-5414100.0,15164095.0,-230500.0,17500432.0,-429700.0,10254662.0,-1234600.0,7443977.0,-1260400.0,9774751.0,2500.0,3364974.0,-77100.0,-1390551.0
Other Assets,981000.0,0.0,-120214273.0,0.0,-11127744.0,0.0,-161843.0,0.0,-753780.0,0.0,-3499210.0,0.0,-10088.0,0.0,-364798.0,0.0,-336929.0
Other Liabilities,5200000.0,-734400.0,26417187.0,0.0,15840.0,0.0,88331.0,0.0,0.0,0.0,125000.0,0.0,200000.0,0.0,200000.0,0.0,0.0
