date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY
,purchasesOfInvestments,-151000000.0,-325000000.0,-1453000000.0,-2254000000.0,-10000000000.0,-1500000000.0,-1200000000.0,0.0,-2175000000.0,-2200000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,-685000000.0,-14746000000.0,448000000.0,1444000000.0,9125000000.0,906000000.0,1424000000.0,-17406000000.0,2451000000.0,-122000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-3092000000.0,-16973000000.0,-3019000000.0,-2503000000.0,6206000000.0,-2305000000.0,-1113000000.0,-15821000000.0,-707000000.0,-3187000000.0,-1104000000.0,-2336000000.0,-3182000000.0,-1261000000.0,-4649000000.0,-1762000000.0,-1761000000.0,-1088000000.0,-1277000000.0,-2101000000.0,-4411000000.0,-2269000000.0,-1185000000.0,-802000000.0,-654000000.0,-289000000.0,-1026000000.0,-926000000.0,-1028000000.0,-1143000000.0,-1307000000.0,63500000.0,-650300000.0,-845500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-2830000000.0,-2520000000.0,-1604000000.0,-2452000000.0,-1764000000.0,-305000000.0,-2862000000.0,-842000000.0,-616000000.0,-1751000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,1100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,-124000000.0,-289000000.0,-1422000000.0,-2241000000.0,-8859000000.0,-1313000000.0,-822000000.0,522000000.0,-1949000000.0,-1814000000.0,-758000000.0,-2997000000.0,-1586000000.0,-1722000000.0,-899000000.0,-561000000.0,-70000000.0,-517000000.0,-284000000.0,-362000000.0,-468000000.0,-430000000.0,-706000000.0,-363000000.0,-120000000.0,-197000000.0,110000000.0,87000000.0,28000000.0,-6000000.0,-542000000.0,8700000.0,-3600000.0,-462000000.0
,dividendsPaid,-2442000000.0,-2170000000.0,-2074000000.0,-2069000000.0,-2184000000.0,-2048000000.0,-1908000000.0,-1752000000.0,-1602000000.0,-1482000000.0,-1356000000.0,-1210000000.0,-1080000000.0,-951000000.0,-832000000.0,-660000000.0,-533000000.0,-462000000.0,-423000000.0,-387000000.0,-353000000.0,-316000000.0,-291000000.0,-265000000.0,-252000000.0,-238000000.0,-267000000.0,-264000000.0,-281000000.0,-254000000.0,-227000000.0,-202500000.0,-183500000.0,-210200000.0
,otherFinancingActivites,859000000.0,12980000000.0,4138000000.0,5587000000.0,2072000000.0,-406000000.0,30000000.0,10615000000.0,388000000.0,2280000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-4564000000.0,7965000000.0,-993000000.0,-1188000000.0,-10785000000.0,-4259000000.0,-5940000000.0,8021000000.0,-4005000000.0,-3153000000.0,-4191000000.0,-2238000000.0,-1955000000.0,-3342000000.0,335000000.0,-1402000000.0,-1696000000.0,-1251000000.0,-769000000.0,-582000000.0,375000000.0,-341000000.0,-1269000000.0,-1055000000.0,-874000000.0,-1098000000.0,-379000000.0,-435000000.0,-517000000.0,-255000000.0,246000000.0,-929400000.0,-455700000.0,-225300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-19000000.0,-120000000.0,210000000.0,-120000000.0,-174000000.0,-156000000.0,-41000000.0,30000000.0,-1000000.0,68000000.0,64000000.0,-164000000.0,165000000.0,99000000.0,-38000000.0,107000000.0,125000000.0,8000000.0,-29000000.0,-29000000.0,-26000000.0,-4000000.0,-49000000.0,-11000000.0,-2000000.0,-5000000.0,-36000000.0,-11000000.0,-23000000.0,-1000000.0,-44000000.0,-58000000.0,200000.0,12300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,1208000000.0,-2806000000.0,1829000000.0,69000000.0,1630000000.0,616000000.0,-217000000.0,-1124000000.0,1877000000.0,-366000000.0,122000000.0,1423000000.0,358000000.0,299000000.0,-18000000.0,642000000.0,-457000000.0,522000000.0,810000000.0,-209000000.0,407000000.0,-105000000.0,-372000000.0,227000000.0,514000000.0,-35000000.0,67000000.0,-169000000.0,322000000.0,-66000000.0,24000000.0,-187200000.0,77200000.0,-662700000.0
,cashAtEndOfPeriod,7360000000.0,6179000000.0,8986000000.0,7144000000.0,6865000000.0,5235000000.0,4602000000.0,4836000000.0,5960000000.0,4083000000.0,4449000000.0,4327000000.0,2904000000.0,2546000000.0,2247000000.0,2265000000.0,1623000000.0,2080000000.0,1558000000.0,748000000.0,957000000.0,650000000.0,755000000.0,1127000000.0,900000000.0,386000000.0,421000000.0,354000000.0,523000000.0,201000000.0,267000000.0,236800000.0,347200000.0,309300000.0
,cashAtBeginningOfPeriod,6152000000.0,8985000000.0,7157000000.0,7075000000.0,5235000000.0,4619000000.0,4819000000.0,5960000000.0,4083000000.0,4449000000.0,4327000000.0,2904000000.0,2546000000.0,2247000000.0,2265000000.0,1623000000.0,2080000000.0,1558000000.0,748000000.0,957000000.0,550000000.0,755000000.0,1127000000.0,900000000.0,386000000.0,421000000.0,354000000.0,523000000.0,201000000.0,267000000.0,243000000.0,424000000.0,270000000.0,972000000.0
,operatingCashFlow,8883000000.0,6322000000.0,5631000000.0,3880000000.0,6383000000.0,7336000000.0,6877000000.0,6646000000.0,6590000000.0,5906000000.0,5353000000.0,6161000000.0,5330000000.0,4803000000.0,4334000000.0,3699000000.0,2875000000.0,2853000000.0,2885000000.0,2503000000.0,4469000000.0,2509000000.0,2131000000.0,2095000000.0,2044000000.0,1357000000.0,1508000000.0,1203000000.0,1890000000.0,1333000000.0,1129000000.0,736700000.0,1183000000.0,395800000.0
,capitalExpenditure,-2256000000.0,-1902000000.0,-2014000000.0,-1699000000.0,-1652000000.0,-1711000000.0,-1688000000.0,-1389000000.0,-983000000.0,-865000000.0,-826000000.0,-1216000000.0,-1153000000.0,-954000000.0,-929000000.0,-795000000.0,-530000000.0,-586000000.0,-793000000.0,-937000000.0,-762000000.0,-866000000.0,-843000000.0,-794000000.0,-780000000.0,-759000000.0,-846000000.0,-920000000.0,-1048000000.0,-1200000000.0,-1023000000.0,-875300000.0,-839000000.0,-849600000.0
,freeCashFlow,6276000000.0,4020000000.0,3237000000.0,1793000000.0,4294000000.0,5032000000.0,4467000000.0,3714000000.0,5607000000.0,5041000000.0,4527000000.0,4945000000.0,4177000000.0,3849000000.0,3405000000.0,2904000000.0,2345000000.0,2267000000.0,2092000000.0,1566000000.0,3707000000.0,1643000000.0,1288000000.0,1301000000.0,1264000000.0,598000000.0,662000000.0,283000000.0,842000000.0,133000000.0,106000000.0,-138600000.0,344000000.0,-453800000.0
