date,,2021-05-31_FY,2020-05-31_FY,2019-05-31_FY,2018-05-31_FY,2017-05-31_FY,2016-05-31_FY,2015-05-31_FY,2014-05-31_FY,2013-05-31_FY,2012-05-31_FY,2011-05-31_FY,2010-05-31_FY,2009-05-31_FY,2008-05-31_FY,2007-05-31_FY,2006-05-31_FY,2005-05-31_FY,2004-05-31_FY,2003-05-31_FY,2002-05-31_FY,2001-05-31_FY,2000-05-31_FY,1999-05-31_FY,1998-05-31_FY,1997-05-31_FY,1996-05-31_FY,1995-05-31_FY,1994-05-31_FY,1993-05-31_FY,1992-05-31_FY,1991-05-31_FY,1990-05-31_FY,1989-05-31_FY
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1585000.0,8306000.0,1204000.0,1551000.0,24644000.0,43859000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600000.0,800000.0,0.0,0.0,0.0
,otherInvestingActivites,10800000.0,-1200000.0,1200000.0,6300000.0,16000000.0,41300000.0,46400000.0,1100000.0,10700000.0,3296000.0,7731000.0,2889000.0,-2512000.0,-1277000.0,-933000.0,388000.0,-4551000.0,15912000.0,3246000.0,386000.0,18475000.0,-865000.0,28413000.0,-53486000.0,-1676000.0,2919000.0,-273000.0,-2211000.0,-700000.0,200000.0,1600000.0,-7800000.0,-3100000.0
,netCashUsedForInvestingActivites,-500000.0,-24800000.0,-18500000.0,-38600000.0,-30100000.0,-47100000.0,689200000.0,-40900000.0,-32800000.0,-390225000.0,-118735000.0,-222340000.0,-24227000.0,-141965000.0,-39129000.0,-32625000.0,-17584000.0,5626000.0,-6684000.0,-24977000.0,2141000.0,-23209000.0,-22893000.0,-99129000.0,-31968000.0,-4628000.0,-9346000.0,-8195000.0,-8000000.0,-7600000.0,-7300000.0,-20800000.0,-13500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,-25000000.0,0.0,-10000000.0,-70600000.0,-394800000.0,-88900000.0,-274800000.0,-90313000.0,-63328000.0,-25581000.0,-112260000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46283000.0,8576000.0,9402000.0,0.0,0.0,0.0,34334000.0,116000.0,376000.0,278000.0,1642000.0,58181000.0,1963000.0,905000.0,134000.0,1000000.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,-4100000.0,-10300000.0,-13100000.0,-19800000.0,-18800000.0,-151500000.0,-1000000.0,-14600000.0,-3659000.0,-2539000.0,0.0,0.0,-9527000.0,0.0,0.0,0.0,0.0,0.0,-205000.0,-211000.0,-10530000.0,-7558000.0,0.0,-8080000.0,-1552000.0,-177000.0,-66000.0,-1200000.0,0.0,-2300000.0,0.0,0.0
,dividendsPaid,-100000.0,-10700000.0,-10500000.0,-10300000.0,-10200000.0,-10400000.0,-12500000.0,-11800000.0,-12800000.0,-12081000.0,-2983000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-797000.0,-4430000.0,-9157000.0,-9218000.0,-9375000.0,-9118000.0,-7976000.0,-7676000.0,-7650000.0,-7635000.0,-7600000.0,0.0,-7700000.0,-7500000.0,-6700000.0
,otherFinancingActivites,-469400000.0,459300000.0,-2900000.0,33400000.0,27900000.0,61400000.0,-119300000.0,15800000.0,178500000.0,412896000.0,57023000.0,61751000.0,76093000.0,114265000.0,13397000.0,135253000.0,-24037000.0,-8373000.0,-32553000.0,49196000.0,-26364000.0,25401000.0,2053000.0,49177000.0,-1474000.0,-1632000.0,5101000.0,24974000.0,-1000000.0,-700000.0,-22000000.0,8200000.0,18000000.0
,netCashUsedProvidedByFinancingActivities,-469500000.0,444500000.0,-48700000.0,10000000.0,-12100000.0,-38400000.0,-678100000.0,-85900000.0,-123700000.0,306843000.0,-11827000.0,36170000.0,-36167000.0,151021000.0,21973000.0,144655000.0,-24037000.0,-8373000.0,-33350000.0,78895000.0,-35616000.0,6029000.0,-14602000.0,41701000.0,40651000.0,-8897000.0,-1821000.0,17407000.0,-8800000.0,-700000.0,-32000000.0,700000.0,11300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,300000.0,0.0,-200000.0,-100000.0,-500000.0,-300000.0,-2600000.0,900000.0,1200000.0,-548000.0,27000.0,-121000.0,-943000.0,92000.0,-26000.0,-148000.0,11000.0,31000.0,-67000.0,110000.0,-50000.0,120000.0,-2000.0,122000.0,-115000.0,-116000.0,325000.0,-90000.0,0.0,100000.0,-100000.0,200000.0,-200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-364500000.0,383600000.0,-500000.0,31300000.0,-20900000.0,-23500000.0,-34500000.0,13900000.0,7600000.0,10287000.0,-21937000.0,-33135000.0,3114000.0,26074000.0,-38421000.0,71400000.0,9328000.0,11856000.0,-5368000.0,20713000.0,12568000.0,-7009000.0,-8972000.0,-34483000.0,18099000.0,11119000.0,4413000.0,15819000.0,0.0,0.0,0.0,0.0,0.0
,cashAtEndOfPeriod,60200000.0,424700000.0,41100000.0,41600000.0,10300000.0,31200000.0,54700000.0,89200000.0,75300000.0,67720000.0,57433000.0,79370000.0,112505000.0,109391000.0,83317000.0,121738000.0,50338000.0,41010000.0,29154000.0,34522000.0,13809000.0,1241000.0,8250000.0,17222000.0,51705000.0,33606000.0,22487000.0,18074000.0,0.0,0.0,0.0,0.0,0.0
,cashAtBeginningOfPeriod,424700000.0,41100000.0,41600000.0,10300000.0,31200000.0,54700000.0,89200000.0,75300000.0,67700000.0,57433000.0,79370000.0,112505000.0,109391000.0,83317000.0,121738000.0,50338000.0,41010000.0,29154000.0,34522000.0,13809000.0,1241000.0,8250000.0,17222000.0,51705000.0,33606000.0,22487000.0,18074000.0,2255000.0,2300000.0,1600000.0,4000000.0,4600000.0,6900000.0
,operatingCashFlow,105200000.0,-36100000.0,67400000.0,64300000.0,21800000.0,32100000.0,-43000000.0,139800000.0,162900000.0,94217000.0,108598000.0,153156000.0,64451000.0,16926000.0,-21239000.0,-40482000.0,50938000.0,14572000.0,34733000.0,-33315000.0,46093000.0,10051000.0,28525000.0,22823000.0,9531000.0,24760000.0,15255000.0,6697000.0,16800000.0,8800000.0,36900000.0,19400000.0,100000.0
,capitalExpenditure,-11300000.0,-23600000.0,-17400000.0,-22000000.0,-33600000.0,-88400000.0,-46300000.0,-26500000.0,-37600000.0,-91218000.0,-124879000.0,-28855000.0,-27535000.0,-30334000.0,-29891000.0,-16296000.0,-13033000.0,-10286000.0,-9930000.0,-12112000.0,-13134000.0,-22344000.0,-36131000.0,-17495000.0,-30292000.0,-7547000.0,-9073000.0,-5984000.0,-8900000.0,-8200000.0,-8900000.0,-10400000.0,-10400000.0
,freeCashFlow,93900000.0,-59700000.0,50000000.0,42300000.0,-11800000.0,-56300000.0,-89300000.0,113300000.0,125300000.0,2999000.0,-16281000.0,124301000.0,36916000.0,-13408000.0,-51130000.0,-56778000.0,37905000.0,4286000.0,24803000.0,-45427000.0,32959000.0,-12293000.0,-7606000.0,5328000.0,-20761000.0,17213000.0,6182000.0,713000.0,7900000.0,600000.0,28000000.0,9000000.0,-10300000.0
