date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY
,otherFinancingActivites,-16229000.0,-15526000.0,-10797000.0,-31694000.0,3227000.0,9397000.0,9123000.0,1785000.0,3381000.0,93000.0,312000.0,-19958000.0,2610000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,228996000.0,-149128000.0,-134193000.0,-123864000.0,93755000.0,-90581000.0,-36420000.0,36761000.0,77205000.0,-23281000.0,-23497000.0,-25183000.0,-11477000.0,-5546000.0,4953000.0,10055000.0,772000.0,-4734000.0,7210000.0,-2517000.0,3079000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,2530000.0,559000.0,-103000.0,1507000.0,-1121000.0,-468000.0,-1575000.0,168000.0,364000.0,-287000.0,360000.0,365000.0,410000.0,-478000.0,218000.0,118000.0,183000.0,-14000.0,10000.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,357273000.0,-7286000.0,1908000.0,8594000.0,3094000.0,-76347000.0,58301000.0,-4524000.0,3661000.0,15010000.0,1078000.0,1839000.0,-14535000.0,-20822000.0,8573000.0,5706000.0,15423000.0,4171000.0,-4153000.0,-7687000.0,-4945000.0
,cashAtEndOfPeriod,388465000.0,31192000.0,38478000.0,23227000.0,14633000.0,11539000.0,87886000.0,29585000.0,34109000.0,30448000.0,15438000.0,8954000.0,7115000.0,21650000.0,42472000.0,33899000.0,28193000.0,12770000.0,8599000.0,12752000.0,20439000.0
,cashAtBeginningOfPeriod,31192000.0,38478000.0,36570000.0,14633000.0,11539000.0,87886000.0,29585000.0,34109000.0,30448000.0,15438000.0,14360000.0,7115000.0,21650000.0,42472000.0,33899000.0,28193000.0,12770000.0,8599000.0,12752000.0,20439000.0,25384000.0
,operatingCashFlow,209572000.0,330353000.0,294747000.0,236272000.0,213297000.0,170056000.0,174297000.0,159679000.0,106982000.0,133570000.0,70119000.0,77634000.0,54664000.0,50119000.0,37275000.0,30748000.0,46074000.0,31086000.0,16953000.0,15228000.0,9202000.0
,capitalExpenditure,-84740000.0,-111845000.0,-92491000.0,-88122000.0,-75334000.0,-77785000.0,-66194000.0,-69509000.0,-69086000.0,-42517000.0,-39522000.0,-41847000.0,-32715000.0,-15599000.0,-12970000.0,-19050000.0,-17026000.0,-21005000.0,-19677000.0,-18059000.0,-13339000.0
,freeCashFlow,124832000.0,218508000.0,202256000.0,148150000.0,137963000.0,92271000.0,108103000.0,90170000.0,37896000.0,91053000.0,30597000.0,35787000.0,21949000.0,34520000.0,24305000.0,11698000.0,29048000.0,10081000.0,-2724000.0,-2831000.0,-4137000.0
