date,,2021-01-02_FY,2019-12-28_FY,2018-12-29_FY,2017-12-30_FY,2016-12-31_FY,2016-01-02_FY,2015-01-03_FY,2013-12-28_FY,2012-12-29_FY,2011-12-31_FY,2011-01-01_FY,2010-01-02_FY,2009-01-03_FY,2007-12-29_FY,2006-12-30_FY,2005-12-31_FY,2005-01-01_FY,2004-01-03_FY,2002-12-28_FY,2001-12-29_FY,2000-12-31_FY,2000-01-01_FY,1999-01-02_FY,1998-01-03_FY,1996-12-28_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY
,purchasesOfInvestments,0.0,-339865000.0,-250059000.0,-100025000.0,-20525000.0,-333189000.0,-100117000.0,-111702000.0,-250000.0,-608000.0,0.0,0.0,-62447000.0,0.0,-147000.0,-180975000.0,-549835000.0,0.0,-10051000.0,0.0,-49636000.0,0.0,0.0,0.0,0.0,-33205000.0,-60238000.0,-20500000.0,0.0,0.0,-8100000.0,-9100000.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,2952000.0,0.0,9108000.0,116298000.0,35886000.0,47697000.0,44940000.0,4224000.0,19584000.0,0.0,0.0,0.0,0.0,0.0,310221000.0,0.0,0.0,49370000.0,0.0,7307000.0,0.0,0.0,0.0,0.0,43296000.0,69796000.0,0.0,12000000.0,6900000.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,306148000.0,119961000.0,100858000.0,0.0,297607000.0,-105785000.0,-426906000.0,-169248000.0,0.0,0.0,0.0,0.0,0.0,0.0,-16784000.0,0.0,0.0,0.0,0.0,-59692000.0,0.0,0.0,0.0,0.0,12621000.0,-26140000.0,-19400000.0,-15800000.0,-19200000.0,-5800000.0,-12100000.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-292158000.0,-105708000.0,-173845000.0,-191209000.0,1357000.0,-44504000.0,-198015000.0,-426900000.0,-201200000.0,-56497000.0,-285100000.0,-50500000.0,-126900000.0,-108400000.0,-111800000.0,-222697000.0,-215000000.0,-326000000.0,-138600000.0,-161300000.0,-225995000.0,-254500000.0,-516600000.0,-195100000.0,-85700000.0,-5626000.0,-31778000.0,-58400000.0,-35200000.0,-40200000.0,-36100000.0,-25700000.0,-14800000.0,-5400000.0,-3400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,105917000.0,41946000.0,-300000000.0,-793000.0,-65000000.0,-349999000.0,-1000.0,-144639000.0,-1372000.0,-155842000.0,0.0,0.0,0.0,-28000000.0,-132000000.0,0.0,-370000.0,-98856000.0,-181831000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,74803000.0,52842000.0,40908000.0,48965000.0,55440000.0,74938000.0,65913000.0,42657000.0,32687000.0,19714000.0,13643000.0,28010000.0,48192000.0,255462000.0,39400000.0,146481000.0,75318000.0,56441000.0,77228000.0,0.0,117329000.0,0.0,0.0,0.0,0.0,26500000.0,23837000.0,10800000.0,14600000.0,15300000.0,9000000.0,4500000.0,0.0,0.0,0.0
,commonStockRepurchased,-380064000.0,-253306000.0,-209151000.0,-51060000.0,-997515000.0,-258251000.0,-34204000.0,42700000.0,32700000.0,0.0,11100000.0,28000000.0,-225800000.0,-163200000.0,-298000000.0,-101070000.0,-18800000.0,-70800000.0,-104600000.0,-199200000.0,-232958000.0,-24600000.0,-89500000.0,-50800000.0,98200000.0,-181116000.0,-105440000.0,-52200000.0,-10800000.0,-1800000.0,-600000.0,0.0,3300000.0,11300000.0,10100000.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-600000.0,-2300000.0,0.0,0.0,-200000.0,0.0,-300000.0
,otherFinancingActivites,0.0,-190580000.0,-58788000.0,-19087000.0,-622000.0,-18060000.0,323170000.0,521951000.0,-16854000.0,-8676000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202539000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-415289000.0,-443886000.0,-567939000.0,-70147000.0,-592697000.0,-626310000.0,288965000.0,-116300000.0,15800000.0,-144804000.0,59900000.0,21000000.0,-443400000.0,-170100000.0,-233900000.0,205349000.0,-21100000.0,149200000.0,-54100000.0,32900000.0,63206000.0,31800000.0,248700000.0,-73700000.0,115300000.0,-181158000.0,-110812000.0,-49500000.0,-10500000.0,-17800000.0,2900000.0,-100000.0,-200000.0,11300000.0,8200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,-8094000.0,-17756000.0,13471000.0,-4993000.0,-22861000.0,-11771000.0,-14500000.0,-5800000.0,5152000.0,14300000.0,4800000.0,5400000.0,4600000.0,-2500000.0,3863000.0,2900000.0,19000000.0,7600000.0,-1400000.0,-5492000.0,-2200000.0,-2100000.0,-7100000.0,-5300000.0,-456000.0,1781000.0,-400000.0,-3400000.0,-2000000.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,223222000.0,171912000.0,-154789000.0,222855000.0,-151454000.0,-315475000.0,395901000.0,-190100000.0,124800000.0,44193000.0,-11700000.0,900000.0,-494700000.0,128600000.0,73000000.0,412798000.0,139300000.0,13200000.0,165000000.0,121100000.0,-26181000.0,-97700000.0,-24000000.0,-77500000.0,199600000.0,9856000.0,13629000.0,0.0,0.0,0.0,0.0,0.0,7500000.0,10700000.0,2100000.0
,cashAtEndOfPeriod,928432000.0,705210000.0,533298000.0,688087000.0,465232000.0,616686000.0,932201000.0,536300000.0,726400000.0,601602000.0,557400000.0,569200000.0,568200000.0,1062900000.0,934300000.0,861315000.0,523800000.0,384500000.0,371300000.0,206300000.0,85220000.0,85400000.0,183000000.0,207000000.0,284500000.0,84867000.0,75011000.0,0.0,0.0,0.0,0.0,0.0,24100000.0,10700000.0,535398000.0
,cashAtBeginningOfPeriod,705210000.0,533298000.0,688087000.0,465232000.0,616686000.0,932161000.0,536300000.0,726400000.0,601600000.0,557409000.0,569100000.0,568300000.0,1062900000.0,934300000.0,861300000.0,448517000.0,384500000.0,371300000.0,206300000.0,85200000.0,111401000.0,183100000.0,207000000.0,284500000.0,84900000.0,75011000.0,61382000.0,79000000.0,87900000.0,71800000.0,42600000.0,28400000.0,16600000.0,0.0,533298000.0
,operatingCashFlow,904922000.0,729600000.0,604751000.0,470740000.0,444879000.0,378200000.0,316722000.0,367600000.0,316000000.0,240342000.0,199100000.0,25600000.0,70300000.0,402400000.0,421200000.0,426283000.0,372500000.0,171000000.0,350200000.0,250900000.0,142100000.0,127200000.0,246100000.0,198400000.0,175300000.0,197096000.0,154438000.0,90700000.0,42500000.0,76000000.0,52000000.0,38300000.0,22500000.0,4700000.0,-2700000.0
,capitalExpenditure,-94813000.0,-74605000.0,-61503000.0,-57901000.0,-53712000.0,-44808000.0,-39810000.0,-44929000.0,-35966000.0,-31421000.0,-799000.0,6730000.0,-97290000.0,46500000.0,317000.0,-71656000.0,3625000.0,-82881000.0,-127706000.0,-184500000.0,-119471000.0,-136100000.0,-136100000.0,-112000000.0,-89000000.0,-28338000.0,-15196000.0,-19300000.0,-31400000.0,-29600000.0,-22200000.0,-6200000.0,-9100000.0,-5600000.0,-3400000.0
,freeCashFlow,810109000.0,654995000.0,543248000.0,412839000.0,391167000.0,333392000.0,276912000.0,322700000.0,280000000.0,208921000.0,161600000.0,-16500000.0,-29400000.0,318600000.0,345200000.0,354627000.0,306600000.0,54600000.0,222500000.0,66400000.0,22629000.0,-8900000.0,110000000.0,86400000.0,86300000.0,168758000.0,139242000.0,71400000.0,11100000.0,46400000.0,29800000.0,32100000.0,13400000.0,-900000.0,-6100000.0
