date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2013-09-30_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1999-09-30_FY,1998-09-30_FY,1997-09-30_FY,1996-09-30_FY,1995-09-30_FY,1994-09-30_FY,1993-09-30_FY,1992-09-30_FY,1991-09-30_FY,1990-09-30_FY,1989-09-30_FY
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1661000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700000.0,0.0
,otherInvestingActivites,0.0,1689000.0,96673000.0,10070000.0,6013000.0,12540000.0,249000.0,6017000.0,24255000.0,1122000.0,1869000.0,528000.0,109000.0,2064000.0,451000.0,5473000.0,1033000.0,3065000.0,8335000.0,-1322000.0,-671000.0,3951000.0,0.0,100000.0,100000.0,-50500000.0,-600000.0,-12400000.0,0.0,0.0,-18500000.0,-21900000.0,-29100000.0,-31400000.0
,netCashUsedForInvestingActivites,-33421000.0,-37411000.0,14833000.0,-33817000.0,-75203000.0,-75794000.0,-79149000.0,-98229000.0,24255000.0,-102684000.0,-74037000.0,-55123000.0,-48047000.0,-49955000.0,-39219000.0,-33841000.0,-33968000.0,-44764000.0,-85180000.0,-88181000.0,25185000.0,-90083000.0,-10900000.0,-121200000.0,-133900000.0,-129300000.0,-61600000.0,-16300000.0,36000000.0,-47600000.0,-63400000.0,-71800000.0,-24700000.0,-75100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-154348000.0,-134449000.0,-284332000.0,-239950000.0,-247092000.0,-156662000.0,-128186000.0,-198686000.0,-0.0,-58052000.0,-198259000.0,-211935000.0,-277064000.0,-134135000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16693000.0,7681000.0,3629000.0,4213000.0,4809000.0,12204000.0,9115000.0,18776000.0,0.0,3700000.0,13600000.0,8100000.0,1600000.0,1200000.0,600000.0,900000.0,500000.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,-76734000.0,-87217000.0,-50100000.0,-176566000.0,-137192000.0,0.0,-24255000.0,-23154000.0,0.0,0.0,0.0,0.0,-1267000.0,-4563000.0,-18005000.0,0.0,-17931000.0,-18892000.0,-37385000.0,-47531000.0,-8800000.0,-24300000.0,-21800000.0,-5800000.0,-27600000.0,-1800000.0,-14100000.0,-800000.0,-13800000.0,0.0,0.0,0.0
,dividendsPaid,-66057000.0,-62190000.0,-57410000.0,-54038000.0,-49635000.0,-48110000.0,-47893000.0,-45513000.0,-0.0,-43426000.0,-41968000.0,-39013000.0,-37042000.0,-35597000.0,-32017000.0,-28292000.0,-28275000.0,-28096000.0,-28154000.0,-25539000.0,-25356000.0,-25997000.0,-6700000.0,-26800000.0,-27100000.0,-26500000.0,-25800000.0,-25000000.0,-24100000.0,-23200000.0,-22400000.0,-19500000.0,-17200000.0,-13400000.0
,otherFinancingActivites,0.0,-1027000.0,-2777000.0,-3383000.0,0.0,0.0,0.0,0.0,24255000.0,0.0,0.0,0.0,0.0,18862000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,0.0,100000.0,0.0,-200000.0,0.0,700000.0,1700000.0,10500000.0,-2600000.0
,netCashUsedProvidedByFinancingActivities,-184153000.0,-150583000.0,-98724000.0,-153414000.0,-127971000.0,-50134000.0,-98553000.0,-48219000.0,0.0,-48772000.0,-52948000.0,-97541000.0,-80368000.0,-38356000.0,-61412000.0,-68683000.0,-71162000.0,-83543000.0,28441000.0,-6773000.0,-85498000.0,1397000.0,11500000.0,21800000.0,39600000.0,35600000.0,-35000000.0,-41600000.0,-65600000.0,-34800000.0,-6300000.0,18400000.0,-14900000.0,26000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,2411000.0,64000.0,2928000.0,10204000.0,-5436000.0,-10451000.0,-10993000.0,-2331000.0,0.0,4297000.0,-7292000.0,-1025000.0,-6200000.0,-687000.0,913000.0,1274000.0,-335000.0,1568000.0,1343000.0,639000.0,-165000.0,144000.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,3617000.0,-10748000.0,2557000.0,3479000.0,13868000.0,-8332000.0,493000.0,4774000.0,24255000.0,-7793000.0,8600000.0,2036000.0,3721000.0,-2024000.0,5487000.0,-2033000.0,4825000.0,-1007000.0,1147000.0,-214000.0,-900000.0,3103000.0,-4500000.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cashAtEndOfPeriod,24770000.0,21153000.0,31901000.0,29344000.0,25865000.0,11997000.0,20329000.0,19836000.0,24255000.0,15062000.0,22855000.0,14255000.0,12219000.0,8498000.0,10522000.0,5035000.0,7068000.0,2243000.0,3250000.0,2103000.0,2317000.0,3217000.0,100000.0,4600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cashAtBeginningOfPeriod,21153000.0,31901000.0,29344000.0,25865000.0,11997000.0,20329000.0,19836000.0,15062000.0,0.0,22855000.0,14255000.0,12219000.0,8498000.0,10522000.0,5035000.0,7068000.0,2243000.0,3250000.0,2103000.0,2317000.0,3217000.0,114000.0,4600000.0,1600000.0,1300000.0,3400000.0,8700000.0,43400000.0,11400000.0,11000000.0,13200000.0,8500000.0,3900000.0,2600000.0
,operatingCashFlow,218780000.0,177182000.0,83520000.0,180506000.0,222478000.0,128047000.0,189188000.0,153553000.0,0.0,139366000.0,142877000.0,155725000.0,138336000.0,86974000.0,105205000.0,99217000.0,110290000.0,125732000.0,56543000.0,94101000.0,59578000.0,91645000.0,-5200000.0,102500000.0,94100000.0,91600000.0,91300000.0,23100000.0,61600000.0,82800000.0,67500000.0,58200000.0,43900000.0,50400000.0
,capitalExpenditure,-52162000.0,-39100000.0,-50740000.0,-56344000.0,-81216000.0,-79941000.0,-79398000.0,-104246000.0,0.0,-103806000.0,-72200000.0,-55823000.0,-47716000.0,-53680000.0,-41961000.0,-39314000.0,-36102000.0,-49845000.0,-74208000.0,-47317000.0,-38001000.0,0.0,-10400000.0,-121000000.0,-134800000.0,-73500000.0,-59000000.0,-42600000.0,-121000000.0,-46000000.0,-45000000.0,-54800000.0,-69600000.0,-46600000.0
,freeCashFlow,166618000.0,138082000.0,32780000.0,124162000.0,141262000.0,48106000.0,109790000.0,49307000.0,0.0,35560000.0,70677000.0,99902000.0,90620000.0,33294000.0,63244000.0,59903000.0,74188000.0,75887000.0,-17665000.0,46784000.0,21577000.0,91645000.0,-15600000.0,-18500000.0,-40700000.0,18100000.0,32300000.0,-19500000.0,-59400000.0,36800000.0,22500000.0,3400000.0,-25700000.0,3800000.0
