date,,2021-03-31_FY,2020-03-31_FY,2019-03-31_FY,2018-03-31_FY,2017-03-31_FY,2016-03-31_FY,2015-03-31_FY,2014-03-31_FY,2013-03-31_FY,2012-03-31_FY,2011-03-31_FY,2010-03-31_FY,2009-03-31_FY,2008-03-31_FY,2007-03-31_FY,2006-03-31_FY,2005-03-31_FY,2004-03-31_FY,2003-06-30_FY,2002-06-30_FY,2001-06-30_FY,2000-06-30_FY,1999-06-30_FY,1998-06-30_FY,1997-06-30_FY,1996-06-30_FY,1995-06-30_FY,1994-06-30_FY,1993-06-30_FY,1992-06-30_FY,1991-06-30_FY,1990-06-30_FY,1989-06-30_FY
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68848000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32063000.0,0.0,29100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51900000.0,60600000.0
,otherInvestingActivites,-800000.0,495000.0,2000000.0,-550000.0,-398000.0,-796000.0,-141000.0,1033000.0,1004000.0,9933000.0,35206000.0,536000.0,3500000.0,12846000.0,0.0,12199000.0,-12347000.0,0.0,0.0,0.0,-13163000.0,0.0,-11400000.0,-47800000.0,-2700000.0,-17200000.0,-4200000.0,600000.0,-800000.0,-14800000.0,-37300000.0,-23600000.0,-7300000.0
,netCashUsedForInvestingActivites,-217269000.0,-106365000.0,-34699000.0,-29393000.0,-33854000.0,-50931000.0,-54004000.0,-42070000.0,-26245000.0,-9875000.0,1652000.0,-52022000.0,42118000.0,-23985000.0,367669000.0,-63762000.0,-128353000.0,-60400000.0,-176128000.0,-120231000.0,-59362000.0,-22947000.0,-77800000.0,-108700000.0,-41900000.0,-50400000.0,-101100000.0,-41000000.0,-116200000.0,-52100000.0,-75600000.0,-52200000.0,-44600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,-41147000.0,0.0,0.0,0.0,-356250000.0,-254977000.0,-34624000.0,-113638000.0,-15000000.0,-79500000.0,0.0,0.0,0.0,0.0,-159150000.0,-607000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,187000.0,457000.0,3949000.0,134000.0,0.0,729000.0,37000.0,24372000.0,70436000.0,196644000.0,4867000.0,0.0,3923000.0,7482000.0,17364000.0,1010000.0,2300000.0,4300000.0,600000.0,200000.0,200000.0,0.0,70900000.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,-33457000.0,-1443000.0,-21610000.0,-178365000.0,0.0,-32724000.0,-14145000.0,-8481000.0,-4004000.0,-46929000.0,-32194000.0,-111073000.0,-16700000.0,0.0,0.0,0.0,18600000.0,-54607000.0,-45681000.0,-40673000.0,-98756000.0,-93000000.0,-19800000.0,0.0,0.0,0.0,-11400000.0,0.0,0.0,-1300000.0,-15300000.0,-1000000.0
,dividendsPaid,-75177000.0,-75368000.0,-69883000.0,-54699000.0,-60889000.0,-62137000.0,-62161000.0,-61571000.0,-60846000.0,-59561000.0,-60171000.0,-60732000.0,-60892000.0,-63452000.0,-60108000.0,-46495000.0,-41452000.0,-28700000.0,-39442000.0,-39799000.0,-37752000.0,-44313000.0,-40900000.0,-38400000.0,-40700000.0,-35400000.0,-34300000.0,-32800000.0,-28200000.0,-25600000.0,-24600000.0,-24200000.0,-22700000.0
,otherFinancingActivites,-12830000.0,-9435000.0,-6497000.0,-10178000.0,-6641000.0,-4449000.0,-7804000.0,-2846000.0,-1957000.0,9746000.0,-100000.0,-1297000.0,0.0,-981000.0,-1067000.0,-973000.0,-4353000.0,0.0,0.0,0.0,0.0,0.0,-100000.0,-7500000.0,200000.0,5500000.0,0.0,0.0,0.0,1100000.0,-200000.0,1600000.0,300000.0
,netCashUsedProvidedByFinancingActivities,91389000.0,-94146000.0,-65787000.0,-104646000.0,-251244000.0,-61706000.0,-86134000.0,-158082000.0,-101959000.0,-67323000.0,-161550000.0,-79036000.0,-111994000.0,-245675000.0,-362743000.0,15828000.0,234310000.0,96100000.0,206004000.0,-101730000.0,-53646000.0,-185931000.0,-241600000.0,-53700000.0,-61800000.0,-39600000.0,31400000.0,59100000.0,87900000.0,26100000.0,108800000.0,-19300000.0,-35800000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,1257000.0,-512000.0,-608000.0,929000.0,-671000.0,-290000.0,-1108000.0,-677000.0,-97000.0,-1896000.0,734000.0,2151000.0,-2634000.0,205000.0,95000.0,-420000.0,481000.0,700000.0,1633000.0,41000.0,-43000.0,-344000.0,-100000.0,-100000.0,-500000.0,-800000.0,500000.0,-400000.0,700000.0,-2600000.0,-600000.0,100000.0,-4200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,95791000.0,-190126000.0,63428000.0,-49865000.0,-35454000.0,70664000.0,85251000.0,-204332000.0,106165000.0,120692000.0,-104946000.0,33327000.0,26556000.0,-172405000.0,291843000.0,8007000.0,19315000.0,-5300000.0,-13344000.0,-51537000.0,48145000.0,-31389000.0,13000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cashAtEndOfPeriod,203221000.0,107430000.0,297556000.0,234128000.0,283993000.0,319447000.0,248783000.0,163532000.0,367864000.0,261699000.0,141007000.0,245953000.0,212626000.0,186070000.0,358475000.0,66632000.0,58625000.0,39400000.0,44659000.0,58003000.0,109540000.0,61395000.0,92800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cashAtBeginningOfPeriod,107430000.0,297556000.0,234128000.0,283993000.0,319447000.0,248783000.0,163532000.0,367864000.0,261699000.0,141007000.0,245953000.0,212626000.0,186070000.0,358475000.0,66632000.0,58625000.0,39310000.0,44700000.0,58003000.0,109540000.0,61395000.0,92784000.0,79800000.0,109100000.0,214800000.0,158100000.0,166800000.0,119700000.0,82700000.0,59500000.0,18900000.0,68400000.0,59100000.0
,operatingCashFlow,220414000.0,10897000.0,164522000.0,83245000.0,250315000.0,183591000.0,226497000.0,-3503000.0,234466000.0,199786000.0,54218000.0,162234000.0,99066000.0,97067000.0,296411000.0,56361000.0,-87123000.0,-41700000.0,-44853000.0,170383000.0,161196000.0,177833000.0,332400000.0,133400000.0,-1500000.0,147500000.0,60500000.0,27100000.0,64700000.0,51800000.0,8100000.0,53800000.0,94000000.0
,capitalExpenditure,-66154000.0,-35227000.0,-38760000.0,-34037000.0,-35630000.0,-47153000.0,-58385000.0,-45849000.0,-30783000.0,-38174000.0,-39129000.0,-57577000.0,-35656000.0,-27704000.0,-25178000.0,-74217000.0,-105757000.0,-63243000.0,-115396000.0,-110790000.0,-61145000.0,-60837000.0,-69200000.0,-96700000.0,-58800000.0,-35300000.0,-101700000.0,-45600000.0,-122300000.0,-47100000.0,-44600000.0,-31800000.0,-37700000.0
,freeCashFlow,154260000.0,-24330000.0,125762000.0,49208000.0,214685000.0,136438000.0,168112000.0,-49352000.0,203683000.0,161612000.0,15089000.0,104657000.0,63410000.0,69363000.0,271233000.0,-17856000.0,-192880000.0,-104900000.0,-160249000.0,59593000.0,100051000.0,116996000.0,263200000.0,36700000.0,-60300000.0,112200000.0,-41200000.0,-18500000.0,-57600000.0,4700000.0,-36500000.0,22000000.0,56300000.0
