date,,2021-03-31_FY,2020-03-31_FY,2019-03-31_FY,2018-03-31_FY,2017-03-31_FY,2016-03-31_FY,2015-03-31_FY,2014-03-31_FY,2013-03-31_FY,2012-03-31_FY,2011-03-31_FY,2010-03-31_FY,2009-03-31_FY,2008-03-31_FY,2007-03-31_FY,2006-03-31_FY,2005-03-31_FY,2004-03-31_FY,2003-03-31_FY,2002-03-31_FY,2001-03-31_FY,2000-03-31_FY,1999-03-31_FY,1998-03-31_FY,1997-03-31_FY,1996-03-31_FY,1995-03-31_FY,1994-03-31_FY,1993-03-31_FY,1992-03-31_FY,1991-03-31_FY,1990-03-31_FY,1989-03-31_FY,1988-03-31_FY,1987-02-28_FY,1986-02-28_FY
,depreciationAndAmortization,624239000000.0,699877000000.0,721695000000.0,713093000000.0,674329000000.0,660714000000.0,625229000000.0,794720000000.0,590469000000.0,530758000000.0,563639000000.0,629674000000.0,637644000000.0,516900994560.0,371487468960.0,262241058600.0,225832403160.0,213198509750.0,220609921400.0,194447022770.0,173380125637.95,166631521800.4,175515063070.0,154490930040.0,140986285640.0,125885445786.0,124890925355.0,143321772372.0,173733776524.0,190842531122.0,191895252000.0,164247635445.0,131430390354.0,100790194375.0,110501134806.0,101063254120.0
,EBITDA,1284447000000.0,1333514000000.0,1448065000000.0,1546651000000.0,1515040000000.0,1164090000000.0,1295832000000.0,1545001000000.0,1135279000000.0,762122000000.0,1133414000000.0,993449000000.0,827287000000.0,1467245010600.0,1223446202880.0,1131002842050.0,857005017120.0,812760675800.0,909101633320.0,832148195190.0,672436588434.81,579224609153.2,717565789810.0,620266178025.0,541392288088.0,270524117331.0,232605568482.0,221697820704.0,282485355152.0,344321753916.0,339245407635.0,363609198123.0,309175482693.0,169253096868.0,280301171679.0,406703908520.0
,EBITDARatio,0.0975244027968829,0.0893117136289985,0.0911385175940738,0.100685912366174,0.10822332704726,0.0797259065398337,0.0972255683274862,0.130462942173035,0.114930663223846,0.0958873793028392,0.126824534817403,0.11579774463136,0.0826358090870053,0.122596394174693,0.110341309984273,0.114164528086684,0.0990273217272784,0.099665055866636,0.114198491382504,0.113315114111451,0.102207785839966,0.098111942437238,0.116571609877651,0.102613049394296,0.10254258149976,0.0631735590931259,0.0587545912254398,0.0573565753813729,0.068358110230093,0.0783281293922422,0.0785914148612074,0.0949446091433921,0.0882619978966323,0.107066347549731,0.0976369288621577,0.139731285988484
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,660208000000.0,633637000000.0,726370000000.0,833558000000.0,840711000000.0,503376000000.0,670603000000.0,750281000000.0,544810000000.0,231364000000.0,569775000000.0,363775000000.0,189643000000.0,950344016040.0,851958733920.0,868761783450.0,631172613960.0,599562166050.0,688491711920.0,637701172420.0,499056462796.86,412593087352.8,542050726740.0,465775247985.0,400406002448.0,144638671545.0,107714643127.0,78376048332.0,108751578628.0,153479222794.0,147350155635.0,199361562678.0,177745092339.0,68462902493.0,169800036873.0,305640654400.0
,operatingIncomeRatio,0.0694014412036458,0.0424376544143802,0.0457163766991174,0.0542640503514516,0.0600542173838505,0.0344750903541782,0.0503149774022537,0.063355212531595,0.0551541732305306,0.0291093652000888,0.0637555644500472,0.0424021007150572,0.0189430061667679,0.0794064718232412,0.0768372508182089,0.0876936602984507,0.0729322842450901,0.0735215156861241,0.0864861660664799,0.0868369138327331,0.0758546708327092,0.069887067290771,0.0880584425132138,0.0770550131885456,0.0758390284501858,0.0337764327785211,0.0272079893324255,0.0202770677220616,0.0263165939896223,0.0349142634332712,0.0341359291850263,0.0520567294347587,0.0507418532333603,0.0433083532781418,0.0591462176973944,0.105008977772274
,totalOtherIncomeExpensesNet,247917000000.0,125185000000.0,217604000000.0,253194000000.0,146357000000.0,121752000000.0,126791000000.0,-32664000000.0,-69504000000.0,2956000000.0,45670000000.0,0.0,-46601000000.0,28018746040.0,14963180640.0,167843693700.0,122888857560.0,117702257950.0,-12859080980.0,-36018553090.0,13524137844.57,14286785598.2,13695367250.0,35708060415.0,36181116148.0,16161403581.0,32831927800.0,14476843068.0,23234179276.0,30733048422.0,25510780560.0,-12029625765.0,25443269760.0,40365697538.0,24872722822.0,30888448210.0
,incomeBeforeTax,914053000000.0,789918000000.0,979375000000.0,1114973000000.0,1006986000000.0,635450000000.0,806237000000.0,728940000000.0,488891000000.0,257403000000.0,630548000000.0,336198000000.0,161734000000.0,893209704720.0,792930753600.0,814500954000.0,657122966080.0,641367839600.0,670795728920.0,592378934030.0,418004578629.93,419000300551.8,528188633280.0,465362668830.0,409157302180.0,129987379233.0,106237206376.0,57455932800.0,90364074416.0,132153436924.0,140182303575.0,156023459922.0,178553446222.0,98929452325.0,170106728893.0,305478463015.0
,incomeBeforeTaxRatio,0.0694014412036458,0.0529045290911016,0.0616400407914673,0.0725839725760044,0.0719316818103892,0.0435205416340123,0.0604915224594295,0.0615531362553242,0.0494931790988553,0.03238549614719,0.0705558223032747,0.039187688698236,0.0161552398948342,0.0746325857299963,0.0715135801419645,0.0822165193422678,0.0759308593023976,0.0786479507044054,0.0842632522710769,0.0806653032414529,0.0635350948885421,0.0709723528995479,0.0858064865617817,0.0769867586121863,0.0774965712075211,0.0303550214463466,0.0268347988153929,0.0148647177959871,0.021867035749324,0.0300629611381971,0.0324753860435925,0.0407404061722413,0.0509726183900915,0.0625809236081139,0.0592530473148376,0.104953253668503
,incomeTaxExpense,218609000000.0,279986000000.0,303089000000.0,-13666000000.0,327592000000.0,229092000000.0,245139000000.0,252662000000.0,178976000000.0,135735000000.0,206827000000.0,146869000000.0,109835000000.0,386279794160.0,283829150880.0,317208102750.0,266795355680.0,252502098100.0,244676458280.0,230598485650.0,181621525217.22,164981090264.8,226842917720.0,202789309185.0,188555231708.0,58690849320.0,44824221428.0,33745100532.0,52050074384.0,67219408546.0,63635851950.0,74835279759.0,80875143409.0,42387703899.0,86349138231.0,158929536035.0
,netIncome,657425000000.0,455746000000.0,610316000000.0,1059337000000.0,616569000000.0,344531000000.0,509435000000.0,574107000000.0,367149000000.0,211482000000.0,534088000000.0,268400000000.0,137005000000.0,598265040000.0,592400568960.0,596986826400.0,486408252960.0,463928297500.0,426119270640.0,361780448380.0,236383053412.71,254019210287.0,301345715560.0,262573359645.0,220602070472.0,71296529913.0,61412984948.0,23710832268.0,38314000032.0,64934028378.0,76546451625.0,81188180163.0,97678302813.0,56541748426.0,83757590662.0,146548926980.0
,netIncomeRatio,0.0499164080018411,0.0305234562513491,0.0384121538079746,0.068962107384436,0.0440431596091205,0.0235961534813249,0.03822263024907,0.0484787313031736,0.0371685533441311,0.0266078852857194,0.0597623305796092,0.031285063107474,0.0136851165604744,0.0499883360549205,0.0534279763675777,0.0602604315179165,0.0562046961154823,0.0568893661629721,0.0535277641933046,0.049264293341538,0.03592931871188,0.0430270360474948,0.0489548912328492,0.0434385334513477,0.0417832065363921,0.016649367864244,0.0155125040647213,0.0061343505047368,0.00927153422213329,0.0147715353993937,0.0177331624848001,0.0211996288114576,0.0278847536109072,0.0357672538941421,0.0291751685237215,0.0503498235403381
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,380.75,260.13,345.99,590.79,342.1,191.16,290.06,318.54,203.71,117.34,295.67,147.91,75.5,331.12394541764,323.919871,323.544614,261.004138,243.966443009641,218.590692,186.641297297404,119.920996,134.902792,154.817195,134.753676,113.259395,36.414031,31.535931,12.055486,19.52452,33.217735,38.802349,41.278128,49.362594,27.911131,42.170153,74.337718
,EPSDiluted,380.75,260.13,345.99,590.79,342.1,191.16,290.06,318.54,203.71,117.34,295.67,147.91,75.5,329.515716853252,323.919871,323.544614,261.004138,238.05497208392,218.590692,185.639968321234,119.920996,134.902792,154.817195,134.753676,113.259395,36.414031,31.535931,12.055486,19.52452,33.217735,38.802349,41.278128,49.362594,27.911131,42.170153,74.337718
,weightedAverageShsOut,1726638088.0,1752006211.0,1759561385.0,1793088970.0,1802282093.0,1802285138.0,1802289321.0,1802294383.0,1802298819.0,1802300720.0,1806360505.0,1814605803.0,1814560000.0,1806770692.0,1828849113.0,1845145307.0,1863603608.0,1901607007.0,1949393486.0,1938372984.0,1971156521.0,1882979631.0,1946461538.0,1948543210.0,1947759563.0,1957941176.0,1947397260.0,1966808511.0,1962352941.0,1954800000.0,1972727273.0,1966857143.0,1978791946.0,2025777778.0,1986181818.0,1971393939.0
,weightedAverageShsOutDil,1726638088.0,1752006211.0,1759561385.0,1793088970.0,1802282093.0,1802285138.0,1802289321.0,1802294383.0,1802298819.0,1802300720.0,1806360505.0,1814605803.0,1814560000.0,1815588785.0,1828849113.0,1845145307.0,1863603608.0,1948828430.0,1949393486.0,1948828432.0,1971156521.0,1882979631.0,1946461538.0,1948543210.0,1947759563.0,1957941176.0,1947397260.0,1966808511.0,1962352941.0,1954800000.0,1972727273.0,1966857143.0,1978791946.0,2025777778.0,1986181818.0,1971393939.0
