date,,2020-03-31_FY,2019-03-31_FY,2018-03-31_FY,2017-03-31_FY,2016-03-31_FY,2015-03-31_FY,2014-03-31_FY,2013-03-31_FY,2012-03-31_FY,2011-03-31_FY,2010-03-31_FY,2009-03-31_FY,2008-03-31_FY,2007-03-31_FY,2006-03-31_FY,2005-03-31_FY,2004-03-31_FY,2003-03-31_FY,2002-03-31_FY,2001-03-31_FY,2000-03-31_FY,1999-03-31_FY,1998-03-31_FY,1997-03-31_FY,1996-03-31_FY,1995-03-31_FY,1994-03-31_FY,1993-03-31_FY,1992-03-31_FY,1991-03-31_FY,1990-03-31_FY,1989-03-31_FY,1988-03-31_FY,1987-03-31_FY,1985-10-31_FY
,interestExpense,11090000000.0,12467000000.0,13566000000.0,14544000000.0,25286000000.0,23600000000.0,23460000000.0,26657000000.0,23432000000.0,23909000000.0,4707000000.0,572201000000.0,553237000000.0,567375000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,746451000000.0,722519000000.0,720718000000.0,624553000000.0,696678000000.0,627565000000.0,662368000000.0,538605000000.0,319594000000.0,325366000000.0,371004000000.0,405443000000.0,428010000000.0,400009000000.0,668432213550.0,649509433020.0,673686440100.0,663127469620.0,597828235420.0,598138639110.0,297163989600.0,307490767300.0,304156147957.05,266060802143.52,229676143005.0,213416170681.0,238195881408.0,274480301788.0,265449563932.0,214866242460.0,163760160414.0,126288729590.0,85693373876.0,70504394440.0,70348359040.0
,EBITDA,1578662000000.0,1548185000000.0,1451081000000.0,1058693000000.0,1035808000000.0,873850000000.0,744903000000.0,540434000000.0,314422000000.0,497675000000.0,402776000000.0,788902000000.0,1294957000000.0,1017676000000.0,859698694800.0,763712428920.0,772831566150.0,848345425020.0,732731672270.0,825514554420.0,530415115600.0,646421334200.0,828662038656.3,635736002867.84,467449052814.0,47779094930.0,337481785284.0,400930283908.0,431883703376.0,513362128935.0,457172954073.0,287416186367.0,141267536436.0,100718477310.0,204065233920.0
,EBITDARatio,0.191123968432975,0.178656925873275,0.169836617165158,0.139242166178937,0.127787417070826,0.106361095829053,0.0959028569383358,0.0794656433437521,0.0484231840882448,0.0693017797819412,0.0558325633026236,0.102057272238151,0.145969627840613,0.122675194784765,0.115016376921139,0.106438307030129,0.102842635368544,0.113666540212443,0.096521175832064,0.111863016507741,0.081829999048857,0.0950463149416029,0.12166031253105,0.112457523121906,0.100738354017555,0.0123554159396037,0.090740061297059,0.100410454952066,0.11020285000356,0.138608241138643,0.156164560157706,0.13004712851815,0.0977091377091377,0.0836395386910176,0.141763521753824
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,832211000000.0,825666000000.0,730363000000.0,434140000000.0,339130000000.0,246285000000.0,82535000000.0,1829000000.0,-5172000000.0,172309000000.0,31772000000.0,383459000000.0,866947000000.0,617667000000.0,191266481250.0,114202995900.0,99145126050.0,185217955400.0,134903436850.0,227375915310.0,233251126000.0,338930566900.0,524505890699.25,369675200724.32,237772909809.0,-165637075751.0,99285903876.0,126449982120.0,166434139444.0,298495886475.0,293412793659.0,161127456777.0,55574162560.0,30214082870.0,133716874880.0
,operatingIncomeRatio,0.100753339786208,0.0952799241421944,0.0854827409514674,0.0570992667609246,0.0418383974165379,0.0299767036519521,0.0106260040534211,0.000268936931569299,-0.00079652412396207,0.0239942138392455,0.00440421524929727,0.0496066425933374,0.0977236548762125,0.0744563294576283,0.0255889392794155,0.0159164275466284,0.0131934906563449,0.024816641375822,0.0177705411698794,0.0308110325028196,0.0359849085317523,0.0498345269572222,0.0770055192709439,0.0653931148236272,0.0512416303336788,-0.0428328533414362,0.0266953933411863,0.0316685986141752,0.0424686469094447,0.080594160494956,0.100226138615989,0.0729052992600943,0.0384384384384384,0.0250906489128194,0.0928927222769149
,totalOtherIncomeExpensesNet,-40949000000.0,176831000000.0,-37532000000.0,-179436000000.0,-21795000000.0,-195843000000.0,-49986000000.0,248522000000.0,-69683000000.0,44830000000.0,-68769000000.0,-8530000000.0,118335000000.0,23505000000.0,38370998700.0,54367060020.0,20537949350.0,30319117540.0,-56087931380.0,20682002280.0,9864364800.0,54424198550.0,-25118750586.75,-6403673837.84,-30384295533.0,18403159530.0,119682760020.0,112174112204.0,219024457496.0,74810928390.0,5440850346.0,62389017724.0,41990745595.0,63801511870.0,40144673920.0
,incomeBeforeTax,799450000000.0,1011648000000.0,699049000000.0,251619000000.0,304504000000.0,39729000000.0,25741000000.0,245681000000.0,-83186000000.0,205013000000.0,26912000000.0,-174955000000.0,466317000000.0,102037000000.0,286252358400.0,157525071340.0,144391166750.0,196071491640.0,74562392190.0,238851904380.0,209720505800.0,356436818950.0,440544169396.05,302494183480.4,132771981573.0,-221511832878.0,93540310596.0,86057194916.0,210640301182.0,270275996475.0,228389914524.0,168296628100.0,72941088360.0,74184408400.0,151060727680.0
,incomeBeforeTaxRatio,0.0967870618053399,0.116741811699407,0.0818177051402964,0.033093611284648,0.0375665950134917,0.00483563537928986,0.00331403611000319,0.0361250378812887,-0.0128112250146769,0.028548281063817,0.00373052501539368,-0.0226332675851065,0.0525639993804821,0.0122999941535941,0.0382968002015621,0.0219542085126734,0.0192144948044561,0.0262708649468892,0.00982194442985451,0.0323661095731228,0.0323547129133509,0.0524085520670998,0.0646786492348121,0.0535092341467735,0.0286132377481472,-0.0572817638082386,0.0251505529700935,0.0215524804192566,0.0537486395860951,0.0729747645606656,0.0780151367843196,0.0761491323795705,0.0504504504504504,0.0616048798826112,0.104941446140735
,incomeTaxExpense,177190000000.0,45098000000.0,151770000000.0,124058000000.0,94789000000.0,88733000000.0,94582000000.0,141505000000.0,315239000000.0,425339000000.0,13958000000.0,-72741000000.0,203478000000.0,53888000000.0,176435972550.0,16084929000.0,52856549850.0,80693682480.0,65258706890.0,116525427480.0,91656389600.0,177206143200.0,216642386309.4,163280809665.88,77958155511.0,63270580863.0,78304228416.0,49799012032.0,90405387576.0,152937693855.0,126208858026.0,95544778630.0,39658615559.0,36712520220.0,78026186560.0
,netIncome,582191000000.0,916271000000.0,490794000000.0,73289000000.0,147791000000.0,-125980000000.0,-128369000000.0,43034000000.0,-456660000000.0,-259585000000.0,-40802000000.0,-98938000000.0,369435000000.0,126328000000.0,123587572500.0,164173508660.0,88719771050.0,115377809160.0,15284625850.0,16898709180.0,118064116200.0,179230675750.0,223901783086.65,139213373814.52,54813826062.0,-284782413741.0,15236082180.0,36258182884.0,120234913606.0,117338302620.0,102181056498.0,72751849470.0,33282472801.0,37471888180.0,73034541120.0
,netIncomeRatio,0.0704841532297363,0.105735529104617,0.0574432389955878,0.009639167461283,0.0182329448665336,-0.015333719577209,-0.0165269220855833,0.00632773751402582,-0.0703288295530779,-0.0361474908418048,-0.00565594833821689,-0.0127992353938742,0.0416433051146074,0.0152281394144794,0.0165343915343915,0.0228807986609278,0.0118061625116189,0.015459028831563,0.0020134110685085,0.00228989370791893,0.0182143876224597,0.0263531142201755,0.0328722200799153,0.0246259314149296,0.0118127410498522,-0.0736431943553847,0.00409658562691553,0.00908063268164861,0.0306800882870482,0.0316814482947792,0.0349037702302746,0.0329180107688064,0.023020163020163,0.0311177405076339,0.0507368823192324
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,471.64,723.41,388.32,58.07,119.4,-113.04,-124.99,42.569931,455.03,-258.66,-40.66,-98.59,368.33,126.15,122.281311,176.348728,96.171606,125.096561,16.767235,18.445572,72.433055,219.667498,278.304071,154.56324,67.188224,-338.687255,21.545975,45.940048,147.486743,131.222489,138.380009,109.989135,66.986714,74.476473,143.827072
,EPSDiluted,461.23,707.74,379.75,56.89,117.49,-113.04,-124.99,42.569931,455.03,-258.66,-40.66,-98.59,351.1,120.29,116.595223,158.473224,91.070897,117.605144,16.717128,18.445572,65.971176,196.589613,241.226847,154.56324,67.188224,-338.687255,21.545975,45.940048,147.486743,131.222489,138.380009,109.989135,65.746219,70.095504,133.251552
,weightedAverageShsOut,1234408000.0,1266592000.0,1263895000.0,1262023000.0,1237802000.0,1114424000.0,1027024000.0,1010901336.0,1003578000.0,1003559000.0,1003520000.0,1003499000.0,1003001000.0,1001403000.0,1010682432.0,930959417.0,922515225.0,922310000.0,911577028.0,916139089.0,823440000.0,815918046.0,804522126.0,900688764.0,815824899.0,840841837.0,707142857.0,789250000.0,815225225.0,742772277.0,738409091.0,661445783.0,496851852.0,503137255.0,507794118.0
,weightedAverageShsOutDil,1262255000.0,1294646000.0,1292420000.0,1288343000.0,1257883000.0,1114424000.0,1027024000.0,1010901336.0,1003578000.0,1003559000.0,1003520000.0,1003499000.0,1052212000.0,1050171000.0,1059971149.0,1035970016.0,974183563.0,981060910.0,914309339.0,916139089.0,927670000.0,911699620.0,928179371.0,900688764.0,815824899.0,840841837.0,707142857.0,789250000.0,815225225.0,742772277.0,738409091.0,661445783.0,506226415.0,534583333.0,548095238.0
