date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY
,operatingExpenses,4457000000.0,241200000.0,248800000.0,245700000.0,252200000.0,266100000.0,268800000.0,234400000.0,248100000.0,3277152000.0,3154895000.0,4283471000.0,5906625000.0,9382182000.0,9346954000.0,8192218000.0,6392152000.0,2977057000.0,2568849000.0,3201464000.0,3444447000.0,3119341000.0,2817181000.0,3250137000.0,3039927000.0,3078228000.0,2856481000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,5176000000.0,4860500000.0,4969900000.0,4793200000.0,4587800000.0,4737500000.0,5035200000.0,4839200000.0,4836100000.0,5007081000.0,4559919000.0,6166729000.0,8965941000.0,12773503000.0,12692364000.0,11028149000.0,8422390000.0,3880398000.0,3322442000.0,4178162000.0,4523125000.0,4056407000.0,3659840000.0,4181698000.0,3869795000.0,3925170000.0,3627535000.0,2593500000.0,2012100000.0,2117100000.0,2032500000.0,2020900000.0,1761900000.0,1558500000.0,1466400000.0,1325700000.0
,interestExpense,-135000000.0,111200000.0,105800000.0,102800000.0,103400000.0,107600000.0,150000000.0,163900000.0,150800000.0,156106000.0,159192000.0,161923000.0,77907000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,134000000.0,320400000.0,147700000.0,147700000.0,159800000.0,163700000.0,163600000.0,172300000.0,183800000.0,195666000.0,198508000.0,255212000.0,264291000.0,255603000.0,274184000.0,250562000.0,171468000.0,87398000.0,79334000.0,126143000.0,126883000.0,110310000.0,103856000.0,119018000.0,130098000.0,135265000.0,133970000.0,132400000.0,118400000.0,124700000.0,128100000.0,123300000.0,108400000.0,99000000.0,86900000.0,75800000.0
,EBITDA,190000000.0,331100000.0,269800000.0,245500000.0,269500000.0,258600000.0,197200000.0,198500000.0,198200000.0,57429000.0,-26771000.0,-628739000.0,238751000.0,-2896584000.0,-2499490000.0,-2036030000.0,-1483437000.0,-724384000.0,-618960000.0,-775368000.0,-808102000.0,-719250000.0,-655407000.0,-713812000.0,-667147000.0,-733265000.0,-626073000.0,395400000.0,369000000.0,351700000.0,398000000.0,322200000.0,363000000.0,300500000.0,334200000.0,280400000.0
,EBITDARatio,0.0421005982716596,0.0679709311873871,0.0529850746268657,0.0501942343079125,0.0573709419904204,0.0535137819716911,0.0389046717171717,0.0407982899658815,0.040861766828162,0.0117952023108565,-0.00617606075706402,-0.119016737027375,0.0267047305819951,-0.301059023526511,-0.251997995703062,-0.23291388479192,-0.219200633617954,-0.236062120512961,-0.235870842650643,-0.23663429519958,-0.225214735211001,-0.222895600566125,-0.225957456050986,-0.213150234646454,-0.217131372963825,-0.239892496335846,-0.218334698056699,0.13842114475757,0.163079506783931,0.150036261251653,0.172863099374566,0.14514821155059,0.180014877262584,0.170738636363636,0.19501663068215,0.183232046004051
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,56000000.0,10700000.0,122100000.0,97800000.0,109700000.0,94900000.0,33600000.0,26200000.0,14400000.0,-138237000.0,-225279000.0,-883951000.0,-25540000.0,-3152187000.0,-2773674000.0,-2286592000.0,-1654905000.0,-811782000.0,-698294000.0,-901511000.0,-934985000.0,-829560000.0,-759263000.0,-832830000.0,-797245000.0,-868530000.0,-760043000.0,263000000.0,250600000.0,227000000.0,269900000.0,198900000.0,254600000.0,201500000.0,247300000.0,204600000.0
,operatingIncomeRatio,0.0124085973853313,0.00219658400394153,0.0239787902592302,0.0199959108566755,0.0233528472591804,0.019638274977237,0.00662878787878788,0.0053849632096025,0.00296876610658695,-0.028392160438905,-0.051971790044848,-0.167326925341175,-0.00285669513034147,-0.327625347717506,-0.279641162290585,-0.261577199576689,-0.244537667981532,-0.264543364174599,-0.266103131378261,-0.275131834302768,-0.260576510392571,-0.257080673487153,-0.261762745826089,-0.248690005100231,-0.259473401571984,-0.284145336055276,-0.26505496789529,0.09207071591108,0.11075264065055,0.0968388720617721,0.117225503822099,0.0896026669069286,0.126258368460203,0.114488636363636,0.144307638443135,0.133699274652029
,totalOtherIncomeExpensesNet,0.0,-7800000.0,15000000.0,-13100000.0,18300000.0,8300000.0,32600000.0,8200000.0,-15800000.0,-67961000.0,-19450000.0,154295000.0,-1044308000.0,-804260000.0,-26302000.0,-13029000.0,-35796000.0,-5845000.0,-8769000.0,-9968000.0,17997000.0,4131000.0,3285000.0,0.0,-46138000.0,-2138000.0,-1845000.0,-900000.0,-5300000.0,-2400000.0,-2100000.0,-6100000.0,-500000.0,-4600000.0,-4900000.0,-600000.0
,incomeBeforeTax,-73000000.0,-108300000.0,31300000.0,-18100000.0,24600000.0,-4400000.0,-83800000.0,-129500000.0,-151500000.0,-361869000.0,-403600000.0,-890705000.0,-1143462000.0,-651717000.0,455956000.0,472263000.0,297663000.0,66814000.0,37586000.0,28525000.0,121688000.0,89279000.0,69549000.0,89165000.0,-34301000.0,-45021000.0,-3375000.0,35400000.0,65400000.0,40400000.0,101900000.0,26500000.0,105000000.0,64400000.0,123300000.0,95500000.0
,incomeBeforeTaxRatio,-0.016175493020164,-0.022232714731483,0.00614689709347997,-0.00370067470864854,0.00523682810005322,-0.000910520652263885,-0.0165325126262626,-0.0266165166276154,-0.0312338934130502,-0.0743233917537715,-0.0931103851761623,-0.168605419345655,-0.127898290020772,-0.0677367836167111,0.045969377004423,0.0540250438222847,0.0439842866293756,0.021773333646178,0.014323125067641,0.00870553501120504,0.0339139498458812,0.0276675652734697,0.023977643068948,0.026625414916324,-0.0111636913963971,-0.0147289180276382,-0.0011769867187075,0.0123927883773849,0.0289035223405666,0.0172347596092317,0.0442581653926338,0.0119380124335526,0.0520704190428961,0.0365909090909091,0.0719495827741145,0.0624060641704241
,incomeTaxExpense,-19000000.0,-4300000.0,11100000.0,-7300000.0,3100000.0,-5100000.0,-16100000.0,-45900000.0,-15000000.0,-7452000.0,-102487000.0,-268686000.0,-169070000.0,-13336000.0,179324000.0,184133000.0,113336000.0,26131000.0,13613000.0,13224000.0,52386000.0,38364000.0,29472000.0,36730000.0,-7121000.0,-14899000.0,473000.0,16600000.0,24400000.0,13700000.0,36600000.0,7900000.0,36000000.0,23100000.0,56200000.0,40000000.0
,netIncome,-53000000.0,-104000000.0,20200000.0,-10800000.0,21500000.0,700000.0,-67700000.0,-83600000.0,-140400000.0,-351263000.0,-322234000.0,-622019000.0,-974392000.0,-638381000.0,276632000.0,288130000.0,184327000.0,40683000.0,-93902000.0,15301000.0,68018000.0,50915000.0,-28669000.0,52435000.0,-27180000.0,-30122000.0,-7906000.0,18800000.0,29500000.0,26700000.0,65300000.0,18600000.0,69000000.0,41300000.0,67100000.0,55500000.0
,netIncomeRatio,-0.0117438510968314,-0.021349975365413,0.00396700706991359,-0.0022081373952157,0.00457690260777009,0.000144855558314709,-0.0133562184343434,-0.0171825543634645,-0.0289454695392228,-0.0721450512688433,-0.0743392761567281,-0.117744679030616,-0.108987505146581,-0.0663506946450984,0.0278899733734999,0.0329609473461078,0.0272371493989274,0.0132577683229182,-0.0357838048768591,0.00466970696604551,0.0189563394962292,0.0157785603098009,-0.0098838955145821,0.0156575296488246,-0.00884607248051293,-0.00985461159966499,-0.00275711318462266,0.00658148083318747,0.0130375215450568,0.0113902990486754,0.0283617095205003,0.00837913325524822,0.0342177039424746,0.0234659090909091,0.0391550446402521,0.0362673985493041
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-1.08892176199869,-3.13,0.74,-0.33,0.66,0.0220569700025208,-3.0,-8.96,-19.2,-196.12,-2439.243924,-78307.830783,-126912.691269,-83783.378338,36153.615362,39753.975398,28727.872787,10051.005101,-25154.5673720868,4725.472547,20702.070207,15301.530153,-8053.08988764045,13951.39514,-7275.727573,-8025.80258,-2100.210021,5025.50255,7875.787579,7125.712571,17326.732673,4875.487549,18001.80018,10801.080108,17626.762676,14626.462646
,EPSDiluted,-1.08892176199869,-3.13,0.72,-0.33,0.65,0.0214776632302405,-3.0,-8.96,-19.2,-196.124102,-2439.243924,-78307.830783,-126912.691269,-83783.378338,35553.555356,38028.80288,28127.812781,9975.9976,-24828.6620835537,4650.465047,20552.055206,15151.515152,-7990.24526198439,13726.372637,-7275.727573,-8025.80258,-2100.210021,5025.50255,7875.787579,7125.712571,17326.732673,4875.487549,18001.80018,10801.080108,17626.762676,14626.462646
,weightedAverageShsOut,48672000.0,33252000.0,32983000.0,32685000.0,32416000.0,31736000.0,28592000.0,9332000.0,7311000.0,2087000.0,131990.0,7927.0,7676.0,7619.0,7647.0,7247.0,6419.0,4048.0,3733.0,3249.0,3286.0,3333.0,3560.0,3768.0,3747.0,3747.0,3747.0,3741.0,3746.0,3747.0,3769.0,3815.0,3833.0,3824.0,3807.0,3794.0
,weightedAverageShsOutDil,48672000.0,33252000.0,33859000.0,32685000.0,33040000.0,32592000.0,28592000.0,9332000.0,7311000.0,2087000.0,131990.0,7927.0,7676.0,7619.0,7777.0,7586.0,6555.0,4086.0,3782.0,3290.0,3304.0,3355.0,3588.0,3820.0,3747.0,3747.0,3747.0,3741.0,3746.0,3747.0,3769.0,3815.0,3833.0,3824.0,3807.0,3794.0
