date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2006-02-22_FY,2005-12-31_FY,2005-02-22_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY
,purchasesOfInvestments,-638000000.0,-552000000.0,-506000000.0,-1048000000.0,-391000000.0,-485000000.0,-825000000.0,-402000000.0,-402000000.0,-336000000.0,-217000000.0,-349000000.0,-339000000.0,-485000000.0,-681000000.0,0.0,-338000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,345000000.0,529000000.0,442000000.0,932000000.0,694000000.0,351000000.0,810000000.0,449000000.0,306000000.0,247000000.0,228000000.0,291000000.0,357000000.0,282000000.0,539000000.0,0.0,257000000.0,0.0,290000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,237000000.0,-383000000.0,-792000000.0,253000000.0,157000000.0,-660000000.0,-1306000000.0,-1661000000.0,-2716000000.0,-960000000.0,637000000.0,2153000000.0,-3168000000.0,-1344000000.0,-1038000000.0,0.0,-1653000000.0,0.0,3518000000.0,-1557000000.0,-1496000000.0,-1315000000.0,-1628000000.0,-1653000000.0,-3452000000.0,-1573000000.0,-1748000000.0,-1189000000.0,-906000000.0,-748000000.0,-481000000.0,-270000000.0,-444000000.0,-296000000.0
,netCashUsedForInvestingActivites,-1485000000.0,-1928000000.0,-3212000000.0,-994000000.0,-1760000000.0,-3517000000.0,-3627000000.0,-5046000000.0,-6190000000.0,-11427000000.0,-1595000000.0,1002000000.0,-6296000000.0,-4408000000.0,-3796000000.0,-3525000000.0,-3525000000.0,2077000000.0,2077000000.0,-2561000000.0,-2708000000.0,-2927000000.0,-2753000000.0,-3020000000.0,-4580000000.0,-2541000000.0,-2384000000.0,-1749000000.0,-1512000000.0,-1380000000.0,-923000000.0,-1044000000.0,-1456000000.0,-1348000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-8237000000.0,-8297000000.0,-7829000000.0,-8384000000.0,-6565000000.0,-8292000000.0,-9248000000.0,-10870000000.0,-11099000000.0,-10593000000.0,-12461000000.0,-12687000000.0,-14439000000.0,-10888000000.0,-10375000000.0,0.0,-11620000000.0,0.0,-3008000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,229000000.0,238000000.0,313000000.0,566000000.0,0.0,33000000.0,239000000.0,128000000.0,52000000.0,123000000.0,296000000.0,89000000.0,135000000.0,328000000.0,414000000.0,0.0,482000000.0,0.0,317000000.0,157000000.0,10000000.0,6000000.0,4000000.0,11000000.0,6000000.0,11000000.0,10000000.0,11000000.0,12000000.0,0.0,1000000.0,0.0,2000000.0,1000000.0
,commonStockRepurchased,-1130000000.0,-4047000000.0,-3798000000.0,0.0,-23000000.0,-2025000000.0,-4238000000.0,-2000000000.0,0.0,-8000000.0,0.0,0.0,-1800000000.0,-2405000000.0,-3208000000.0,0.0,-1684000000.0,0.0,-539000000.0,-405000000.0,0.0,-43000000.0,-412000000.0,-260000000.0,-567000000.0,-706000000.0,-303000000.0,-427000000.0,-240000000.0,0.0,0.0,0.0,-32000000.0,-9000000.0
,dividendsPaid,-2243000000.0,-2132000000.0,-1951000000.0,-1831000000.0,-1799000000.0,-1757000000.0,-1620000000.0,-1111000000.0,-1617000000.0,-1159000000.0,-1084000000.0,-1029000000.0,-953000000.0,-845000000.0,-726000000.0,-618000000.0,-618000000.0,-534000000.0,-534000000.0,-491000000.0,-481000000.0,-474000000.0,-462000000.0,-445000000.0,-400000000.0,-338000000.0,-289000000.0,-239000000.0,-91000000.0,-61000000.0,-60000000.0,-121000000.0,-122000000.0,-121000000.0
,otherFinancingActivites,-1000000.0,-3000000.0,-54000000.0,-9000000.0,20000000.0,17000000.0,179000000.0,83000000.0,-263000000.0,178000000.0,21000000.0,5000000.0,18000000.0,99000000.0,169000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14000000.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-3755000000.0,-4538000000.0,-3650000000.0,-3653000000.0,-3112000000.0,-3870000000.0,-2996000000.0,-4511000000.0,3549000000.0,3966000000.0,-4613000000.0,-5215000000.0,2965000000.0,-2969000000.0,-2593000000.0,1153000000.0,1153000000.0,1874000000.0,1874000000.0,513000000.0,225000000.0,1018000000.0,543000000.0,661000000.0,2864000000.0,272000000.0,433000000.0,-208000000.0,92000000.0,-61000000.0,430000000.0,397000000.0,623000000.0,571000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-13000000.0,-44000000.0,-126000000.0,38000000.0,-28000000.0,-169000000.0,-174000000.0,-43000000.0,-167000000.0,-84000000.0,-76000000.0,1000000.0,158000000.0,34000000.0,12000000.0,0.0,-78000000.0,0.0,143000000.0,15000000.0,26000000.0,-12000000.0,-63000000.0,-23000000.0,6000000.0,-22000000.0,18000000.0,-14000000.0,-1000000.0,0.0,5000000.0,0.0,-25000000.0,-56000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,1074000000.0,402000000.0,-430000000.0,1093000000.0,708000000.0,-881000000.0,1260000000.0,591000000.0,2433000000.0,-535000000.0,-1275000000.0,2131000000.0,1614000000.0,592000000.0,-578000000.0,663000000.0,663000000.0,103000000.0,103000000.0,33000000.0,-91000000.0,66000000.0,-214000000.0,188000000.0,0.0,0.0,-151000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cashAtEndOfPeriod,9366000000.0,8292000000.0,7890000000.0,8261000000.0,7168000000.0,6460000000.0,7341000000.0,6081000000.0,5490000000.0,3057000000.0,3592000000.0,4867000000.0,2736000000.0,1122000000.0,530000000.0,1108000000.0,1108000000.0,445000000.0,445000000.0,342000000.0,309000000.0,400000000.0,334000000.0,548000000.0,0.0,0.0,487000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cashAtBeginningOfPeriod,8292000000.0,7890000000.0,8320000000.0,7168000000.0,6460000000.0,7341000000.0,6081000000.0,5490000000.0,3057000000.0,3592000000.0,4867000000.0,2736000000.0,1122000000.0,530000000.0,1108000000.0,445000000.0,445000000.0,342000000.0,342000000.0,309000000.0,400000000.0,334000000.0,548000000.0,360000000.0,292000000.0,487000000.0,638000000.0,419000000.0,83000000.0,119000000.0,104000000.0,110000000.0,148000000.0,74000000.0
,operatingCashFlow,6327000000.0,6912000000.0,6558000000.0,5702000000.0,5608000000.0,6675000000.0,8057000000.0,10191000000.0,5241000000.0,7010000000.0,5009000000.0,6343000000.0,4787000000.0,7935000000.0,5799000000.0,3113000000.0,3113000000.0,-3991000000.0,-3991000000.0,2066000000.0,2366000000.0,1987000000.0,2059000000.0,2570000000.0,1778000000.0,2096000000.0,1782000000.0,2190000000.0,1757000000.0,1405000000.0,503000000.0,641000000.0,820000000.0,907000000.0
,capitalExpenditure,-2115000000.0,-2669000000.0,-2916000000.0,-2336000000.0,-2928000000.0,-3261000000.0,-3379000000.0,-4446000000.0,-5076000000.0,-3924000000.0,-2586000000.0,-2316000000.0,-4011000000.0,-3040000000.0,-2675000000.0,637000000.0,-2415000000.0,673000000.0,-2114000000.0,-1765000000.0,-1773000000.0,-1968000000.0,-1388000000.0,-1280000000.0,-1269000000.0,-1106000000.0,-771000000.0,-679000000.0,-694000000.0,-632000000.0,-640000000.0,-774000000.0,-1039000000.0,-1089000000.0
,freeCashFlow,4212000000.0,4243000000.0,3642000000.0,3366000000.0,2680000000.0,3414000000.0,4678000000.0,5745000000.0,165000000.0,3086000000.0,2423000000.0,4027000000.0,776000000.0,4895000000.0,3124000000.0,3750000000.0,698000000.0,-3318000000.0,-6105000000.0,301000000.0,593000000.0,19000000.0,671000000.0,1290000000.0,509000000.0,990000000.0,1011000000.0,1511000000.0,1063000000.0,773000000.0,-137000000.0,-133000000.0,-219000000.0,-182000000.0
