date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2008-01-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19100000.0,21800000.0,70300000.0,421600000.0,0.0,2471000000.0,4898800000.0,3724800000.0,1960400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32100000.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,13000000.0,-1000000.0,21000000.0,-29200000.0,411100000.0,-3200000.0,14000000.0,108800000.0,40000000.0,19600000.0,108100000.0,65300000.0,53400000.0,0.0,-16300000.0,88600000.0,11800000.0,-28600000.0,401100000.0,-28600000.0,6900000.0,-6600000.0,-13600000.0,1300000.0,1000000.0,-31100000.0,-47900000.0,-68500000.0,-81500000.0,-40100000.0,-49600000.0,-44400000.0,-36900000.0
,netCashUsedForInvestingActivites,-49000000.0,-137000000.0,-238200000.0,-198600000.0,286300000.0,-115900000.0,-63500000.0,-17400000.0,21500000.0,7700000.0,120300000.0,125600000.0,111000000.0,-14000000.0,122900000.0,-247500000.0,-281500000.0,-773600000.0,443000000.0,71700000.0,-49600000.0,-261100000.0,-783400000.0,246400000.0,-139900000.0,-212700000.0,-387300000.0,-350300000.0,-253700000.0,-206500000.0,-198900000.0,-371100000.0,-259900000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-350000000.0,-5000000.0,-24700000.0,-2600000.0,-742500000.0,-2300000.0,-2300000.0,-113200000.0,-253100000.0,-200000.0,-174100000.0,-321100000.0,0.0,-174000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,700000.0,0.0,100000.0,1300000.0,0.0,0.0,132300000.0,0.0,0.0,2700000.0,5600000.0,11700000.0,41200000.0,19200000.0,0.0,0.0,0.0,0.0,15000000.0,0.0,0.0,0.0,56000000.0,0.0,0.0,0.0,0.0,48600000.0
,commonStockRepurchased,-200000000.0,-638000000.0,-211800000.0,-400000.0,-100000.0,0.0,-100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23600000.0,-41100000.0,-150600000.0,0.0,0.0,0.0,0.0,-11300000.0,-47900000.0,-66500000.0,-2900000.0,0.0,-120200000.0,-54300000.0,-13800000.0,0.0,-3700000.0,-80400000.0,-48000000.0
,dividendsPaid,-65000000.0,-65000000.0,-74400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31000000.0,-31000000.0,-62500000.0,-63200000.0,-52000000.0,-32600000.0,0.0,0.0,-25100000.0,-58300000.0,-59200000.0,-60700000.0,-60700000.0,-60100000.0,-58200000.0,-53400000.0,-47300000.0,-42500000.0,-38900000.0,-38500000.0,-37300000.0
,otherFinancingActivites,-7000000.0,-9000000.0,-6100000.0,-6400000.0,-14400000.0,-2800000.0,-1600000.0,-13200000.0,-6300000.0,-25500000.0,-200000.0,-15800000.0,0.0,0.0,100000.0,3600000.0,-800000.0,-3600000.0,-100000000.0,-11900000.0,-17000000.0,5100000.0,2700000.0,-15300000.0,5400000.0,6000000.0,-5200000.0,-38800000.0,14500000.0,14100000.0,6700000.0,4000000.0,-137000000.0
,netCashUsedProvidedByFinancingActivities,-272000000.0,-717000000.0,-317000000.0,-9400000.0,-407000000.0,-4400000.0,-3900000.0,-126400000.0,92100000.0,-15700000.0,-174300000.0,115900000.0,-230500000.0,-230000000.0,-19500000.0,-278500000.0,-167600000.0,-215800000.0,-165400000.0,-84500000.0,-75600000.0,100700000.0,300300000.0,-274800000.0,55800000.0,142300000.0,-187800000.0,-191300000.0,-151300000.0,-116500000.0,-69600000.0,-22800000.0,3100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,2000000.0,-2000000.0,-4800000.0,3000000.0,3000000.0,-6900000.0,-3800000.0,-2800000.0,-4500000.0,-1100000.0,1400000.0,-5900000.0,7600000.0,0.0,400000.0,300000.0,-2000000.0,6700000.0,1600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,340000000.0,-697000000.0,-49500000.0,268700000.0,224600000.0,-98000000.0,-124100000.0,95900000.0,220900000.0,-49300000.0,-4800000.0,296400000.0,-254400000.0,-1000000.0,94100000.0,-341900000.0,62900000.0,-381200000.0,788600000.0,75700000.0,23500000.0,-77900000.0,-10500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cashAtEndOfPeriod,535000000.0,195000000.0,891800000.0,928000000.0,659300000.0,434700000.0,532700000.0,656800000.0,560900000.0,340000000.0,389300000.0,394100000.0,97700000.0,97000000.0,352100000.0,265700000.0,607600000.0,544700000.0,925900000.0,137300000.0,61600000.0,38100000.0,116000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cashAtBeginningOfPeriod,195000000.0,892000000.0,941300000.0,659300000.0,434700000.0,532700000.0,656800000.0,560900000.0,340000000.0,389300000.0,394100000.0,97700000.0,352100000.0,352000000.0,258000000.0,607600000.0,544700000.0,925900000.0,137300000.0,61600000.0,38100000.0,116000000.0,126500000.0,31900000.0,27800000.0,75400000.0,315900000.0,261600000.0,228100000.0,190800000.0,209100000.0,352800000.0,256400000.0
,operatingCashFlow,659000000.0,159000000.0,510500000.0,473700000.0,342300000.0,29200000.0,-52900000.0,242500000.0,111800000.0,-40200000.0,47800000.0,60800000.0,-142500000.0,-142000000.0,-9700000.0,183800000.0,514000000.0,601500000.0,509400000.0,88500000.0,148700000.0,82500000.0,472600000.0,123000000.0,88200000.0,22800000.0,334600000.0,595900000.0,438500000.0,360300000.0,250200000.0,250200000.0,353200000.0
,capitalExpenditure,-77000000.0,-163000000.0,-214200000.0,-148600000.0,-124800000.0,-113800000.0,-80100000.0,-75600000.0,-31200000.0,-21400000.0,-14500000.0,-9600000.0,-99400000.0,-99000000.0,-335500000.0,-236500000.0,-173700000.0,-147700000.0,-86600000.0,-45500000.0,-74700000.0,-220300000.0,-844000000.0,-122500000.0,-204500000.0,-244000000.0,-362900000.0,-286000000.0,-208400000.0,-161400000.0,-152300000.0,-330400000.0,-223100000.0
,freeCashFlow,582000000.0,-4000000.0,296300000.0,325100000.0,217500000.0,-84600000.0,-133000000.0,166900000.0,80600000.0,-61600000.0,33300000.0,51200000.0,-241900000.0,-241000000.0,-345200000.0,-52700000.0,340300000.0,453800000.0,422800000.0,43000000.0,74000000.0,-137800000.0,-371400000.0,500000.0,-116300000.0,-221200000.0,-28300000.0,309900000.0,230100000.0,198900000.0,97900000.0,-80200000.0,130100000.0
