date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY
,commonStockRepurchased,-1039000000.0,-939000000.0,-753000000.0,-1037000000.0,-559000000.0,0.0,-5925000000.0,0.0,0.0,0.0,0.0,5000000000.0,0.0,1900000000.0,0.0,0.0,0.0,0.0,500000000.0,2449000000.0,0.0,0.0
,dividendsPaid,-273000000.0,-242000000.0,-184000000.0,-108000000.0,-2571000000.0,-268000000.0,-810000000.0,-802000000.0,-819000000.0,-1253000000.0,-1592000000.0,-113000000.0,-179000000.0,-4755000000.0,-2500000000.0,-1500000000.0,-1000000000.0,-400000000.0,0.0,-1377000000.0,-75000000.0,-300000000.0
,otherFinancingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-927000000.0,234000000.0,869000000.0,1064000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-1530000000.0,10721000000.0,2033000000.0,3670000000.0,5460000000.0,-145000000.0,-3079000000.0,8037000000.0,10050000000.0,-7985000000.0,-10980000000.0,-28168000000.0,-17578000000.0,-10591000000.0,2068000000.0,22356000000.0,44639000000.0,24044000000.0,20308000000.0,14881000000.0,11274000000.0,18931000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,3000000.0,-5000000.0,3000000.0,1000000.0,-4000000.0,-1000000.0,45000000.0,-58000000.0,49000000.0,102000000.0,-602000000.0,629000000.0,92000000.0,152000000.0,-45000000.0,295000000.0,268000000.0,10000000.0,-22000000.0,-6000000.0,0.0,2000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-1246000000.0,357000000.0,-2612000000.0,-446000000.0,804000000.0,45000000.0,-1982000000.0,-5522000000.0,-50000000.0,827000000.0,-1379000000.0,-2526000000.0,2218000000.0,-336000000.0,-6923000000.0,4742000000.0,9873000000.0,-1998000000.0,8953000000.0,444000000.0,86000000.0,-141000000.0
,cashAtEndOfPeriod,4380000000.0,5626000000.0,5269000000.0,5934000000.0,6380000000.0,5576000000.0,5531000000.0,7513000000.0,13035000000.0,11670000000.0,14788000000.0,-2526000000.0,2218000000.0,-336000000.0,-6923000000.0,4742000000.0,9873000000.0,-1998000000.0,8953000000.0,444000000.0,86000000.0,-141000000.0
,cashAtBeginningOfPeriod,5626000000.0,5269000000.0,7881000000.0,6380000000.0,5576000000.0,5531000000.0,7513000000.0,13035000000.0,11670000000.0,14788000000.0,15151000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingCashFlow,4050000000.0,4150000000.0,4079000000.0,4567000000.0,5095000000.0,3403000000.0,2501000000.0,5049000000.0,5493000000.0,11607000000.0,-5132000000.0,14095000000.0,1460000000.0,-14694000000.0,-23100000000.0,9463000000.0,4720000000.0,7400000000.0,3673000000.0,10154000000.0,10206000000.0,3948000000.0
,capitalExpenditure,-4023000000.0,-3709000000.0,-4052000000.0,-3274000000.0,-4685000000.0,-9884000000.0,-9196000000.0,-7444000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,freeCashFlow,27000000.0,441000000.0,27000000.0,1293000000.0,410000000.0,-6481000000.0,-6695000000.0,-2395000000.0,5493000000.0,11607000000.0,-5132000000.0,14095000000.0,1460000000.0,-14694000000.0,-23100000000.0,9463000000.0,4720000000.0,7400000000.0,3673000000.0,10154000000.0,10206000000.0,3948000000.0
