date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2012-03-14_FY,2011-12-31_FY,2011-03-16_FY,2010-12-31_FY,2010-03-16_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY
,otherInvestingActivites,-200000.0,-116400000.0,184000.0,88000.0,-846000.0,496000.0,169000.0,-1023000.0,-869000.0,0.0,109000.0,0.0,179000.0,0.0,1084000.0,-499000.0,4072000.0,-286000.0,-4943000.0,-117000.0,3115000.0,-2677000.0,-455000.0,242000.0,-404000.0,0.0,100000.0,0.0,0.0,-1100000.0,-300000.0,-100000.0,-100000.0
,netCashUsedForInvestingActivites,-219000000.0,-149100000.0,-788733000.0,-50117000.0,-21984000.0,-461530000.0,-19560000.0,-68355000.0,-362966000.0,-41120000.0,-41120000.0,-16581000.0,-16581000.0,-13828000.0,-13828000.0,-17713000.0,-234024000.0,-4825000.0,-5740000.0,5920000.0,221000.0,-50764000.0,-10860000.0,-3155000.0,-7934000.0,-4700000.0,-3500000.0,1400000.0,-2300000.0,-3500000.0,-2900000.0,-700000.0,-400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-65500000.0,-736200000.0,-286000000.0,-105000000.0,-129000000.0,-516125000.0,-148688000.0,-459700000.0,-174361000.0,-1292000.0,-22231000.0,4223000.0,-81153000.0,-958000.0,-49221000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7054000.0,8384000.0,0.0,2701000.0,0.0,333000.0,0.0,555000.0,1653000.0,2598000.0,73883000.0,3109000.0,356000.0,290000.0,5024000.0,7382000.0,8820000.0,2042000.0,2500000.0,2500000.0,1200000.0,700000.0,500000.0,200000.0,1200000.0,0.0
,commonStockRepurchased,-27900000.0,-20000000.0,0.0,-60065000.0,-41096000.0,-1645000.0,-100049000.0,0.0,0.0,-2230000.0,-2230000.0,-2000000.0,-3955000.0,0.0,-325000.0,0.0,-2297000.0,0.0,0.0,0.0,-4552000.0,-3108000.0,-7509000.0,0.0,-7812000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-13200000.0,-20000000.0,-37573000.0,-18159000.0,-21646000.0,-26162000.0,-2713000.0,-9244000.0,-15145000.0,0.0,-1231000.0,0.0,161000.0,0.0,34000.0,327000.0,-3293000.0,1053000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,300000.0,-100000.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-29000000.0,-110500000.0,507799000.0,-138469000.0,-170984000.0,337659000.0,-81092000.0,-32390000.0,331878000.0,17509000.0,17509000.0,-16614000.0,-16614000.0,-48957000.0,-48957000.0,-8403000.0,132139000.0,74936000.0,3109000.0,356000.0,-4262000.0,-3813000.0,-127000.0,8820000.0,-5770000.0,2500000.0,2500000.0,700000.0,1000000.0,400000.0,200000.0,1200000.0,-100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,2400000.0,-200000.0,-1358000.0,1763000.0,-107000.0,-1467000.0,-1006000.0,92000.0,131000.0,0.0,-478000.0,0.0,-1231000.0,0.0,475000.0,-735000.0,508000.0,391000.0,-932000.0,513000.0,937000.0,471000.0,-2000.0,11000.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,179200000.0,53400000.0,5159000.0,9623000.0,3175000.0,-7845000.0,-5636000.0,9871000.0,9740000.0,-670000.0,-670000.0,-7565000.0,-7565000.0,-20297000.0,-20297000.0,8507000.0,-67719000.0,84996000.0,-300000.0,453000.0,3144000.0,-33704000.0,14492000.0,27082000.0,-3586000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cashAtEndOfPeriod,274400000.0,95200000.0,41826000.0,36667000.0,27044000.0,23869000.0,31714000.0,37350000.0,27479000.0,17739000.0,17739000.0,18409000.0,18409000.0,25974000.0,25974000.0,46271000.0,37764000.0,105483000.0,20487000.0,20787000.0,35134000.0,31990000.0,65694000.0,51202000.0,24120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cashAtBeginningOfPeriod,95200000.0,41800000.0,36667000.0,27044000.0,23869000.0,31714000.0,37350000.0,27479000.0,17739000.0,18409000.0,18409000.0,25974000.0,25974000.0,46271000.0,46271000.0,37764000.0,105483000.0,20487000.0,20787000.0,20334000.0,31990000.0,65694000.0,51202000.0,24120000.0,27706000.0,18300000.0,11100000.0,3300000.0,1500000.0,2000000.0,2700000.0,1100000.0,400000.0
,operatingCashFlow,424800000.0,313200000.0,287451000.0,196446000.0,196250000.0,117493000.0,96022000.0,110524000.0,40697000.0,23419000.0,23419000.0,26861000.0,26861000.0,0.0,42013000.0,35358000.0,33658000.0,14494000.0,3263000.0,-6336000.0,6248000.0,20402000.0,25481000.0,21406000.0,10110000.0,11600000.0,8300000.0,5700000.0,3200000.0,2600000.0,2000000.0,1100000.0,1100000.0
,capitalExpenditure,-32600000.0,-32700000.0,-28701000.0,-24265000.0,-27138000.0,-24689000.0,-19729000.0,-16531000.0,-14354000.0,-8411000.0,-8411000.0,-6302000.0,-6302000.0,-4673000.0,-4673000.0,-8201000.0,-5899000.0,-4111000.0,-3825000.0,0.0,-4894000.0,-4659000.0,-855000.0,-1111000.0,-1849000.0,-2000000.0,-1200000.0,-1200000.0,-600000.0,-900000.0,-300000.0,-600000.0,-300000.0
,freeCashFlow,392200000.0,280500000.0,258750000.0,172181000.0,169112000.0,92804000.0,76293000.0,93993000.0,26343000.0,15008000.0,15008000.0,20559000.0,20559000.0,-4673000.0,37340000.0,27157000.0,27759000.0,10383000.0,-562000.0,-6336000.0,1354000.0,15743000.0,24626000.0,20295000.0,8261000.0,9600000.0,7100000.0,4500000.0,2600000.0,1700000.0,1700000.0,500000.0,800000.0
