date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY
,salesMaturitiesOfInvestments,65717000000.0,33541000000.0,29339000000.0,23187000000.0,13304000000.0,15086000000.0,20834000000.0,22656000000.0,13264000000.0,16804000000.0,7309000000.0,2017000000.0,2034000000.0,935000000.0,1758000000.0,1840000000.0,1216000000.0,1051000000.0,1133000000.0,320472000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,-59000000.0,277000000.0,-383000000.0,-103000000.0,-27000000.0,-11000000.0,2000000.0,3000000.0,7000000.0,5000000.0,-3000000.0,-2641000000.0,2174000000.0,-892000000.0,-1664000000.0,-817000000.0,-1113000000.0,-483000000.0,-562000000.0,-493339000.0,-90700000.0,-1400000.0,-1200000.0,-4700000.0,-107900000.0,-42300000.0,6200000.0,3900000.0,-9700000.0,-1900000.0,500000.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,11964000000.0,-40555000000.0,-20473000000.0,-38775000000.0,-28623000000.0,-8395000000.0,-20050000000.0,-16260000000.0,-8667000000.0,-15410000000.0,-14057000000.0,-10901000000.0,367000000.0,-3240000000.0,-3368000000.0,-2558000000.0,-3688000000.0,-739000000.0,-807000000.0,-1422861000.0,-373700000.0,-186900000.0,-140600000.0,-164500000.0,-273500000.0,-73800000.0,-70900000.0,-49600000.0,-37100000.0,-21200000.0,-33000000.0,-6000000.0,-105000000.0,-12000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,-909000000.0,-257000000.0,-8511000000.0,-357000000.0,-6000000.0,-306000000.0,-732000000.0,-116000000.0,-205000000.0,-80000000.0,-20000000.0,-43000000.0,-68000000.0,-56000000.0,-315000000.0,-100000000.0,-214000000.0,-40000000.0,-58903000.0,-40100000.0,-40000000.0,-33600000.0,-27500000.0,-2800000.0,-35900000.0,-128000000.0,-22700000.0,-6700000.0,-8100000.0,-20800000.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,-2220000000.0,-1000000000.0,-485000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-1060000000.0,-787000000.0,-592000000.0,-486000000.0,-387000000.0,-373000000.0,-368000000.0,-337000000.0,-295000000.0,-288000000.0,-279000000.0,-253000000.0,-1500000000.0,-173000000.0,-116000000.0,-101000000.0,-68000000.0,-60000000.0,-61000000.0,-62366000.0,-45500000.0,-43100000.0,-37100000.0,-31500000.0,-24200000.0,-16000000.0,-10900000.0,-8400000.0,-4900000.0,-3300000.0,-2300000.0,0.0,0.0,0.0
,otherFinancingActivites,-41000000.0,-54000000.0,-45000000.0,44000000.0,32000000.0,29000000.0,5000000.0,-24000000.0,2000000.0,-5000000.0,-1000000.0,50000000.0,664000000.0,887000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7900000.0,49800000.0,47400000.0,3600000.0,2000000.0,-14100000.0,300000.0,200000.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-13939000000.0,47166000000.0,22599000000.0,34963000000.0,27992000000.0,9682000000.0,13459000000.0,18978000000.0,9951000000.0,12109000000.0,15419000000.0,9577000000.0,144000000.0,4082000000.0,2245000000.0,1865000000.0,3399000000.0,-726000000.0,924000000.0,476968000.0,113500000.0,-172500000.0,36600000.0,-15300000.0,75500000.0,-31300000.0,14700000.0,-17300000.0,-10100000.0,-43200000.0,-27900000.0,-84000000.0,193000000.0,5000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,7350000000.0,19067000000.0,3389000000.0,-1150000000.0,615000000.0,3635000000.0,-4935000000.0,3984000000.0,3748000000.0,-3310000000.0,2799000000.0,-1322000000.0,2257000000.0,2602000000.0,-448000000.0,-7000000.0,-282000000.0,-1293000000.0,-469000000.0,689804000.0,923200000.0,358500000.0,-100000.0,-100000.0,100000.0,0.0,-100000.0,0.0,100000.0,100000.0,0.0,-56000000.0,141000000.0,36000000.0
,cashAtEndOfPeriod,45577000000.0,38227000000.0,14217000000.0,10828000000.0,11978000000.0,11363000000.0,7728000000.0,12663000000.0,8679000000.0,4931000000.0,8241000000.0,5442000000.0,6764000000.0,4507000000.0,2330000000.0,2778000000.0,2832000000.0,3114000000.0,4407000000.0,3302255000.0,2079100000.0,1155900000.0,797400000.0,633300000.0,429300000.0,0.0,0.0,0.0,0.0,0.0,0.0,81000000.0,653000000.0,36000000.0
,cashAtBeginningOfPeriod,38227000000.0,19160000000.0,10828000000.0,11978000000.0,11363000000.0,7728000000.0,12663000000.0,8679000000.0,4931000000.0,8241000000.0,5442000000.0,6764000000.0,4507000000.0,1905000000.0,2778000000.0,2785000000.0,3114000000.0,4407000000.0,4876000000.0,2612451000.0,1155900000.0,797400000.0,633300000.0,455000000.0,380600000.0,279800000.0,204300000.0,150500000.0,90400000.0,103400000.0,81300000.0,137000000.0,512000000.0,0.0
,operatingCashFlow,9325000000.0,12456000000.0,1263000000.0,2662000000.0,1246000000.0,2348000000.0,1656000000.0,1266000000.0,2464000000.0,-9000000.0,1437000000.0,2000000.0,1746000000.0,1760000000.0,675000000.0,686000000.0,7000000.0,169000000.0,-584000000.0,1639386000.0,1181000000.0,718100000.0,268100000.0,357700000.0,247300000.0,205900000.0,131800000.0,120700000.0,107200000.0,51300000.0,83100000.0,34000000.0,53000000.0,42000000.0
,capitalExpenditure,-708000000.0,-570000000.0,-400000000.0,-346000000.0,-266000000.0,-400000000.0,-249000000.0,-148000000.0,-180000000.0,-129000000.0,-140000000.0,-188000000.0,-168000000.0,-59000000.0,-120000000.0,-194000000.0,-153000000.0,-160000000.0,-301000000.0,-704558000.0,-283000000.0,-185500000.0,-139400000.0,-159800000.0,-165600000.0,-31500000.0,-77100000.0,-53500000.0,-27400000.0,-19300000.0,-33500000.0,-7000000.0,-13000000.0,-12000000.0
,freeCashFlow,8617000000.0,11886000000.0,863000000.0,2316000000.0,980000000.0,1948000000.0,1407000000.0,1118000000.0,2284000000.0,-138000000.0,1297000000.0,-186000000.0,1578000000.0,1701000000.0,555000000.0,492000000.0,-146000000.0,9000000.0,-885000000.0,934828000.0,898000000.0,532600000.0,128700000.0,197900000.0,81700000.0,174400000.0,54700000.0,67200000.0,79800000.0,32000000.0,49600000.0,27000000.0,40000000.0,30000000.0
