date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322484000.0,0.0,0.0,0.0,6066000.0,13074000.0,7452000.0,0.0,34883000.0,15209000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,-17615000.0,16030000.0,424816000.0,15979000.0,-6546000.0,-332788000.0,-123026000.0,-7913000.0,12513000.0,5837000.0,-167359000.0,161734000.0,21029000.0,-95338000.0,-6817000.0,22846000.0,-264996000.0,-175569000.0,-188864000.0,-307971000.0,120845000.0,604115000.0,-68252000.0,-64100000.0,-8300000.0,-4700000.0,-6100000.0,3300000.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-1117714000.0,-897360000.0,-513778000.0,-739854000.0,-716726000.0,-440105000.0,-212996000.0,-1412393000.0,-290465000.0,-81355000.0,-266605000.0,-91409000.0,340018000.0,-247475000.0,-487496000.0,-443656000.0,-188417000.0,-228176000.0,-323464000.0,-306058000.0,-447503000.0,-448529000.0,-345774000.0,-408313000.0,-479626000.0,-248672000.0,-169590000.0,-139000000.0,-20000000.0,-6000000.0,-8200000.0,1600000.0,100000.0,-3200000.0,-70800000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,-1920000.0,-1784000.0,-1701000.0,-36459000.0,-17237000.0,-794506000.0,-334795000.0,-61013000.0,-174355000.0,-77092000.0,-109622000.0,-62877000.0,-563023000.0,-711557000.0,-93599000.0,-41204000.0,-39837000.0,-27685000.0,-37451000.0,-11335000.0,-14088000.0,-15131000.0,-18885000.0,-51310000.0,-39212000.0,-8233000.0,-25600000.0,-31600000.0,-2700000.0,-9900000.0,-16600000.0,0.0,0.0,0.0
,commonStockIssued,12664000.0,33564000.0,12525000.0,42500000.0,25541000.0,29663000.0,37872000.0,21111000.0,124447000.0,26416000.0,41308000.0,2192000.0,10890000.0,8457000.0,85369000.0,7511000.0,49929000.0,68618000.0,23333000.0,15857000.0,4608000.0,10000000.0,237860000.0,182523000.0,130538000.0,80526000.0,110280000.0,2600000.0,43800000.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,-1062162000.0,-12347000.0,-936592000.0,-877857000.0,-270000000.0,0.0,0.0,-1978771000.0,-1147256000.0,-478316000.0,-17535000.0,-186489000.0,0.0,-826250000.0,-117399000.0,-336626000.0,-93536000.0,-196042000.0,-718186000.0,-77799000.0,-108565000.0,-72256000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,-1608749000.0,-1612680000.0,-1630347000.0,-1505758000.0,-1371031000.0,-1200545000.0,-1091461000.0,-959154000.0,0.0,0.0,-651642000.0,-755288000.0,-598183000.0,-552916000.0,-454807000.0,-432683000.0,-393561000.0,-391726000.0,-342030000.0,-343388000.0,-208090000.0,-179101000.0,-174574000.0,-136308000.0,-69072000.0,-38095000.0,-25600000.0,-14200000.0,-12100000.0,-7600000.0,-15300000.0,-15300000.0,-14600000.0,-15600000.0
,otherFinancingActivites,0.0,-37524000.0,-5302000.0,-19333000.0,-4116000.0,-11255000.0,-7190000.0,-12702000.0,-27270000.0,-978978000.0,-879712000.0,-161794000.0,0.0,-614681000.0,99500000.0,-69437000.0,-13254000.0,-50375000.0,-51616000.0,-39859000.0,407309000.0,37063000.0,15497000.0,-11240000.0,-21889000.0,-61908000.0,-21822000.0,-13700000.0,-54400000.0,-5500000.0,-1500000.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-1075716000.0,-1120735000.0,-1619588000.0,-992219000.0,-1148826000.0,-1375605000.0,-1225415000.0,-16160000.0,-1117305000.0,-1438546000.0,-1132709000.0,-938401000.0,-966360000.0,-1061457000.0,-244395000.0,-121146000.0,-297604000.0,-264545000.0,-211720000.0,-272596000.0,-20605000.0,-6748000.0,-13131000.0,129749000.0,180809000.0,185491000.0,100029000.0,81700000.0,-12600000.0,-17200000.0,-11100000.0,-21100000.0,-2100000.0,-12000000.0,28300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,-13000.0,-171000.0,-126000.0,-381000.0,-318000.0,196000.0,144000.0,342000.0,-795000.0,-1444000.0,41000.0,2344000.0,5488000.0,2274000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-150954000.0,49535000.0,-72034000.0,243480000.0,79403000.0,-83427000.0,168543000.0,1930000.0,-121769000.0,-317244000.0,-307537000.0,83088000.0,435257000.0,-290240000.0,62083000.0,127246000.0,161422000.0,101709000.0,53777000.0,-40120000.0,34342000.0,3900000.0,9770000.0,14599000.0,-53580000.0,60285000.0,9619000.0,0.0,0.0,0.0,0.0,0.0,11100000.0,-400000.0,-30000000.0
,cashAtEndOfPeriod,0.0,433554000.0,384019000.0,456053000.0,183688000.0,104285000.0,187712000.0,19169000.0,17239000.0,139008000.0,456252000.0,763789000.0,680701000.0,245444000.0,555584000.0,493501000.0,366255000.0,204833000.0,103124000.0,49347000.0,89467000.0,55125000.0,51225000.0,41455000.0,26856000.0,80436000.0,20151000.0,0.0,0.0,0.0,0.0,0.0,12100000.0,600000.0,1000000.0
,cashAtBeginningOfPeriod,0.0,384019000.0,456053000.0,212573000.0,104285000.0,187712000.0,19169000.0,17239000.0,139008000.0,456252000.0,763789000.0,680701000.0,245444000.0,535684000.0,493501000.0,366255000.0,204833000.0,103124000.0,49347000.0,89467000.0,55125000.0,51225000.0,41455000.0,26856000.0,80436000.0,20151000.0,10532000.0,8400000.0,1500000.0,1200000.0,4500000.0,11700000.0,1000000.0,1000000.0,31000000.0
,operatingCashFlow,2042902000.0,2067643000.0,2061503000.0,1975679000.0,1945336000.0,1732601000.0,1606758000.0,1430339000.0,1285659000.0,1203452000.0,1093221000.0,1112857000.0,1059255000.0,1013204000.0,791700000.0,692048000.0,647443000.0,594430000.0,588961000.0,538534000.0,502450000.0,459177000.0,368675000.0,293163000.0,245237000.0,123466000.0,79180000.0,59500000.0,32500000.0,23000000.0,15500000.0,12000000.0,13100000.0,14700000.0,12600000.0
,capitalExpenditure,0.0,-283920000.0,54184000.0,6103000.0,998000.0,15013000.0,2581000.0,257000.0,20021000.0,-69777000.0,-77500000.0,-76517000.0,-182530000.0,-266423000.0,-198974000.0,-366687000.0,-175662000.0,-132603000.0,-158220000.0,-223271000.0,-95961000.0,-164710000.0,-156910000.0,-100342000.0,-218770000.0,-119687000.0,-101338000.0,-73300000.0,-11700000.0,-1300000.0,-2100000.0,-1700000.0,0.0,0.0,0.0
,freeCashFlow,2042902000.0,1442573000.0,1401614000.0,1229722000.0,1177807000.0,1261453000.0,966365000.0,106750000.0,981719000.0,1133675000.0,1015721000.0,1036340000.0,876725000.0,746781000.0,592726000.0,325361000.0,471781000.0,461827000.0,430741000.0,315263000.0,406489000.0,294467000.0,211765000.0,192821000.0,26467000.0,3779000.0,-22158000.0,-13800000.0,20800000.0,21700000.0,13400000.0,10300000.0,13100000.0,14700000.0,12600000.0
