date,,2021-06-30_FY,2020-06-30_FY,2019-06-30_FY,2018-06-30_FY,2017-06-30_FY,2016-06-30_FY,2015-06-30_FY,2014-06-30_FY,2013-06-30_FY,2012-06-30_FY,2011-06-30_FY,2010-06-30_FY,2009-06-30_FY,2008-06-30_FY,2007-06-30_FY,2006-06-30_FY,2005-06-30_FY,2004-06-30_FY,2003-06-30_FY,2002-06-30_FY,2001-06-30_FY,2000-06-30_FY,1999-06-30_FY,1998-06-30_FY,1997-06-30_FY,1996-06-30_FY,1995-06-30_FY,1994-06-30_FY,1993-06-30_FY,1992-06-30_FY,1991-06-30_FY
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6793000.0,-13708000.0,-13855000.0,-11509000.0,-9146000.0,-6912000.0,-6964000.0,-7169000.0,-7256000.0,-7149000.0,-6166000.0,-5202000.0,-5078000.0,-4935000.0,-5191000.0,-3600000.0,-2100000.0,-1700000.0,-1200000.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,9090000.0,210680000.0,26344000.0,86793000.0,-6849000.0,-760000.0,0.0,118058000.0,5200000.0,471500000.0,67000.0,501690000.0,6472415000.0,37024000.0,66144000.0,41697000.0,255503000.0,-5481000.0,-16416000.0,39225000.0,27053000.0,71028000.0,40400000.0,-1000000.0,3000000.0,11400000.0,-15100000.0,-1900000.0,3700000.0,-3300000.0,-48100000.0
,netCashUsedProvidedByFinancingActivities,7777000.0,56165000.0,-126695000.0,-62235000.0,-6849000.0,-101797000.0,-221639000.0,104206000.0,-146799000.0,-43548000.0,-148431000.0,-39133000.0,-148307000.0,-11004000.0,-6425000.0,28571000.0,242494000.0,-16848000.0,-36261000.0,34154000.0,24105000.0,65906000.0,40500000.0,8600000.0,16300000.0,21100000.0,-15000000.0,6500000.0,3700000.0,2500000.0,-10300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,477000.0,-284000.0,35000.0,-514000.0,935000.0,-781000.0,-3088000.0,914000.0,1056000.0,-3613000.0,7975000.0,823000.0,-9335000.0,-2508000.0,7002000.0,3088000.0,-256000.0,2675000.0,2282000.0,1536000.0,63000.0,123000.0,-100000.0,-100000.0,0.0,0.0,-100000.0,100000.0,-100000.0,0.0,-100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-93728000.0,30501000.0,-56396000.0,-61997000.0,25050000.0,-64933000.0,-166348000.0,178139000.0,88545000.0,15680000.0,-55608000.0,109333000.0,-85089000.0,-57158000.0,49388000.0,32679000.0,29151000.0,18113000.0,-27423000.0,62445000.0,9770000.0,4535000.0,-300000.0,0.0,0.0,0.0,-2200000.0,0.0,0.0,0.0,0.0
,cashAtEndOfPeriod,29152000.0,122880000.0,92379000.0,110399000.0,172396000.0,147346000.0,212279000.0,378627000.0,200488000.0,111943000.0,96263000.0,151871000.0,42538000.0,127627000.0,184785000.0,135397000.0,102718000.0,73567000.0,59680000.0,87103000.0,24658000.0,14888000.0,7400000.0,0.0,0.0,0.0,1300000.0,0.0,0.0,0.0,0.0
,cashAtBeginningOfPeriod,122880000.0,92379000.0,148775000.0,172396000.0,147346000.0,212279000.0,378627000.0,200488000.0,111943000.0,96263000.0,151871000.0,42538000.0,127627000.0,184785000.0,135397000.0,102718000.0,73567000.0,55454000.0,87103000.0,24658000.0,14888000.0,10353000.0,7700000.0,8900000.0,7600000.0,1200000.0,3500000.0,2300000.0,3800000.0,5200000.0,2400000.0
,operatingCashFlow,-99883000.0,-86409000.0,-17524000.0,2328000.0,60055000.0,55032000.0,93962000.0,117403000.0,69148000.0,153700000.0,229178000.0,192223000.0,188064000.0,222383000.0,241860000.0,281685000.0,215731000.0,205664000.0,149623000.0,152039000.0,110309000.0,85384000.0,72200000.0,67700000.0,34900000.0,36900000.0,30700000.0,23100000.0,18900000.0,6600000.0,12100000.0
,capitalExpenditure,-11475000.0,-37494000.0,-31616000.0,-30742000.0,-33843000.0,-31117000.0,-38257000.0,-49439000.0,-105857000.0,-88356000.0,-89459000.0,-61485000.0,-73574000.0,-85799000.0,-90079000.0,-119914000.0,-101097000.0,-74076000.0,-77460000.0,-66232000.0,-125389000.0,-147730000.0,-117300000.0,-80400000.0,-39400000.0,-26100000.0,-15300000.0,-15800000.0,-19300000.0,-13200000.0,-13800000.0
,freeCashFlow,-111358000.0,-123903000.0,-49140000.0,-28414000.0,26212000.0,23915000.0,55705000.0,67964000.0,-36709000.0,65344000.0,139719000.0,130738000.0,114490000.0,136584000.0,151781000.0,161771000.0,114634000.0,131588000.0,72163000.0,85807000.0,-15080000.0,-62346000.0,-45100000.0,-12700000.0,-4500000.0,10800000.0,15400000.0,7300000.0,-400000.0,-6600000.0,-1700000.0
