date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1986-12-31_FY,1985-12-31_FY
,purchasesOfInvestments,0.0,0.0,0.0,0.0,-48000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,24000000.0,14000000.0,0.0,0.0,37000000.0,84000000.0,765000000.0,14000000.0,107000000.0,123000000.0,18000000.0,24000000.0,60000000.0,0.0,0.0,124000000.0,26000000.0,0.0,0.0,0.0,-60000000.0,0.0,0.0,-23000000.0,-15000000.0,0.0,0.0,-209000000.0,-228000000.0,-230000000.0,-125000000.0,-164000000.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-1179000000.0,-1100000000.0,-938000000.0,-1310000000.0,-730000000.0,-861000000.0,-1542000000.0,-5362000000.0,-1569000000.0,-1427000000.0,-1264000000.0,-1146000000.0,-993000000.0,-305000000.0,-342000000.0,-367000000.0,-552000000.0,-886000000.0,-1306000000.0,-1592000000.0,-1053000000.0,-735000000.0,-924000000.0,-1141000000.0,-707000000.0,-352000000.0,-405000000.0,-655000000.0,-726000000.0,-725000000.0,-214000000.0,-240000000.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1407000000.0,0.0,-5000000.0,-1000000.0,-1397000000.0,-3776000000.0,-1029000000.0,-540000000.0,-22000000.0,-23000000.0,-567000000.0,-399000000.0,-950000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1521000000.0,176000000.0,181000000.0,749000000.0,594000000.0,692000000.0,233000000.0,346000000.0,118000000.0,110000000.0,193000000.0,103000000.0,177000000.0,52000000.0,85000000.0,81000000.0,67000000.0,65000000.0,0.0,0.0,0.0
,commonStockRepurchased,-500000000.0,-1270000000.0,-2452000000.0,-564000000.0,-292000000.0,0.0,-550000000.0,-913000000.0,-1480000000.0,-1583000000.0,-1453000000.0,-1216000000.0,-1986000000.0,-1855000000.0,-737000000.0,0.0,-18000000.0,-714000000.0,-1169000000.0,-288000000.0,-375000000.0,-184000000.0,0.0,0.0,-267000000.0,-500000000.0,-47000000.0,-124000000.0,-460000000.0,-109000000.0,-132000000.0,-7000000.0,0.0,0.0,0.0
,dividendsPaid,-473000000.0,-423000000.0,-376000000.0,-315000000.0,-268000000.0,-910000000.0,-1095000000.0,-1023000000.0,-804000000.0,-709000000.0,-688000000.0,-632000000.0,-546000000.0,-704000000.0,-364000000.0,-359000000.0,-361000000.0,-346000000.0,-349000000.0,-341000000.0,-84000000.0,-338000000.0,-331000000.0,-316000000.0,-320000000.0,-306000000.0,-286000000.0,-278000000.0,-245000000.0,-231000000.0,-216000000.0,-201000000.0,0.0,0.0,0.0
,otherFinancingActivites,-52000000.0,-48000000.0,-28000000.0,-39000000.0,-33000000.0,-2164000000.0,-13000000.0,-23000000.0,-108000000.0,422000000.0,334000000.0,1235000000.0,680000000.0,639000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,3000000.0,0.0,1000000.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-345000000.0,498000000.0,-2603000000.0,61000000.0,-324000000.0,-357000000.0,-1402000000.0,1645000000.0,-1115000000.0,-1137000000.0,-1716000000.0,-1012000000.0,-1931000000.0,-1971000000.0,-123000000.0,-1447000000.0,-576000000.0,-751000000.0,670000000.0,469000000.0,-120000000.0,-445000000.0,173000000.0,265000000.0,216000000.0,-996000000.0,-930000000.0,340000000.0,-316000000.0,242000000.0,-602000000.0,-518000000.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,57000000.0,-5000000.0,-117000000.0,5000000.0,-27000000.0,-195000000.0,-79000000.0,-18000000.0,-57000000.0,-33000000.0,-124000000.0,-96000000.0,1000000.0,25000000.0,-74000000.0,-4000000.0,-68000000.0,-30000000.0,30000000.0,-23000000.0,-68000000.0,-6000000.0,4000000.0,-36000000.0,-17000000.0,20000000.0,11000000.0,-3000000.0,12000000.0,2000000.0,-7000000.0,6000000.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,401000000.0,1497000000.0,-1562000000.0,593000000.0,588000000.0,-712000000.0,192000000.0,-537000000.0,365000000.0,220000000.0,-101000000.0,655000000.0,-408000000.0,54000000.0,1644000000.0,-268000000.0,184000000.0,-242000000.0,587000000.0,3000000.0,-27000000.0,-103000000.0,244000000.0,-296000000.0,285000000.0,8000000.0,-8000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cashAtEndOfPeriod,3736000000.0,3335000000.0,1832000000.0,3394000000.0,2801000000.0,2213000000.0,2925000000.0,2733000000.0,3270000000.0,2905000000.0,2685000000.0,2786000000.0,2131000000.0,2539000000.0,2485000000.0,841000000.0,1109000000.0,927000000.0,1169000000.0,582000000.0,579000000.0,606000000.0,709000000.0,465000000.0,761000000.0,476000000.0,471000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cashAtBeginningOfPeriod,3335000000.0,1838000000.0,3394000000.0,2801000000.0,2213000000.0,2925000000.0,2733000000.0,3270000000.0,2905000000.0,2685000000.0,2786000000.0,2131000000.0,2539000000.0,2485000000.0,841000000.0,1109000000.0,925000000.0,1169000000.0,582000000.0,579000000.0,606000000.0,709000000.0,465000000.0,761000000.0,476000000.0,468000000.0,479000000.0,32000000.0,299000000.0,40000000.0,67000000.0,201000000.0,0.0,0.0,0.0
,operatingCashFlow,1868000000.0,2104000000.0,2096000000.0,1837000000.0,1654000000.0,1647000000.0,3215000000.0,3198000000.0,3106000000.0,2817000000.0,3003000000.0,2909000000.0,2515000000.0,2305000000.0,2183000000.0,1550000000.0,1380000000.0,1425000000.0,1193000000.0,1149000000.0,1214000000.0,1083000000.0,991000000.0,616000000.0,793000000.0,1336000000.0,1316000000.0,765000000.0,763000000.0,769000000.0,796000000.0,618000000.0,0.0,0.0,0.0
,capitalExpenditure,-709000000.0,-696000000.0,-681000000.0,-634000000.0,-719000000.0,-911000000.0,-1898000000.0,-1525000000.0,-1161000000.0,-960000000.0,-963000000.0,-1014000000.0,-954000000.0,-692000000.0,-526000000.0,-444000000.0,-558000000.0,-789000000.0,-848000000.0,-787000000.0,-648000000.0,-631000000.0,-596000000.0,-496000000.0,-398000000.0,-399000000.0,-502000000.0,-516000000.0,-537000000.0,-532000000.0,-367000000.0,-331000000.0,0.0,0.0,0.0
,freeCashFlow,1159000000.0,1408000000.0,1415000000.0,1203000000.0,935000000.0,736000000.0,1317000000.0,1673000000.0,1945000000.0,1857000000.0,2040000000.0,1895000000.0,1561000000.0,1613000000.0,1657000000.0,1106000000.0,822000000.0,636000000.0,345000000.0,362000000.0,566000000.0,452000000.0,395000000.0,120000000.0,395000000.0,937000000.0,814000000.0,249000000.0,226000000.0,237000000.0,429000000.0,287000000.0,0.0,0.0,0.0
